Unnamed: 0.1,Unnamed: 0,id,question,answerKey,choice_A,choice_B,choice_C,choice_D,split
1001,1001,Mercury_7107380,"Students watched a bird fly to and from a large bush every few minutes. The students told their teacher, ""The bird has a nest in that bush."" This statement is an example of",A,an inference made from observations.,an observation made from predictions.,a prediction made from data samples.,a result made from inference.,train
1002,1002,Mercury_7013860,"A teacher builds a model of a hydrogen atom. A red golf ball is used for a proton, and a green golf ball is used for an electron. Which is not accurate concerning the model?",B,number of particles,relative mass of particles,types of particles present,charges of particles present,train
1003,1003,MCAS_2005_9_20,Which of the following is a similarity 20 between x-ray waves and sound waves?,A,Both transfer energy.,Both require a vacuum.,Both have the same speed.,Both have the same frequency.,train
1004,1004,MEA_2014_5_13,What is a source of food and growth for a mushroom?,A,rotting organisms,sunshine,minerals in soil,water in soil,train
1005,1005,MDSA_2007_5_15,How do coal and the sun compare as sources of energy?,C,"Coal is renewable, and the sun is renewable.","Coal is renewable, and the sun is nonrenewable.","Coal is nonrenewable, and the sun is renewable.","Coal is nonrenewable, and the sun is nonrenewable.",train
1006,1006,Mercury_SC_400673,"Recycling of a resource, such as paper, is important because",B,paper companies cannot make enough paper.,using recycled paper reduces the cutting of new trees.,most paper is made from species of trees that are endangered.,recycled paper is less expensive than paper made without recycling.,train
1007,1007,MDSA_2011_4_12,"The mountain chorus frog is an endangered species in Maryland. In addition to the loss of habitat, what most likely caused this frog population to decline?",D,an increase in a food source,more frog breeding grounds,native wetlands preservation,poisons dissolved in the water,train
1008,1008,Mercury_SC_400519,"In studying layers of rock sediment, a geologist found an area where older rock was layered on top of younger rock. Which best explains how this occurred?",A,Earthquake activity folded the rock layers.,Volcanic eruptions destroyed a rock layer.,Erosion removed several layers of rock.,Weathering changed the layering of the rocks.,train
1009,1009,MCAS_2003_8_8,A rabbit population has increased noticeably in the past ten years. Which of the following is a reasonable hypothesis for this population growth?,B,Competition for food has increased among rabbits.,The rabbit's main predator has been eliminated by human development.,Abnormal weather conditions have decreased water levels of the local ponds.,An organism that relies on similar food sources has migrated into the area.,train
1010,1010,Mercury_7027353,Newton's work in physics helped to provide mathematical explanations for the earlier conclusions of which scientist?,C,Ptolemy,Aristotle,Nicolas Copernicus,Dmitri Mendeleev,train
1011,1011,Mercury_SC_400300,Which of these tools would be best to use when observing insects in a field?,B,compass,hand lens,microscope,thermometer,train
1012,1012,Mercury_7239470,Which of the following is a function of the motor neurons in the nervous system?,D,to directly apply force to the skeletal system,to gather information about the stimuli,to transmit messages from the brain to the body,to directly control the action of muscles,train
