link,question_number,flores_passage,question,mc_answer1,mc_answer2,mc_answer3,mc_answer4,correct_answer_num,dialect,ds
"https://en.wikinews.org/wiki/Strong_6.3_earthquake_reported_in_Sumatra,_Indonesia",2,هیچ هشدار سونامی اعلام نشده است و طبق آژانس ژئوفیزیک جاکارتا، از آنجایی که زمین لرزه با شرط شدت 6.5 ریشتر همخوانی نداشت، هشدار سونامی ابلاغ نخواهد شد. علیرغم نبود تهدید سونامی،‌ ساکنین کم‌کم وحشت‌زده شدند و کسب و کار و خانه‌هایشان را ترک کردند.,مطابق با متن، زمین‌لرزه سبب چه شد؟,وحشت محلی‌ها,خطر سونامی,صدور هشدار,زمین‌لرزه به بزرگی 6.5 ریشتر,1,pes_Arab,2023-06-07
"https://en.wikinews.org/wiki/Sun%27s_mood_swings_not_so_strange_after_all,_say_scientists",1,آنها دریافتند که خورشید بر اساس همان اصول اساسی کار می‌کند که سایر ستارگان عمل می‌کنند: مشخص شد که فعالیت تمامی ستاره‌ها در سیستم فقط تحت تاثیر درخشندگی و چرخش آنها قرار دارد نه چیز دیگری. از تابندگی و دَوران برای تعیین عدد روسبی ستاره استفاده می‌شود که مرتبط با جریان پلاسما است. هر چه عدد روسبی کوچکتر باشد، ستاره از نظر وارونگی مغناطیسی فعالیت کمتری دارد.,کدام‌یک از این موارد سبب فعالیت خورشید و ستاره‌های دیگر است؟,توان تابشی و جریان پلاسما,عدد روسبی، چرخش و واژگونی مغناطیسی,چرخش و توان تابشی,توان تابشی، عدد روسبی و چرخش,3,pes_Arab,2023-06-07
"https://en.wikinews.org/wiki/Sun%27s_mood_swings_not_so_strange_after_all,_say_scientists",2,آنها دریافتند که خورشید بر اساس همان اصول اساسی کار می‌کند که سایر ستارگان عمل می‌کنند: مشخص شد که فعالیت تمامی ستاره‌ها در سیستم فقط تحت تاثیر درخشندگی و چرخش آنها قرار دارد نه چیز دیگری. از تابندگی و دَوران برای تعیین عدد روسبی ستاره استفاده می‌شود که مرتبط با جریان پلاسما است. هر چه عدد روسبی کوچکتر باشد، ستاره از نظر وارونگی مغناطیسی فعالیت کمتری دارد.,عدد روسبی ستاره چطور تعیین می‌شود؟,توان تابشی و چرخش,میزان جریان پلاسما,سطح فعالیت,میزان وارونگی مغناطیسی,1,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Support_for_an_Australian_republic_slips,1,"از بین 1,400 نفری که قبل از انتخابات فدرال 2010 از آنها نظرسنجی شد، تعداد کسانی که مخالف جمهوری شدن استرالیا بودند 8 درصد از سال 2008 افزایش داشت. جولیا گیلارد، نخست وزیر دولت موقت، در خلال کمپین انتخابات فدرال 2010 مدعی شد که معتقد است پس از خاتمه حکمرانی ملکه الیزابت دوم، استرالیا باید جمهوری شود. 34 درصد آنهایی که در نظرسنجی شرکت دارند می‌خواهند که ملکه الیزابت دوم آخرین فرمانروای استرالیا باشد. در انتهای نظرسنجی، 29 درصد افراد نظرسنجی شده معتقد بودند که استرالیا باید در اسرع وقت جمهوری شود، در حالی که 31 درصد معتقد بودند استرالیا هرگز نباید جمهوری شود.",چند درصد از افراد نظرسنجی‌شده از جمهوری شدن فوری استرالیا حمایت می‌کنند؟,31 درصد,29 درصد,8 درصد,34 درصد,2,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Support_for_an_Australian_republic_slips,2,"از بین 1,400 نفری که قبل از انتخابات فدرال 2010 از آنها نظرسنجی شد، تعداد کسانی که مخالف جمهوری شدن استرالیا بودند 8 درصد از سال 2008 افزایش داشت. جولیا گیلارد، نخست وزیر دولت موقت، در خلال کمپین انتخابات فدرال 2010 مدعی شد که معتقد است پس از خاتمه حکمرانی ملکه الیزابت دوم، استرالیا باید جمهوری شود. 34 درصد آنهایی که در نظرسنجی شرکت دارند می‌خواهند که ملکه الیزابت دوم آخرین فرمانروای استرالیا باشد. در انتهای نظرسنجی، 29 درصد افراد نظرسنجی شده معتقد بودند که استرالیا باید در اسرع وقت جمهوری شود، در حالی که 31 درصد معتقد بودند استرالیا هرگز نباید جمهوری شود.",مطابق با Julie Gillard، استرالیا چه زمانی باید جمهوری شود؟,در اسرع وقت,پس از کناره‌گیری ملکه الیزابت دوم,هیچ‌وقت,پس از انتخابات فدرال,2,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Susan_G._Komen_Foundation_stops_funding_to_Planned_Parenthood,1,«لزلی آن»، سخنگوی بنیاد کومن گفت که این سازمان یک قانون جدید اتخاذ کرده که به سازمان‌هایی که تحت بازرسی قانونی می‌باشند کمک مالی یا بودجه اهدا نمی‌کند. سیاست Komen با توجه به یک تحقیق در انتظار بررسی پیرامون نحوه مخارج و اعلام آن در فرزندپروری تنظیم‌شده که توسط نماینده Cliff Stearns انجام شد، فرزندپروری تنظیم‌شده را زیر سوال برد. Stearns در سمت رئیس کمیته فرعی نظارت و بازرسی، که تحت لوای کمیته انرژی و تجارت مجلس عمل می‌کند، درحال بررسی این موضوع است که آیا از مالیات‌ها برای صرف مخارج سقط جنین در شرکت Planned Parenthood استفاده می‌شود یا نه.,کدام سازمان تحت تحقیقات قانونی است؟,کمیته انرژی و تجارت مجلس نمایندگان,بنیاد کومن,Planned Parenthood (فرزندپروری تنظیم‌شده),کمیته فرعی نظارت و بازرسی,3,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Susan_G._Komen_Foundation_stops_funding_to_Planned_Parenthood,2,«لزلی آن»، سخنگوی بنیاد کومن گفت که این سازمان یک قانون جدید اتخاذ کرده که به سازمان‌هایی که تحت بازرسی قانونی می‌باشند کمک مالی یا بودجه اهدا نمی‌کند. سیاست Komen با توجه به یک تحقیق در انتظار بررسی پیرامون نحوه مخارج و اعلام آن در فرزندپروری تنظیم‌شده که توسط نماینده Cliff Stearns انجام شد، فرزندپروری تنظیم‌شده را زیر سوال برد. Stearns در سمت رئیس کمیته فرعی نظارت و بازرسی، که تحت لوای کمیته انرژی و تجارت مجلس عمل می‌کند، درحال بررسی این موضوع است که آیا از مالیات‌ها برای صرف مخارج سقط جنین در شرکت Planned Parenthood استفاده می‌شود یا نه.,Cliff Stearns رئیس کدام کمیته است؟,کمیته انرژی و تجارت مجلس نمایندگان,بنیاد کومن,Planned Parenthood (فرزندپروری تنظیم‌شده),کمیته فرعی نظارت و بازرسی,4,pes_Arab,2023-06-07
"https://en.wikinews.org/wiki/Swiss_woman_gang-raped_in_Madhya_Pradesh,_India",1,پلیس مادیا پرادش لپتاب و تلفن همراه دزده شده را باز پس گرفت. معاون بازرس کل «د. ک. آریا» گفت: «ما پنج نفر را که به زن سوییسی تجاوز کرده بودند دستگیر کردیم و موبایل و لپتاپ او را پس گرفتیم.» نام متهمین بابا کانجار، رامپرو کانجار، گازا کانجار و ویشنو کانجار است. رئیس پلیس «Chandra Shekhar Solanki» گفت که متهمان در دادگاه با صورت‌های پوشیده حاضر شدند.,مطابق با متن، چه اتفاقی برای زن سوئیسی نیافتاد؟,کالاهایی که از او دزدیده شدند برگردانده شد,او کشته شد,5 نفر به او تجاوز جنسی کردند,تلفن و لپ‌تاپ او دزدیده شد,2,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Taiwanese_consumer_laptop_market_faces_change_following_ASUStek_winning_sustainability_award,1,رایانه شخصی ASUS Eee که بخاطر قیمت مقرون‌به‌صرفه‌اش و فاکتورهای عملکرد در سراسر جهان معرفی شد، در سال 2007 به موضوع مهیجی در Taipei IT Month (ماه فناوری اطلاعات تایپه) تبدیل شد. اما پس از اعطای جایزه پایداری تایوان به ASUS در سال 2007 توسط هیئت اجرایی یوان جمهوری خلق چین، بازار مصرف رایانه لپ تاپ بسیار متنوع خواهد شد و تغییر خواهد کرد.,جایزه پایداری تایوان در 2007 به چه شرکتی داده شد؟,Samsung,Sony,ASUS,Lenovo,3,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Taiwanese_consumer_laptop_market_faces_change_following_ASUStek_winning_sustainability_award,2,رایانه شخصی ASUS Eee که بخاطر قیمت مقرون‌به‌صرفه‌اش و فاکتورهای عملکرد در سراسر جهان معرفی شد، در سال 2007 به موضوع مهیجی در Taipei IT Month (ماه فناوری اطلاعات تایپه) تبدیل شد. اما پس از اعطای جایزه پایداری تایوان به ASUS در سال 2007 توسط هیئت اجرایی یوان جمهوری خلق چین، بازار مصرف رایانه لپ تاپ بسیار متنوع خواهد شد و تغییر خواهد کرد.,ASUS Eee PC چیست؟,یک تلفن هوشمند,یک لپتاپ,یک تبلت,یک پیجر,2,pes_Arab,2023-06-07
