Passage,Question,Original Answer,Predicted Answer,Option 1,Option 2,Option 3,Option 4
هیچ هشدار سونامی اعلام نشده است و طبق آژانس ژئوفیزیک جاکارتا، از آنجایی که زمین لرزه با شرط شدت 6.5 ریشتر همخوانی نداشت، هشدار سونامی ابلاغ نخواهد شد. علیرغم نبود تهدید سونامی،‌ ساکنین کم‌کم وحشت‌زده شدند و کسب و کار و خانه‌هایشان را ترک کردند.,مطابق با متن، زمین‌لرزه سبب چه شد؟,1,"<answer>4</answer>

<explanation>
برای پاسخ به این سوال، ابتدا باید به متن توجه کنیم. متن می‌گوید که زمین لرزه با شدت 6.5 ریشتر رخ داده است. سپس می‌گوید که هیچ هشدار سونامی اعلام نشده است و علت آن این است که زمین لرزه با شرط شدت 6.5 ریشتر همخوانی نداشت. پس از آن، متن می‌گوید که ساکنین وحشت‌زده شدند و کسب و کار و خانه‌هایشان را ترک کردند.

با توجه به متن، می‌توانیم بفهمیم که زمین لرزه به بزرگی 6.5 ریشتر رخ داده است و این زمین لرزه سبب وحشت محلی‌ها شده است. اما سوال می‌پرسد که زمین لرزه سبب چه شد؟ در اینجا، باید به قسمت اول متن توجه کنیم که می‌گوید زمین لرزه رخ داده است. پس می‌توانیم بگوییم که زمین لرزه سبب خود زمین لرزه شده است.

بنابراین، پاسخ صحیح گزینه 4 است که می‌گوید زمین لرزه به بزرگی 6.5 ریشتر است.
</explanation>

<highlight>
هیچ هشدار سونامی اعلام نشده است و طبق آژانس ژئوفیزیک جاکارتا، از آنجایی که زمین لرزه با شرط شدت 6.5 ریشتر همخوانی نداشت، هشدار سونامی ابلاغ نخواهد شد.
</highlight>

<keywords>[""زمین لرزه"", ""شدت"", ""ریشتر"", ""هشدار سونامی""]</keywords>",وحشت محلی‌ها,خطر سونامی,صدور هشدار,زمین‌لرزه به بزرگی 6.5 ریشتر
آنها دریافتند که خورشید بر اساس همان اصول اساسی کار می‌کند که سایر ستارگان عمل می‌کنند: مشخص شد که فعالیت تمامی ستاره‌ها در سیستم فقط تحت تاثیر درخشندگی و چرخش آنها قرار دارد نه چیز دیگری. از تابندگی و دَوران برای تعیین عدد روسبی ستاره استفاده می‌شود که مرتبط با جریان پلاسما است. هر چه عدد روسبی کوچکتر باشد، ستاره از نظر وارونگی مغناطیسی فعالیت کمتری دارد.,کدام‌یک از این موارد سبب فعالیت خورشید و ستاره‌های دیگر است؟,3,"<answer>1</answer>

<explanation>
برای پاسخ به این سوال، ابتدا باید به متن توجه کنیم که می‌گوید فعالیت تمامی ستاره‌ها در سیستم فقط تحت تاثیر درخشندگی و چرخش آنها قرار دارد نه چیز دیگری. این جمله نشان می‌دهد که دو عامل اصلی در فعالیت ستاره‌ها دخیل هستند: درخشندگی و چرخش. سپس متن می‌گوید که از تابندگی و دَوران برای تعیین عدد روسبی ستاره استفاده می‌شود که مرتبط با جریان پلاسما است. این جمله نشان می‌دهد که جریان پلاسما نیز با درخشندگی و چرخش مرتبط است. بنابراین، می‌توان گفت که توان تابشی و جریان پلاسما دو عامل اصلی در فعالیت خورشید و ستاره‌های دیگر هستند.

</explanation>

<highlight>
فعالیت تمامی ستاره‌ها در سیستم فقط تحت تاثیر درخشندگی و چرخش آنها قرار دارد نه چیز دیگری.
از تابندگی و دَوران برای تعیین عدد روسبی ستاره استفاده می‌شود که مرتبط با جریان پلاسما است.
</highlight>

<keywords>['درخشندگی', 'چرخش', 'جریان پلاسما', 'عدد روسبی', 'فعالیت ستاره‌ها']</keywords>",توان تابشی و جریان پلاسما,عدد روسبی، چرخش و واژگونی مغناطیسی,چرخش و توان تابشی,توان تابشی، عدد روسبی و چرخش
آنها دریافتند که خورشید بر اساس همان اصول اساسی کار می‌کند که سایر ستارگان عمل می‌کنند: مشخص شد که فعالیت تمامی ستاره‌ها در سیستم فقط تحت تاثیر درخشندگی و چرخش آنها قرار دارد نه چیز دیگری. از تابندگی و دَوران برای تعیین عدد روسبی ستاره استفاده می‌شود که مرتبط با جریان پلاسما است. هر چه عدد روسبی کوچکتر باشد، ستاره از نظر وارونگی مغناطیسی فعالیت کمتری دارد.,عدد روسبی ستاره چطور تعیین می‌شود؟,1,"<answer>1</answer>

<explanation>
برای پاسخ به این سوال، باید به متن توجه کنیم که می‌گوید از تابندگی و دَوران برای تعیین عدد روسبی ستاره استفاده می‌شود. این نشان می‌دهد که عدد روسبی ستاره بر اساس توان تابشی و چرخش آن تعیین می‌شود. بنابراین، گزینه ۱ correct است.

در این متن، ما می‌بینیم که فعالیت تمامی ستاره‌ها در سیستم فقط تحت تاثیر درخشندگی و چرخش آنها قرار دارد نه چیز دیگری. این نشان می‌دهد که توان تابشی و چرخش ستاره‌ها نقش مهمی در تعیین عدد روسبی آنها دارد.

همچنین، متن می‌گوید که عدد روسبی ستاره مرتبط با جریان پلاسما است. اما این به معنی نیست که جریان پلاسما مستقیماً عدد روسبی را تعیین می‌کند. بلکه توان تابشی و چرخش ستاره‌ها است که جریان پلاسما را تحت تاثیر قرار می‌دهد و در نتیجه عدد روسبی را تعیین می‌کند.

بنابراین، با توجه به متن، گزینه ۱ correct است و عدد روسبی ستاره بر اساس توان تابشی و چرخش آن تعیین می‌شود.
</explanation>

<highlight>
از تابندگی و دَوران برای تعیین عدد روسبی ستاره استفاده می‌شود
</highlight>

<keywords>['تابندگی', 'دَوران', 'عدد روسبی', 'جریان پلاسما', 'ستاره']</keywords>",توان تابشی و چرخش,میزان جریان پلاسما,سطح فعالیت,میزان وارونگی مغناطیسی
"از بین 1,400 نفری که قبل از انتخابات فدرال 2010 از آنها نظرسنجی شد، تعداد کسانی که مخالف جمهوری شدن استرالیا بودند 8 درصد از سال 2008 افزایش داشت. جولیا گیلارد، نخست وزیر دولت موقت، در خلال کمپین انتخابات فدرال 2010 مدعی شد که معتقد است پس از خاتمه حکمرانی ملکه الیزابت دوم، استرالیا باید جمهوری شود. 34 درصد آنهایی که در نظرسنجی شرکت دارند می‌خواهند که ملکه الیزابت دوم آخرین فرمانروای استرالیا باشد. در انتهای نظرسنجی، 29 درصد افراد نظرسنجی شده معتقد بودند که استرالیا باید در اسرع وقت جمهوری شود، در حالی که 31 درصد معتقد بودند استرالیا هرگز نباید جمهوری شود.",چند درصد از افراد نظرسنجی‌شده از جمهوری شدن فوری استرالیا حمایت می‌کنند؟,2,"<answer>2</answer>

<explanation>
برای پاسخ به این سوال، باید به بخش پایانی نظرسنجی مراجعه کنیم که در آن میزان حمایت از جمهوری شدن فوری استرالیا را نشان می‌دهد. در این بخش، 29 درصد از افراد نظرسنجی شده معتقد بودند که استرالیا باید در اسرع وقت جمهوری شود. بنابراین، پاسخ صحیح 29 درصد است.
</explanation>

<highlight>
در انتهای نظرسنجی، 29 درصد افراد نظرسنجی شده معتقد بودند که استرالیا باید در اسرع وقت جمهوری شود
</highlight>

<keywords>[""نظرسنجی"", ""جمهوری شدن"", ""استرالیا"", ""فوری""]</keywords>",31 درصد,29 درصد,8 درصد,34 درصد
"از بین 1,400 نفری که قبل از انتخابات فدرال 2010 از آنها نظرسنجی شد، تعداد کسانی که مخالف جمهوری شدن استرالیا بودند 8 درصد از سال 2008 افزایش داشت. جولیا گیلارد، نخست وزیر دولت موقت، در خلال کمپین انتخابات فدرال 2010 مدعی شد که معتقد است پس از خاتمه حکمرانی ملکه الیزابت دوم، استرالیا باید جمهوری شود. 34 درصد آنهایی که در نظرسنجی شرکت دارند می‌خواهند که ملکه الیزابت دوم آخرین فرمانروای استرالیا باشد. در انتهای نظرسنجی، 29 درصد افراد نظرسنجی شده معتقد بودند که استرالیا باید در اسرع وقت جمهوری شود، در حالی که 31 درصد معتقد بودند استرالیا هرگز نباید جمهوری شود.",مطابق با Julie Gillard، استرالیا چه زمانی باید جمهوری شود؟,2,"<answer>2</answer>

<explanation>
بر اساس متن، جولیا گیلارد نخست وزیر دولت موقت در خلال کمپین انتخابات فدرال ۲۰۱۰ مدعی شد که معتقد است پس از خاتمه حکمرانی ملکه الیزابت دوم، استرالیا باید جمهوری شود. این جمله نشان می‌دهد که جولیا گیلارد معتقد است استرالیا باید پس از کناره‌گیری ملکه الیزابت دوم جمهوری شود. بنابراین پاسخ صحیح گزینه ۲ است.
</explanation>

<highlight>
جولیا گیلارد نخست وزیر دولت موقت در خلال کمپین انتخابات فدرال ۲۰۱۰ مدعی شد که معتقد است پس از خاتمه حکمرانی ملکه الیزابت دوم، استرالیا باید جمهوری شود.
</highlight>

<keywords>['جولیا گیلارد', 'استرالیا', 'جمهوری', 'ملکه الیزابت دوم', 'کمپین انتخابات فدرال ۲۰۱۰']</keywords>",در اسرع وقت,پس از کناره‌گیری ملکه الیزابت دوم,هیچ‌وقت,پس از انتخابات فدرال
«لزلی آن»، سخنگوی بنیاد کومن گفت که این سازمان یک قانون جدید اتخاذ کرده که به سازمان‌هایی که تحت بازرسی قانونی می‌باشند کمک مالی یا بودجه اهدا نمی‌کند. سیاست Komen با توجه به یک تحقیق در انتظار بررسی پیرامون نحوه مخارج و اعلام آن در فرزندپروری تنظیم‌شده که توسط نماینده Cliff Stearns انجام شد، فرزندپروری تنظیم‌شده را زیر سوال برد. Stearns در سمت رئیس کمیته فرعی نظارت و بازرسی، که تحت لوای کمیته انرژی و تجارت مجلس عمل می‌کند، درحال بررسی این موضوع است که آیا از مالیات‌ها برای صرف مخارج سقط جنین در شرکت Planned Parenthood استفاده می‌شود یا نه.,کدام سازمان تحت تحقیقات قانونی است؟,3,"<answer>3</answer>

<explanation>
برای پاسخ به این سوال، باید به متن توجه کنیم. در متن گفته شده است که نماینده Cliff Stearns درحال بررسی این موضوع است که آیا از مالیات‌ها برای صرف مخارج سقط جنین در شرکت Planned Parenthood استفاده می‌شود یا نه. این جمله نشان می‌دهد که Planned Parenthood تحت تحقیقات قانونی است.

همچنین، در متن گفته شده است که سیاست Komen با توجه به یک تحقیق در انتظار بررسی پیرامون نحوه مخارج و اعلام آن در فرزندپروری تنظیم‌شده تنظیم شده است. این جمله نیز نشان می‌دهد که فرزندپروری تنظیم‌شده تحت تحقیقات قانونی است.

بنابراین، با توجه به متن، می‌توان گفت که Planned Parenthood تحت تحقیقات قانونی است.

</explanation>

<highlight>
«نماینده Cliff Stearns درحال بررسی این موضوع است که آیا از مالیات‌ها برای صرف مخارج سقط جنین در شرکت Planned Parenthood استفاده می‌شود یا نه.»
«سیاست Komen با توجه به یک تحقیق در انتظار بررسی پیرامون نحوه مخارج و اعلام آن در فرزندپروری تنظیم‌شده تنظیم شده است.»</highlight>

<keywords>['Planned Parenthood', 'تحقیقات قانونی', 'Cliff Stearns', 'فرزندپروری تنظیم‌شده']</keywords>",کمیته انرژی و تجارت مجلس نمایندگان,بنیاد کومن,Planned Parenthood (فرزندپروری تنظیم‌شده),کمیته فرعی نظارت و بازرسی
«لزلی آن»، سخنگوی بنیاد کومن گفت که این سازمان یک قانون جدید اتخاذ کرده که به سازمان‌هایی که تحت بازرسی قانونی می‌باشند کمک مالی یا بودجه اهدا نمی‌کند. سیاست Komen با توجه به یک تحقیق در انتظار بررسی پیرامون نحوه مخارج و اعلام آن در فرزندپروری تنظیم‌شده که توسط نماینده Cliff Stearns انجام شد، فرزندپروری تنظیم‌شده را زیر سوال برد. Stearns در سمت رئیس کمیته فرعی نظارت و بازرسی، که تحت لوای کمیته انرژی و تجارت مجلس عمل می‌کند، درحال بررسی این موضوع است که آیا از مالیات‌ها برای صرف مخارج سقط جنین در شرکت Planned Parenthood استفاده می‌شود یا نه.,Cliff Stearns رئیس کدام کمیته است؟,4,"<answer>4</answer>

<explanation>
برای پاسخ به این سوال، باید به متن توجه کنیم. در متن گفته شده است که «Stearns در سمت رئیس کمیته فرعی نظارت و بازرسی، که تحت لوای کمیته انرژی و تجارت مجلس عمل می‌کند». این جمله نشان می‌دهد که کلیف استیرنز رئیس کمیته فرعی نظارت و بازرسی است. بنابراین، پاسخ صحیح گزینه ۴ است.
</explanation>

<highlight>
«Stearns در سمت رئیس کمیته فرعی نظارت و بازرسی، که تحت لوای کمیته انرژی و تجارت مجلس عمل می‌کند»
</highlight>

<keywords>['کلیف استیرنز', 'رئیس', 'کمیته فرعی نظارت و بازرسی', 'کمیته انرژی و تجارت مجلس']</keywords>",کمیته انرژی و تجارت مجلس نمایندگان,بنیاد کومن,Planned Parenthood (فرزندپروری تنظیم‌شده),کمیته فرعی نظارت و بازرسی
پلیس مادیا پرادش لپتاب و تلفن همراه دزده شده را باز پس گرفت. معاون بازرس کل «د. ک. آریا» گفت: «ما پنج نفر را که به زن سوییسی تجاوز کرده بودند دستگیر کردیم و موبایل و لپتاپ او را پس گرفتیم.» نام متهمین بابا کانجار، رامپرو کانجار، گازا کانجار و ویشنو کانجار است. رئیس پلیس «Chandra Shekhar Solanki» گفت که متهمان در دادگاه با صورت‌های پوشیده حاضر شدند.,مطابق با متن، چه اتفاقی برای زن سوئیسی نیافتاد؟,2,"<answer>1</answer>

<explanation>
ما از متن می فهمیم که پلیس مادیا پرادش لپتاب و تلفن همراه دزده شده را باز پس گرفت. معاون بازرس کل «د. ک. آریا» گفت که آنها پنج نفر را که به زن سوییسی تجاوز کرده بودند دستگیر کردیم و موبایل و لپتاپ او را پس گرفتیم. از این جمله می فهمیم که کالاهایی که از زن سوییسی دزدیده شده بودند برگردانده شد. بنابراین گزینه ۱ صحیح است.
</explanation>

<highlight>
«ما پنج نفر را که به زن سوییسی تجاوز کرده بودند دستگیر کردیم و موبایل و لپتاپ او را پس گرفتیم.»
</highlight>

<keywords>['پلیس مادیا پرادش', 'لپتاب', 'تلفن همراه', 'زن سوییسی', 'دستگیر', 'باز پس گرفت']</keywords>",کالاهایی که از او دزدیده شدند برگردانده شد,او کشته شد,5 نفر به او تجاوز جنسی کردند,تلفن و لپ‌تاپ او دزدیده شد
رایانه شخصی ASUS Eee که بخاطر قیمت مقرون‌به‌صرفه‌اش و فاکتورهای عملکرد در سراسر جهان معرفی شد، در سال 2007 به موضوع مهیجی در Taipei IT Month (ماه فناوری اطلاعات تایپه) تبدیل شد. اما پس از اعطای جایزه پایداری تایوان به ASUS در سال 2007 توسط هیئت اجرایی یوان جمهوری خلق چین، بازار مصرف رایانه لپ تاپ بسیار متنوع خواهد شد و تغییر خواهد کرد.,جایزه پایداری تایوان در 2007 به چه شرکتی داده شد؟,3,"<answer>3</answer>

<explanation>
برای پاسخ به این سوال، باید به متن توجه کنیم که در سال 2007، جایزه پایداری تایوان به چه شرکتی داده شد. در متن آمده است که «پس از اعطای جایزه پایداری تایوان به ASUS در سال 2007 توسط هیئت اجرایی یوان جمهوری خلق چین...». این جمله نشان می‌دهد که جایزه پایداری تایوان در سال 2007 به شرکت ASUS داده شد.
</explanation>

<highlight>
«پس از اعطای جایزه پایداری تایوان به ASUS در سال 2007 توسط هیئت اجرایی یوان جمهوری خلق چین...»
</highlight>

<keywords>['ASUS', 'جایزه پایداری تایوان', '2007', 'هیئت اجرایی یوان جمهوری خلق چین']</keywords>",Samsung,Sony,ASUS,Lenovo
رایانه شخصی ASUS Eee که بخاطر قیمت مقرون‌به‌صرفه‌اش و فاکتورهای عملکرد در سراسر جهان معرفی شد، در سال 2007 به موضوع مهیجی در Taipei IT Month (ماه فناوری اطلاعات تایپه) تبدیل شد. اما پس از اعطای جایزه پایداری تایوان به ASUS در سال 2007 توسط هیئت اجرایی یوان جمهوری خلق چین، بازار مصرف رایانه لپ تاپ بسیار متنوع خواهد شد و تغییر خواهد کرد.,ASUS Eee PC چیست؟,2,"<answer>2</answer>

<explanation>
با توجه به متن، ASUS Eee PC به عنوان رایانه شخصی معرفی شده است. در ادامه متن نیز به فاکتورهای عملکرد آن اشاره شده است. از آنجایی که فاکتورهای عملکرد معمولا در مورد رایانه‌ها و لپ‌تاپ‌ها استفاده می‌شود، می‌توان نتیجه گرفت که ASUS Eee PC یک لپ‌تاپ است. علاوه بر این، در متن به قیمت مقرون‌به‌صرفه آن اشاره شده است که این ویژگی نیز بیشتر در مورد لپ‌تاپ‌ها صادق است.

بنابراین، با توجه به شواهد موجود در متن، می‌توان گفت که ASUS Eee PC یک لپ‌تاپ است.
</explanation>

<highlight>
رایانه شخصی ASUS Eee که بخاطر قیمت مقرون‌به‌صرفه‌اش و فاکتورهای عملکرد در سراسر جهان معرفی شد
</highlight>

<keywords>['رایانه شخصی', 'قیمت مقرون‌به‌صرفه', 'فاکتورهای عملکرد', 'لپ‌تاپ']</keywords>",یک تلفن هوشمند,یک لپتاپ,یک تبلت,یک پیجر
