,Passage,Question,Original Answer,Predicted Answer,Option 1,Option 2,Option 3,Option 4,Parsed Answer,Parsed Explanation,Parsed Highlighted Context,Parsed Keywords
0,بشر هزاران هزار سال از عدسی‌ها برای بزرگ‌نمایی استفاده می‌کرده است. با این حال، اولین تلسکوپ های واقعی در اواخر قرن 16 در اروپا ساخته شدند. در این تلسکوپ از ترکیب دو عدسی استفده شده است تا اجسام دور را هم نزدیکتر و هم بزرگتر نشان دهد.,کدام یک از موارد زیر را انسان‌ها در قرن شانزدهم شروع کردند؟,4,"<answer>4</answer>

<explanation>در متن گفته شده که اولین تلسکوپ‌های واقعی در قرن ۱۶ در اروپا ساخته شدند. پس تنها گزینه‌ای که با اطلاعات متن مطابقت دارد، ساخت تلسکوپ است.</explanation>

<highlight>بشر هزاران هزار سال از عدسی‌ها برای بزرگ‌نمایی استفاده می‌کرده است. با این حال، اولین تلسکوپ‌های واقعی در اواخر قرن ۱۶ در اروپا ساخته شدند.</highlight>

<keywords> ['تلسکوپ', 'عدسی', 'بزرگنمایی', 'قرن ۱۶', 'اروپا'] </keywords>",استفاده از عدسی‌ها,بزرگنمایی اشیاء,ساخت عدسی‌ها,ساخت تلسکوپ,4,در متن گفته شده که اولین تلسکوپهای واقعی در قرن ۱۶ در اروپا ساخته شدند. پس تنها گزینهای که با اطلاعات متن مطابقت دارد، ساخت تلسکوپ است.,بشر هزاران هزار سال از عدسیها برای بزرگنمایی استفاده میکرده است. با این حال، اولین تلسکوپهای واقعی در اواخر قرن ۱۶ در اروپا ساخته شدند.,"[""'تلسکوپ'"", ""'عدسی'"", ""'بزرگنمایی'"", ""'قرن ۱۶'"", ""'اروپا'""]"
1,گوارانی‌ها مهم‌ترین گروه بومی ساکن پاراگوئه شرقی کنونی بودند که به شکل شکارچیان نیمه کوچ‌نشین زندگی می‌کردند و به کشاورزی معیشتی نیز می‌پرداختند. منطقه چاکو محل اقامت گروه‌های دیگر قبایل بومی مانند Guaycurú و Payaguá بود که با شکار، جمع آوری و ماهیگیری زندگی خود را می‌گذراندند. در قرن 16، پاراگوئه که قبلاً «استان غول پیکر هند» خوانده می شد، در نتیجه برخورد فاتحان اسپانیایی با گروه های بومی متولد شد. اسپانیایی‌ها دوره استعماری را شروع کردند که سه قرن طول کشید. پاراگوئه از زمان تأسیس آسانسیون در سال 1537، توانسته است بسیاری از خصوصیات و شخصیت‌های بومی خود را حفظ کند.,دوران استعمارگری که سه قرن طول کشید توسط کدام گروه شروع شد؟,4,"<answer>4</answer>

<explanation>گفته شده است که پاراگوئه در قرن 16ام پس از برخورد فاتحان اسپانیایی با گروه‌های بومی متولد شد. این برخورد آغاز دوره‌ای استعماری سه قرن بود. بنابراین، پاسخ این است که دوران استعماری توسط فاتحان اسپانیایی آغاز شد.</explanation>

<highlight>در قرن 16، پاراگوئه که قبلاً «استان غول پیکر هند» خوانده می شد، در نتیجه برخورد فاتحان اسپانیایی با گروه های بومی متولد شد. اسپانیایی‌ها دوره استعماری را شروع کردند که سه قرن طول کشید.</highlight>

<keywords> ['گوارانی‌', 'بومی', 'پاراگوئه', 'شکارچیان', 'کشاورزی', 'چاکو', 'Guaycurú', 'Payaguá', 'فاتحان', 'اسپانیایی', 'استعماری', 'آسانسیون'] </keywords>",پاراگوئه,Guaycurú,گورانی‌ها ,فاتحان اسپانیایی,4,گفته شده است که پاراگوئه در قرن 16ام پس از برخورد فاتحان اسپانیایی با گروههای بومی متولد شد. این برخورد آغاز دورهای استعماری سه قرن بود. بنابراین، پاسخ این است که دوران استعماری توسط فاتحان اسپانیایی آغاز شد.,در قرن 16، پاراگوئه که قبلاً «استان غول پیکر هند» خوانده می شد، در نتیجه برخورد فاتحان اسپانیایی با گروه های بومی متولد شد. اسپانیاییها دوره استعماری را شروع کردند که سه قرن طول کشید.,"[""'گوارانی'"", ""'بومی'"", ""'پاراگوئه'"", ""'شکارچیان'"", ""'کشاورزی'"", ""'چاکو'"", ""'Guaycurú'"", ""'Payaguá'"", ""'فاتحان'"", ""'اسپانیایی'"", ""'استعماری'"", ""'آسانسیون'""]"
2,خورشید پوسته‌ای شبیه کره زمین ندارد که بتوانید روی آن بایستید. کل خورشید از گازها، آتش و پلاسما ساخته شده است. هرچه از مرکز خورشید دورتر شوید، این گاز رقیق‌تر می‌شود. وقتی به خورشید نگاه می‌کنیم قسمت بیرونی که می‌بینیم فوتوسفر گفته می‌شود که به معنی «توپ نور» است.,با توجه به متن، کدام قسمت از خورشید از زمین قابل مشاهده است؟,3,"<answer>3</answer>

<explanation>در متن گفته شده که وقتی به خورشید نگاه می‌کنیم، قسمت بیرونی که مشاهده می‌کنیم «فوتوسفر» نام دارد. بنابراین قسمت قابل مشاهده خورشید، فوتوسفر است.</explanation>

<highlight>وقتی به خورشید نگاه می‌کنیم قسمت بیرونی که می‌بینیم فوتوسفر گفته می‌شود</highlight>

<keywords> ['خورشید', 'فوتوسفر'] </keywords>",پوسته,پلاسما,فوتوسفر,مرکز,3,در متن گفته شده که وقتی به خورشید نگاه میکنیم، قسمت بیرونی که مشاهده میکنیم «فوتوسفر» نام دارد. بنابراین قسمت قابل مشاهده خورشید، فوتوسفر است.,وقتی به خورشید نگاه میکنیم قسمت بیرونی که میبینیم فوتوسفر گفته میشود,"[""'خورشید'"", ""'فوتوسفر'""]"
3,آن مرد ظاهراً یک خودروی سه‌چرخ مسلح به مواد منفجره را به داخل جمعیت هدایت کرده بود. مرد مظنون به انفجار بمب، پس از تحمل جراحات ناشی از انفجار، بازداشت شد. اگرچه آنها می‌دانند كه او عضو گروه قومی اویغور است، نام وی هنوز برای مقامات ناشناخته است.,مقامات چه اطلاعاتی درخصوص حمله تأیید کرده بودند؟,2,"<answer>2</answer>

<explanation>در متن گفته شده که مقامات می‌دانند مرد مظنون به بمب‌گذاری عضو گروه قومی اویغور است، بنابراین تنها اطلاعاتی که مقامات در خصوص این حمله تأیید کرده‌اند، قومیت مظنون است.</explanation>

<highlight>اگرچه آنها می‌دانند كه او عضو گروه قومی اویغور است</highlight>

<keywords>['مرد مظنون', 'بمب‌گذاری', 'قومیت', 'اویغور', 'مقامات']</keywords>",هویت هم‌دست‌ها,قومیت مظنون,انگیزه حمله,نام و نام خانوادگی مظنون,2,در متن گفته شده که مقامات میدانند مرد مظنون به بمبگذاری عضو گروه قومی اویغور است، بنابراین تنها اطلاعاتی که مقامات در خصوص این حمله تأیید کردهاند، قومیت مظنون است.,اگرچه آنها میدانند كه او عضو گروه قومی اویغور است,"[""'مرد مظنون'"", ""'بمبگذاری'"", ""'قومیت'"", ""'اویغور'"", ""'مقامات'""]"
4,ما می توانیم زندگی دوستانه تری را با محیط زیست آغاز کنیم، می توانیم به جنبش محیط زیست بپیوندیم و حتی می توانیم برای اینکه تا حدودی آلام آینده را کاهش دهیم، فعال محیط زیست شویم. این دقیقاً مانند بسیاری از موارد درمان حمایتی است. با این وجود، اگر تنها به دنبال یک راه‌حل موقت نباشیم، باید ریشه مشکلات را بیابیم و باید آن‌ها را غیرفعال کنیم. پرواضح است که دنیا به‌خاطر پیشرفت‌های علمی و فناوری بشر تغییر کرده و مشکلات به دلیل جمعیت بسیار زیاد و شیوه زندگی عجیب و غریب بشر، بیشتر شده است.,با توجه به متن، کدام مورد راه‌حلی قابل اجرا برای مسائل زیست‌محیطی در بلندمدت محسوب می‌شود؟,3,"<answer>3</answer>

<explanation>در متن اشاره شده است که برای یافتن راه‌حلی بلندمدت برای مسائل زیست‌محیطی، باید «ریشه مشکلات را بیابیم و باید آن‌ها را غیرفعال کنیم». این نشان می‌دهد که یافتن ریشه مسئله و برخورد با آن، یک راه‌حل اساسی و بلندمدت است.</explanation>

<highlight>«باید ریشه مشکلات را بیابیم و باید آن‌ها را غیرفعال کنیم»</highlight>

<keywords> ['محیط زیست', 'درمان حمایتی', 'پیشرفت‌های علمی', 'فناوری', 'جمعیت', 'سبک زندگی', 'مشکلات', 'ریشه'] </keywords>",تحریم انتخاب‌های سبک زندگی مصرف‌گرایانه,کنشگری,یافتن ریشه مسئله,تبدیل شدن به متحد جنبش محیط زیست,3,در متن اشاره شده است که برای یافتن راهحلی بلندمدت برای مسائل زیستمحیطی، باید «ریشه مشکلات را بیابیم و باید آنها را غیرفعال کنیم». این نشان میدهد که یافتن ریشه مسئله و برخورد با آن، یک راهحل اساسی و بلندمدت است.,«باید ریشه مشکلات را بیابیم و باید آنها را غیرفعال کنیم»,"[""'محیط زیست'"", ""'درمان حمایتی'"", ""'پیشرفتهای علمی'"", ""'فناوری'"", ""'جمعیت'"", ""'سبک زندگی'"", ""'مشکلات'"", ""'ریشه'""]"
5,ورزش‌های زمستانی روی تپه، از جمله اسکی و اسنوبورد، ورزش‌های پرطرفداری هستند که در آنها با استفاده از چوب اسکی یا اسنوبورد متصل به پاهایتان روی زمین‌های شیب‌دار پوشیده از برف سرمی‌خورید. اسکی فعالیت اصلی سفر است که علاقه‌مندان زیادی دارد و گهگاه با نام «اسکی گردی» شناخته می شود، یعنی برنامه ریزی کل تعطیلات حول محور اسکی کردن در یک محل خاص. ایده اسکی‌بازی خیلی قدیمی است - قدمت نقاشی‌های غارها که اسکی بازها را نشان می‌دهد به 5000 سال قبل از میلاد باز می‌گردد. ورزش اسکی روی تپه حداقل به قرن 17 ام برمی‌گردد، و در سال 1861، اولین باشگاه تفریحی اسکی را نروژی‌ها در استرالیا افتتاح کردند.,مطابق با متن، حدود چه زمانی اسکی‌بازی اولین بار به عنوان ورزش شناخته شد؟,4,"<answer>4</answer>

<explanation>متن اشاره می‌کند که ورزش اسکی روی تپه «حداقل» به قرن هفدهم برمی‌گردد. این بدان معنی است که ممکن است تاریخ دقیق آن ناشناخته باشد، اما می‌دانیم که این ورزش حداقل از قرن هفدهم وجود داشته و به عنوان ورزشی تفریحی شناخته می‌شده است.</explanation>

<highlight>ورزش اسکی روی تپه حداقل به قرن 17 ام برمی‌گردد</highlight>

<keywords>[""ورزش‌های زمستانی"", ""اسکی"", ""اسنوبورد"", ""تپه"", ""ورزش"", ""تفریحی"", ""سفر"", ""اسکی گردی"", ""ایده"", ""اسکی‌بازی"", ""قدیمی"", ""نقاشی‌های غار"", ""تاریخ"", ""قرن 17"", ""باشگاه"", ""نروژی"", ""استرالیا"", ""قرن هجدهم"", ""5000 سال قبل از میلاد""]</keywords>",قرن هجدهم,5000 سال قبل از میلاد,1861,قرن هفدهم,4,متن اشاره میکند که ورزش اسکی روی تپه «حداقل» به قرن هفدهم برمیگردد. این بدان معنی است که ممکن است تاریخ دقیق آن ناشناخته باشد، اما میدانیم که این ورزش حداقل از قرن هفدهم وجود داشته و به عنوان ورزشی تفریحی شناخته میشده است.,ورزش اسکی روی تپه حداقل به قرن 17 ام برمیگردد,"['""ورزشهای زمستانی""', '""اسکی""', '""اسنوبورد""', '""تپه""', '""ورزش""', '""تفریحی""', '""سفر""', '""اسکی گردی""', '""ایده""', '""اسکیبازی""', '""قدیمی""', '""نقاشیهای غار""', '""تاریخ""', '""قرن 17""', '""باشگاه""', '""نروژی""', '""استرالیا""', '""قرن هجدهم""', '""5000 سال قبل از میلاد""']"
6,ACMA همچنین نتیجه گرفت که علیرغم اینکه این ویدئو در اینترنت پخش شده است ولی Big Brother از قوانین سانسور محتوای آنلاین تخطی نکرده است، زیرا این رسانه‌ها در وب‌سایت Big Brother ذخیره نشده بودند. قانون خدمات پخش مقررات محتوای اینترنتی را مشخص می‌کند، اما وقتی محتوایی جزء محتوای اینترنتی محسوب می‌شود که به‌شکل فیزیکی روی یک سرور مستقر باشد.,برای اینکه رسانه تحت مقوله محتوای اینترنتی لحاظ شود، باید چه پارامترهایی داشته باشد؟,2,"<answer>2</answer>

<explanation>در متن گفته می‌شود که محتوا برای اینکه جزء ""محتوای اینترنتی"" محسوب شود، باید ""به‌شکل فیزیکی روی یک سرور مستقر باشد"". این به این معنی است که پارامتر اصلی برای قرار گرفتن در این دسته، ذخیره شدن فیزیکی محتوا بر روی یک سرور است.</explanation>

<highlight>قانون خدمات پخش مقررات محتوای اینترنتی را مشخص می‌کند، اما وقتی محتوایی جزء محتوای اینترنتی محسوب می‌شود که به‌شکل فیزیکی روی یک سرور مستقر باشد.</highlight>

<keywords> ['قانون خدمات پخش', 'محتوای اینترنتی', 'سرور', 'ذخیره‌سازی فیزیکی'] </keywords>",باید از طریق اینترنت پخش شود,باید به صورت فیزیکی در سروری قرار گیرد,نمی‌تواند روی وبسایت ذخیره شود,باید توسط ACMA تأیید شود,2,"در متن گفته میشود که محتوا برای اینکه جزء ""محتوای اینترنتی"" محسوب شود، باید ""بهشکل فیزیکی روی یک سرور مستقر باشد"". این به این معنی است که پارامتر اصلی برای قرار گرفتن در این دسته، ذخیره شدن فیزیکی محتوا بر روی یک سرور است.",قانون خدمات پخش مقررات محتوای اینترنتی را مشخص میکند، اما وقتی محتوایی جزء محتوای اینترنتی محسوب میشود که بهشکل فیزیکی روی یک سرور مستقر باشد.,"[""'قانون خدمات پخش'"", ""'محتوای اینترنتی'"", ""'سرور'"", ""'ذخیرهسازی فیزیکی'""]"
7,عرفان عبارت است از جستجوی ارتباط، شناخت یا درک آگاهانه از یک واقعیت، الوهیت، حقیقت معنوی یا خدا. این مؤمن خواستار تجربه، بصیرت یا بینشی مستقیم نسبت به واقعیت الهی/خدا یا خدایان است. پیروان روش‌های خاصی از معاش، یا اعمالی که به قصد شکل دادن این تجارب انجام می‌گیرند، را دنبال می‌کنند. ویژگی که عرفان را از سایر اشکال باورهای مذهبی و عبادی متمایز می‌کند تأکید آن بر تجربه مستقیم شخصی از یک حالت هشیاری منحصربه‌فرد است، بخصوص تجربه‌ای که از خصلت آرامش، بینش، سعادت یا حتی نشاط برخوردار باشد.,با توجه به متن، کدام یک از موارد زیر مورد توجه عرفان نیست؟,2,"<answer>2</answer>

<explanation>عرفان به دنبال تجربه مستقیم و شخصی از واقعیت الهی است که می تواند شامل شهود، بینش یا درک آگاهانه از الوهیت باشد. اگرچه عرفان بر تجربیات معنوی تأکید دارد، اما این تجربیات منحصر به فرد و خاص هر فرد هستند، نه تجربیات مشترک و همگانی. بنابراین، ""طلب بینش از طریق تجربیات مشترک و همگانی"" موردی است که عرفان به دنبال آن نیست.</explanation>

<highlight>عرفان عبارت است از جستجوی ارتباط، شناخت یا درک آگاهانه از یک واقعیت، الوهیت، حقیقت معنوی یا خدا. این مؤمن خواستار تجربه، بصیرت یا بینشی مستقیم نسبت به واقعیت الهی/خدا یا خدایان است.</highlight>

<keywords> ['عرفان', 'تجربه مستقیم', 'واقعیت الهی', 'بینش', 'درک آگاهانه', 'معنویت'] </keywords>",جستجوی شهود به واقعیت الهی,طلب بینش از طریق تجربیات مشترک و همگانی,تأکید بر حالت سعادتمند خودآگاه,طلب درک آگاهانه الوهیت,2,"عرفان به دنبال تجربه مستقیم و شخصی از واقعیت الهی است که می تواند شامل شهود، بینش یا درک آگاهانه از الوهیت باشد. اگرچه عرفان بر تجربیات معنوی تأکید دارد، اما این تجربیات منحصر به فرد و خاص هر فرد هستند، نه تجربیات مشترک و همگانی. بنابراین، ""طلب بینش از طریق تجربیات مشترک و همگانی"" موردی است که عرفان به دنبال آن نیست.",عرفان عبارت است از جستجوی ارتباط، شناخت یا درک آگاهانه از یک واقعیت، الوهیت، حقیقت معنوی یا خدا. این مؤمن خواستار تجربه، بصیرت یا بینشی مستقیم نسبت به واقعیت الهی/خدا یا خدایان است.,"[""'عرفان'"", ""'تجربه مستقیم'"", ""'واقعیت الهی'"", ""'بینش'"", ""'درک آگاهانه'"", ""'معنویت'""]"
8,محمد عمیقا به امور فراتر از این زندگی دنیوی علاقه مند بود. او عادت داشت که برای تامل به غاری به نام «حرا» در کوه «نور» برود. خود غار که طی اعصار سالم مانده است بیانگر تصور خیلی روشن از گرایش‌های روحانی حضرت محمد دارد. این غار در بالای یکی از کوه‌های شمال مکه واقع شده و به‌طور کامل از باقی نقاط جهان جدا شده است. در حقیقت، حتی اگر کسی بداند که چنین چیزی وجود دارد، پیدا کردنش کار ساده‌ای نیست. وقتی‌که وارد غار شدید، در یک انزوا کامل خواهید بود. هیچ چیزی غیر از آسمان صاف و زیبا در بالای سر و کوه‌های فراوان در اطراف دیده نمی‌شود. از داخل این غار بخش زیادی از این دنیا را نمی‌توان دید یا شنید.,بر اساس متن، غار محمد بیانگر چه چیزی درباره اعمال یا ارزش‌های روحانی او بود؟,1,"<answer>1</answer>

<explanation>غار حرا، مکانی بود که محمد برای تأمل و تفکر انتخاب کرده بود. این غار در بالای کوهی در شمال مکه قرار داشت و به دلیل موقعیت دورافتاده و جدا افتاده‌اش، فضایی آرام و منزوی را فراهم می‌کرد. توصیفاتی مانند ""انزوا کامل""، ""جدا شدن از باقی نقاط جهان"" و ""نبود هیچ چیز جز آسمان و کوه‌ها در اطراف"" نشان می‌دهد که محمد ارزش زیادی برای آرامش و تنهایی قائل بود تا بتواند به تأملات روحانی خود بپردازد.</explanation>

<highlight>خود غار که طی اعصار سالم مانده است بیانگر تصور خیلی روشن از گرایش‌های روحانی حضرت محمد دارد. این غار در بالای یکی از کوه‌های شمال مکه واقع شده و به‌طور کامل از باقی نقاط جهان جدا شده است. وقتی‌که وارد غار شدید، در یک انزوا کامل خواهید بود. هیچ چیزی غیر از آسمان صاف و زیبا در بالای سر و کوه‌های فراوان در اطراف دیده نمی‌شود.</highlight>

<keywords> [""غار حرا""، ""تأمل""، ""کوه نور""، ""انزوا""، ""آرامش""، ""جدا شدن از دنیا""] </keywords>",او برای آرامش و انزوا ارزش قائل بود,صدای بیرون به تأمل او کمک می‌کرد,به زمان خیلی کمی برای تنهایی نیاز داشت,نگران این بود که دیده یا شنیده شود,1,"غار حرا، مکانی بود که محمد برای تأمل و تفکر انتخاب کرده بود. این غار در بالای کوهی در شمال مکه قرار داشت و به دلیل موقعیت دورافتاده و جدا افتادهاش، فضایی آرام و منزوی را فراهم میکرد. توصیفاتی مانند ""انزوا کامل""، ""جدا شدن از باقی نقاط جهان"" و ""نبود هیچ چیز جز آسمان و کوهها در اطراف"" نشان میدهد که محمد ارزش زیادی برای آرامش و تنهایی قائل بود تا بتواند به تأملات روحانی خود بپردازد.",خود غار که طی اعصار سالم مانده است بیانگر تصور خیلی روشن از گرایشهای روحانی حضرت محمد دارد. این غار در بالای یکی از کوههای شمال مکه واقع شده و بهطور کامل از باقی نقاط جهان جدا شده است. وقتیکه وارد غار شدید، در یک انزوا کامل خواهید بود. هیچ چیزی غیر از آسمان صاف و زیبا در بالای سر و کوههای فراوان در اطراف دیده نمیشود.,"['""غار حرا""، ""تأمل""، ""کوه نور""، ""انزوا""، ""آرامش""، ""جدا شدن از دنیا""']"
9,کودکان از زمان کودکی نسبت به نژاد و کلیشه های نژادی آگاهی کسب می‌کنند و این کلیشه های نژادی بر رفتار تأثیر می گذارند. برای نمونه، کودکانی که با یک اقلیت‌نژادی شناخته می‌شوند که به‌صورت کلیشه‌ای عملکرد خوبی در مدرسه ندارد، به‌محض اینکه از این کلیشه نژاد خود آگاه می‌شوند تلاش می‌کنند تا عملکرد خوبی در مدرسه نداشته باشند.,با توجه به نظریه ارائه شده در متن، برای کودکانی که با یک اقلیت‌نژادی شناخته می‌شوند که به‌صورت کلیشه‌ای رفتار تهدیدآمیز دارد، چه اتفاقی ممکن است رخ دهد؟,2,"<answer>1</answer>

<explanation>با توجه به نظریه ارائه شده در متن، کودکان بر اساس آگاهی از کلیشه‌های نژادی خود، تلاش می‌کنند تا رفتاری داشته باشند که با این کلیشه‌ها همسو باشد. در این مورد خاص، کودکانی که با اقلیت نژادی مرتبط هستند که به‌صورت کلیشه‌ای رفتار تهدیدآمیز دارد، ممکن است تلاش کنند تا از درگیر شدن در چنین رفتارهایی خودداری کنند. این امر به دلیل تمایل کودک برای هماهنگ شدن با انتظارات اجتماعی و اجتناب از تقویت کلیشه‌های منفی است.</explanation>

<highlight>کودکان از زمان کودکی نسبت به نژاد و کلیشه های نژادی آگاهی کسب می‌کنند و این کلیشه های نژادی بر رفتار تأثیر می گذارند. ... کودکانی که با یک اقلیت‌نژادی شناخته می‌شوند ... به‌محض اینکه از این کلیشه نژاد خود آگاه می‌شوند تلاش می‌کنند تا با آن همسو شوند.</highlight>

<keywords>[""کودک"", ""نژاد"", ""کلیشه"", ""رفتار"", ""اقلیت"", ""مدرسه"", ""خودآگاهی"", ""همسو""]</keywords>",کودک سعی می‌کند از درگیر شدن در رفتارهای تهدیدآمیز خودداری کند,احتمال بیشتری وجود دارد که کودک درگیر رفتارهای تهدیدآمیز شود,کودک در موقعیت‌های اجتماعی کناره‌گیری می‌کند,کودک از تعامل با سایر اقلیت‌های نژادی امتناع خواهد کرد,1,با توجه به نظریه ارائه شده در متن، کودکان بر اساس آگاهی از کلیشههای نژادی خود، تلاش میکنند تا رفتاری داشته باشند که با این کلیشهها همسو باشد. در این مورد خاص، کودکانی که با اقلیت نژادی مرتبط هستند که بهصورت کلیشهای رفتار تهدیدآمیز دارد، ممکن است تلاش کنند تا از درگیر شدن در چنین رفتارهایی خودداری کنند. این امر به دلیل تمایل کودک برای هماهنگ شدن با انتظارات اجتماعی و اجتناب از تقویت کلیشههای منفی است.,کودکان از زمان کودکی نسبت به نژاد و کلیشه های نژادی آگاهی کسب میکنند و این کلیشه های نژادی بر رفتار تأثیر می گذارند. ... کودکانی که با یک اقلیتنژادی شناخته میشوند ... بهمحض اینکه از این کلیشه نژاد خود آگاه میشوند تلاش میکنند تا با آن همسو شوند.,"['""کودک""', '""نژاد""', '""کلیشه""', '""رفتار""', '""اقلیت""', '""مدرسه""', '""خودآگاهی""', '""همسو""']"
