,prediction,explanation,raw_output,index,strategy,prompt,passage,question,option_A,option_B,option_C,option_D,correct_answer_num
0,D,در قرن شانزدهم، اولین تلسکوپ‌های واقعی در اروپا ساخته شدند.,"<prediction>D</prediction>
<explanation>در قرن شانزدهم، اولین تلسکوپ‌های واقعی در اروپا ساخته شدند.</explanation>",0,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, choose the most likely correct answer (A–D).  
Step 2: Justify your answer **in Persian**, using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your answer.
- Do not mention or compare the other answer options.
- Keep the explanation short (1–3 Persian sentences).
- The explanation must be in Persian.
- The prediction must be one of the English letters: A, B, C, or D.

Please answer in EXACTLY this format (do not add anything else):
                                                       
<prediction>[A/B/C/D]</prediction>                                               
<explanation>[Your explanation in Persian]</explanation>                                                                                                              

---

Passage: بشر هزاران هزار سال از عدسی‌ها برای بزرگ‌نمایی استفاده می‌کرده است. با این حال، اولین تلسکوپ های واقعی در اواخر قرن 16 در اروپا ساخته شدند. در این تلسکوپ از ترکیب دو عدسی استفده شده است تا اجسام دور را هم نزدیکتر و هم بزرگتر نشان دهد.

Question: کدام یک از موارد زیر را انسان‌ها در قرن شانزدهم شروع کردند؟

Options:  
A) استفاده از عدسی‌ها  
B) بزرگنمایی اشیاء  
C) ساخت عدسی‌ها  
D) ساخت تلسکوپ
",بشر هزاران هزار سال از عدسی‌ها برای بزرگ‌نمایی استفاده می‌کرده است. با این حال، اولین تلسکوپ های واقعی در اواخر قرن 16 در اروپا ساخته شدند. در این تلسکوپ از ترکیب دو عدسی استفده شده است تا اجسام دور را هم نزدیکتر و هم بزرگتر نشان دهد.,کدام یک از موارد زیر را انسان‌ها در قرن شانزدهم شروع کردند؟,استفاده از عدسی‌ها,بزرگنمایی اشیاء,ساخت عدسی‌ها,ساخت تلسکوپ,4
1,D,در متن گفته شده که انسان‌ها هزاران سال است که از عدسی‌ها استفاده می‌کنند، اما اولین تلسکوپ‌های واقعی در قرن شانزدهم ساخته شدند. بنابراین گزینه درست باید مربوط به ساخت تلسکوپ باشد.,"<explanation>در متن گفته شده که انسان‌ها هزاران سال است که از عدسی‌ها استفاده می‌کنند، اما اولین تلسکوپ‌های واقعی در قرن شانزدهم ساخته شدند. بنابراین گزینه درست باید مربوط به ساخت تلسکوپ باشد.</explanation>
<prediction>D</prediction>",0,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Provide a step-by-step explanation **in Persian**, based on the passage.  
Step 2: Choose the most supported option (A–D) based on your reasoning.
                                                       
Instructions:
- Your reasoning must be in Persian.
- Do not mention option letters in the explanation.
- Conclude with the final answer (A/B/C/D) in English.

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning in Persian]</explanation>                                              
<prediction>[Final answer: A/B/C/D]</prediction>                                                                                                                
---

Passage: بشر هزاران هزار سال از عدسی‌ها برای بزرگ‌نمایی استفاده می‌کرده است. با این حال، اولین تلسکوپ های واقعی در اواخر قرن 16 در اروپا ساخته شدند. در این تلسکوپ از ترکیب دو عدسی استفده شده است تا اجسام دور را هم نزدیکتر و هم بزرگتر نشان دهد.

Question: کدام یک از موارد زیر را انسان‌ها در قرن شانزدهم شروع کردند؟

Options:  
A) استفاده از عدسی‌ها  
B) بزرگنمایی اشیاء  
C) ساخت عدسی‌ها  
D) ساخت تلسکوپ
",بشر هزاران هزار سال از عدسی‌ها برای بزرگ‌نمایی استفاده می‌کرده است. با این حال، اولین تلسکوپ های واقعی در اواخر قرن 16 در اروپا ساخته شدند. در این تلسکوپ از ترکیب دو عدسی استفده شده است تا اجسام دور را هم نزدیکتر و هم بزرگتر نشان دهد.,کدام یک از موارد زیر را انسان‌ها در قرن شانزدهم شروع کردند؟,استفاده از عدسی‌ها,بزرگنمایی اشیاء,ساخت عدسی‌ها,ساخت تلسکوپ,4
2,,در این متن آمده است که اولین تلسکوپ‌های واقعی در قرن شانزدهم در اروپا ساخته شدند.,<explanation>در این متن آمده است که اولین تلسکوپ‌های واقعی در قرن شانزدهم در اروپا ساخته شدند.</explanation>,0,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.

Your task is to explain **in Persian** why this answer is correct, using only the passage.
                                               
Instructions:
- Only explain why the correct answer (D) is justified.
- Do not reference incorrect options.
- Highlight key evidence from the passage in Persian.
- Keep your explanation concise (1–3 Persian sentences).
- Do not copy any option text directly.

Please answer in EXACTLY this format (do not add anything else):
<explanation>[Your Persian explanation of why the answer is correct]</explanation>                                                                                                

---

Passage: بشر هزاران هزار سال از عدسی‌ها برای بزرگ‌نمایی استفاده می‌کرده است. با این حال، اولین تلسکوپ های واقعی در اواخر قرن 16 در اروپا ساخته شدند. در این تلسکوپ از ترکیب دو عدسی استفده شده است تا اجسام دور را هم نزدیکتر و هم بزرگتر نشان دهد.

Question: کدام یک از موارد زیر را انسان‌ها در قرن شانزدهم شروع کردند؟

Options:  
A) استفاده از عدسی‌ها  
B) بزرگنمایی اشیاء  
C) ساخت عدسی‌ها  
D) ساخت تلسکوپ

Correct Answer: D
",بشر هزاران هزار سال از عدسی‌ها برای بزرگ‌نمایی استفاده می‌کرده است. با این حال، اولین تلسکوپ های واقعی در اواخر قرن 16 در اروپا ساخته شدند. در این تلسکوپ از ترکیب دو عدسی استفده شده است تا اجسام دور را هم نزدیکتر و هم بزرگتر نشان دهد.,کدام یک از موارد زیر را انسان‌ها در قرن شانزدهم شروع کردند؟,استفاده از عدسی‌ها,بزرگنمایی اشیاء,ساخت عدسی‌ها,ساخت تلسکوپ,4
3,D,دوره استعماری سه قرن توسط فاتحان اسپانیایی آغاز شد.,"<prediction>D</prediction>
<explanation>دوره استعماری سه قرن توسط فاتحان اسپانیایی آغاز شد.</explanation>",1,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, choose the most likely correct answer (A–D).  
Step 2: Justify your answer **in Persian**, using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your answer.
- Do not mention or compare the other answer options.
- Keep the explanation short (1–3 Persian sentences).
- The explanation must be in Persian.
- The prediction must be one of the English letters: A, B, C, or D.

Please answer in EXACTLY this format (do not add anything else):
                                                       
<prediction>[A/B/C/D]</prediction>                                               
<explanation>[Your explanation in Persian]</explanation>                                                                                                              

---

Passage: گوارانی‌ها مهم‌ترین گروه بومی ساکن پاراگوئه شرقی کنونی بودند که به شکل شکارچیان نیمه کوچ‌نشین زندگی می‌کردند و به کشاورزی معیشتی نیز می‌پرداختند. منطقه چاکو محل اقامت گروه‌های دیگر قبایل بومی مانند Guaycurú و Payaguá بود که با شکار، جمع آوری و ماهیگیری زندگی خود را می‌گذراندند. در قرن 16، پاراگوئه که قبلاً «استان غول پیکر هند» خوانده می شد، در نتیجه برخورد فاتحان اسپانیایی با گروه های بومی متولد شد. اسپانیایی‌ها دوره استعماری را شروع کردند که سه قرن طول کشید. پاراگوئه از زمان تأسیس آسانسیون در سال 1537، توانسته است بسیاری از خصوصیات و شخصیت‌های بومی خود را حفظ کند.

Question: دوران استعمارگری که سه قرن طول کشید توسط کدام گروه شروع شد؟

Options:  
A) پاراگوئه  
B) Guaycurú  
C) گورانی‌ها   
D) فاتحان اسپانیایی
",گوارانی‌ها مهم‌ترین گروه بومی ساکن پاراگوئه شرقی کنونی بودند که به شکل شکارچیان نیمه کوچ‌نشین زندگی می‌کردند و به کشاورزی معیشتی نیز می‌پرداختند. منطقه چاکو محل اقامت گروه‌های دیگر قبایل بومی مانند Guaycurú و Payaguá بود که با شکار، جمع آوری و ماهیگیری زندگی خود را می‌گذراندند. در قرن 16، پاراگوئه که قبلاً «استان غول پیکر هند» خوانده می شد، در نتیجه برخورد فاتحان اسپانیایی با گروه های بومی متولد شد. اسپانیایی‌ها دوره استعماری را شروع کردند که سه قرن طول کشید. پاراگوئه از زمان تأسیس آسانسیون در سال 1537، توانسته است بسیاری از خصوصیات و شخصیت‌های بومی خود را حفظ کند.,دوران استعمارگری که سه قرن طول کشید توسط کدام گروه شروع شد؟,پاراگوئه,Guaycurú,گورانی‌ها ,فاتحان اسپانیایی,4
4,D,"فاتحان اسپانیایی در قرن 16 وارد پاراگوئه شدند و دوره استعماری سه قرن را آغاز کردند. بنابراین، پاسخ باید ""فاتحان اسپانیایی"" باشد.","<explanation>فاتحان اسپانیایی در قرن 16 وارد پاراگوئه شدند و دوره استعماری سه قرن را آغاز کردند. بنابراین، پاسخ باید ""فاتحان اسپانیایی"" باشد.</explanation>
<prediction>D</prediction>",1,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Provide a step-by-step explanation **in Persian**, based on the passage.  
Step 2: Choose the most supported option (A–D) based on your reasoning.
                                                       
Instructions:
- Your reasoning must be in Persian.
- Do not mention option letters in the explanation.
- Conclude with the final answer (A/B/C/D) in English.

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning in Persian]</explanation>                                              
<prediction>[Final answer: A/B/C/D]</prediction>                                                                                                                
---

Passage: گوارانی‌ها مهم‌ترین گروه بومی ساکن پاراگوئه شرقی کنونی بودند که به شکل شکارچیان نیمه کوچ‌نشین زندگی می‌کردند و به کشاورزی معیشتی نیز می‌پرداختند. منطقه چاکو محل اقامت گروه‌های دیگر قبایل بومی مانند Guaycurú و Payaguá بود که با شکار، جمع آوری و ماهیگیری زندگی خود را می‌گذراندند. در قرن 16، پاراگوئه که قبلاً «استان غول پیکر هند» خوانده می شد، در نتیجه برخورد فاتحان اسپانیایی با گروه های بومی متولد شد. اسپانیایی‌ها دوره استعماری را شروع کردند که سه قرن طول کشید. پاراگوئه از زمان تأسیس آسانسیون در سال 1537، توانسته است بسیاری از خصوصیات و شخصیت‌های بومی خود را حفظ کند.

Question: دوران استعمارگری که سه قرن طول کشید توسط کدام گروه شروع شد؟

Options:  
A) پاراگوئه  
B) Guaycurú  
C) گورانی‌ها   
D) فاتحان اسپانیایی
",گوارانی‌ها مهم‌ترین گروه بومی ساکن پاراگوئه شرقی کنونی بودند که به شکل شکارچیان نیمه کوچ‌نشین زندگی می‌کردند و به کشاورزی معیشتی نیز می‌پرداختند. منطقه چاکو محل اقامت گروه‌های دیگر قبایل بومی مانند Guaycurú و Payaguá بود که با شکار، جمع آوری و ماهیگیری زندگی خود را می‌گذراندند. در قرن 16، پاراگوئه که قبلاً «استان غول پیکر هند» خوانده می شد، در نتیجه برخورد فاتحان اسپانیایی با گروه های بومی متولد شد. اسپانیایی‌ها دوره استعماری را شروع کردند که سه قرن طول کشید. پاراگوئه از زمان تأسیس آسانسیون در سال 1537، توانسته است بسیاری از خصوصیات و شخصیت‌های بومی خود را حفظ کند.,دوران استعمارگری که سه قرن طول کشید توسط کدام گروه شروع شد؟,پاراگوئه,Guaycurú,گورانی‌ها ,فاتحان اسپانیایی,4
5,,"در متن گفته شده است که ""اسپانیایی‌ها دوره استعماری را شروع کردند که سه قرن طول کشید"".","<explanation>در متن گفته شده است که ""اسپانیایی‌ها دوره استعماری را شروع کردند که سه قرن طول کشید"".</explanation>",1,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.

Your task is to explain **in Persian** why this answer is correct, using only the passage.
                                               
Instructions:
- Only explain why the correct answer (D) is justified.
- Do not reference incorrect options.
- Highlight key evidence from the passage in Persian.
- Keep your explanation concise (1–3 Persian sentences).
- Do not copy any option text directly.

Please answer in EXACTLY this format (do not add anything else):
<explanation>[Your Persian explanation of why the answer is correct]</explanation>                                                                                                

---

Passage: گوارانی‌ها مهم‌ترین گروه بومی ساکن پاراگوئه شرقی کنونی بودند که به شکل شکارچیان نیمه کوچ‌نشین زندگی می‌کردند و به کشاورزی معیشتی نیز می‌پرداختند. منطقه چاکو محل اقامت گروه‌های دیگر قبایل بومی مانند Guaycurú و Payaguá بود که با شکار، جمع آوری و ماهیگیری زندگی خود را می‌گذراندند. در قرن 16، پاراگوئه که قبلاً «استان غول پیکر هند» خوانده می شد، در نتیجه برخورد فاتحان اسپانیایی با گروه های بومی متولد شد. اسپانیایی‌ها دوره استعماری را شروع کردند که سه قرن طول کشید. پاراگوئه از زمان تأسیس آسانسیون در سال 1537، توانسته است بسیاری از خصوصیات و شخصیت‌های بومی خود را حفظ کند.

Question: دوران استعمارگری که سه قرن طول کشید توسط کدام گروه شروع شد؟

Options:  
A) پاراگوئه  
B) Guaycurú  
C) گورانی‌ها   
D) فاتحان اسپانیایی

Correct Answer: D
",گوارانی‌ها مهم‌ترین گروه بومی ساکن پاراگوئه شرقی کنونی بودند که به شکل شکارچیان نیمه کوچ‌نشین زندگی می‌کردند و به کشاورزی معیشتی نیز می‌پرداختند. منطقه چاکو محل اقامت گروه‌های دیگر قبایل بومی مانند Guaycurú و Payaguá بود که با شکار، جمع آوری و ماهیگیری زندگی خود را می‌گذراندند. در قرن 16، پاراگوئه که قبلاً «استان غول پیکر هند» خوانده می شد، در نتیجه برخورد فاتحان اسپانیایی با گروه های بومی متولد شد. اسپانیایی‌ها دوره استعماری را شروع کردند که سه قرن طول کشید. پاراگوئه از زمان تأسیس آسانسیون در سال 1537، توانسته است بسیاری از خصوصیات و شخصیت‌های بومی خود را حفظ کند.,دوران استعمارگری که سه قرن طول کشید توسط کدام گروه شروع شد؟,پاراگوئه,Guaycurú,گورانی‌ها ,فاتحان اسپانیایی,4
6,C,فوتوسفر، یعنی «توپ نور»، لایه بیرونی خورشید است که از زمین قابل مشاهده است.,"<prediction>C</prediction>
<explanation>فوتوسفر، یعنی «توپ نور»، لایه بیرونی خورشید است که از زمین قابل مشاهده است.</explanation>",2,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, choose the most likely correct answer (A–D).  
Step 2: Justify your answer **in Persian**, using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your answer.
- Do not mention or compare the other answer options.
- Keep the explanation short (1–3 Persian sentences).
- The explanation must be in Persian.
- The prediction must be one of the English letters: A, B, C, or D.

Please answer in EXACTLY this format (do not add anything else):
                                                       
<prediction>[A/B/C/D]</prediction>                                               
<explanation>[Your explanation in Persian]</explanation>                                                                                                              

---

Passage: خورشید پوسته‌ای شبیه کره زمین ندارد که بتوانید روی آن بایستید. کل خورشید از گازها، آتش و پلاسما ساخته شده است. هرچه از مرکز خورشید دورتر شوید، این گاز رقیق‌تر می‌شود. وقتی به خورشید نگاه می‌کنیم قسمت بیرونی که می‌بینیم فوتوسفر گفته می‌شود که به معنی «توپ نور» است.

Question: با توجه به متن، کدام قسمت از خورشید از زمین قابل مشاهده است؟

Options:  
A) پوسته  
B) پلاسما  
C) فوتوسفر  
D) مرکز
",خورشید پوسته‌ای شبیه کره زمین ندارد که بتوانید روی آن بایستید. کل خورشید از گازها، آتش و پلاسما ساخته شده است. هرچه از مرکز خورشید دورتر شوید، این گاز رقیق‌تر می‌شود. وقتی به خورشید نگاه می‌کنیم قسمت بیرونی که می‌بینیم فوتوسفر گفته می‌شود که به معنی «توپ نور» است.,با توجه به متن، کدام قسمت از خورشید از زمین قابل مشاهده است؟,پوسته,پلاسما,فوتوسفر,مرکز,3
7,C,فوتوسفر به معنای «توپ نور» است و در متن آمده است که وقتی به خورشید نگاه می‌کنیم، قسمت بیرونی که می‌بینیم فوتوسفر است. بنابراین، پاسخ فوتوسفر است.,"<explanation>فوتوسفر به معنای «توپ نور» است و در متن آمده است که وقتی به خورشید نگاه می‌کنیم، قسمت بیرونی که می‌بینیم فوتوسفر است. بنابراین، پاسخ فوتوسفر است.</explanation>
<prediction>C</prediction>",2,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Provide a step-by-step explanation **in Persian**, based on the passage.  
Step 2: Choose the most supported option (A–D) based on your reasoning.
                                                       
Instructions:
- Your reasoning must be in Persian.
- Do not mention option letters in the explanation.
- Conclude with the final answer (A/B/C/D) in English.

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning in Persian]</explanation>                                              
<prediction>[Final answer: A/B/C/D]</prediction>                                                                                                                
---

Passage: خورشید پوسته‌ای شبیه کره زمین ندارد که بتوانید روی آن بایستید. کل خورشید از گازها، آتش و پلاسما ساخته شده است. هرچه از مرکز خورشید دورتر شوید، این گاز رقیق‌تر می‌شود. وقتی به خورشید نگاه می‌کنیم قسمت بیرونی که می‌بینیم فوتوسفر گفته می‌شود که به معنی «توپ نور» است.

Question: با توجه به متن، کدام قسمت از خورشید از زمین قابل مشاهده است؟

Options:  
A) پوسته  
B) پلاسما  
C) فوتوسفر  
D) مرکز
",خورشید پوسته‌ای شبیه کره زمین ندارد که بتوانید روی آن بایستید. کل خورشید از گازها، آتش و پلاسما ساخته شده است. هرچه از مرکز خورشید دورتر شوید، این گاز رقیق‌تر می‌شود. وقتی به خورشید نگاه می‌کنیم قسمت بیرونی که می‌بینیم فوتوسفر گفته می‌شود که به معنی «توپ نور» است.,با توجه به متن، کدام قسمت از خورشید از زمین قابل مشاهده است؟,پوسته,پلاسما,فوتوسفر,مرکز,3
8,,فوتوسفر، که به معنای «توپ نور» است، لایه بیرونی خورشید است که از زمین قابل مشاهده است.,<explanation>فوتوسفر، که به معنای «توپ نور» است، لایه بیرونی خورشید است که از زمین قابل مشاهده است.</explanation>,2,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.

Your task is to explain **in Persian** why this answer is correct, using only the passage.
                                               
Instructions:
- Only explain why the correct answer (C) is justified.
- Do not reference incorrect options.
- Highlight key evidence from the passage in Persian.
- Keep your explanation concise (1–3 Persian sentences).
- Do not copy any option text directly.

Please answer in EXACTLY this format (do not add anything else):
<explanation>[Your Persian explanation of why the answer is correct]</explanation>                                                                                                

---

Passage: خورشید پوسته‌ای شبیه کره زمین ندارد که بتوانید روی آن بایستید. کل خورشید از گازها، آتش و پلاسما ساخته شده است. هرچه از مرکز خورشید دورتر شوید، این گاز رقیق‌تر می‌شود. وقتی به خورشید نگاه می‌کنیم قسمت بیرونی که می‌بینیم فوتوسفر گفته می‌شود که به معنی «توپ نور» است.

Question: با توجه به متن، کدام قسمت از خورشید از زمین قابل مشاهده است؟

Options:  
A) پوسته  
B) پلاسما  
C) فوتوسفر  
D) مرکز

Correct Answer: C
",خورشید پوسته‌ای شبیه کره زمین ندارد که بتوانید روی آن بایستید. کل خورشید از گازها، آتش و پلاسما ساخته شده است. هرچه از مرکز خورشید دورتر شوید، این گاز رقیق‌تر می‌شود. وقتی به خورشید نگاه می‌کنیم قسمت بیرونی که می‌بینیم فوتوسفر گفته می‌شود که به معنی «توپ نور» است.,با توجه به متن، کدام قسمت از خورشید از زمین قابل مشاهده است؟,پوسته,پلاسما,فوتوسفر,مرکز,3
9,B,مقامات تایید کردند که مظنون به بمب گذاری عضو گروه قومی اویغور است.,"<prediction>B</prediction> 
<explanation>مقامات تایید کردند که مظنون به بمب گذاری عضو گروه قومی اویغور است.</explanation>",3,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, choose the most likely correct answer (A–D).  
Step 2: Justify your answer **in Persian**, using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your answer.
- Do not mention or compare the other answer options.
- Keep the explanation short (1–3 Persian sentences).
- The explanation must be in Persian.
- The prediction must be one of the English letters: A, B, C, or D.

Please answer in EXACTLY this format (do not add anything else):
                                                       
<prediction>[A/B/C/D]</prediction>                                               
<explanation>[Your explanation in Persian]</explanation>                                                                                                              

---

Passage: آن مرد ظاهراً یک خودروی سه‌چرخ مسلح به مواد منفجره را به داخل جمعیت هدایت کرده بود. مرد مظنون به انفجار بمب، پس از تحمل جراحات ناشی از انفجار، بازداشت شد. اگرچه آنها می‌دانند كه او عضو گروه قومی اویغور است، نام وی هنوز برای مقامات ناشناخته است.

Question: مقامات چه اطلاعاتی درخصوص حمله تأیید کرده بودند؟

Options:  
A) هویت هم‌دست‌ها  
B) قومیت مظنون  
C) انگیزه حمله  
D) نام و نام خانوادگی مظنون
",آن مرد ظاهراً یک خودروی سه‌چرخ مسلح به مواد منفجره را به داخل جمعیت هدایت کرده بود. مرد مظنون به انفجار بمب، پس از تحمل جراحات ناشی از انفجار، بازداشت شد. اگرچه آنها می‌دانند كه او عضو گروه قومی اویغور است، نام وی هنوز برای مقامات ناشناخته است.,مقامات چه اطلاعاتی درخصوص حمله تأیید کرده بودند؟,هویت هم‌دست‌ها,قومیت مظنون,انگیزه حمله,نام و نام خانوادگی مظنون,2
