,Passage,Question,Original Answer,Predicted Answer,Option 1,Option 2,Option 3,Option 4,is_correct
7,تقریباً تمام رایانه‌هایی که امروزه مورد استفاده قرار می‌گیرد، مبتنی بر به‌کار بری اطلاعات هستند که به صورت اعداد دو دویی کدگذاری می‌شوند. یک عدد دودویی فقط می‌تواند یکی از دو مقدار، یعنی 0 یا 1 را داشته باشد، و در اصطلاح تخصصی رایانه‌ای از این شماره‌ها به عنوان رقم‌های دودویی - یا بیت - یاد می‌شود.,با توجه به متن، کدام یک از موارد زیر مثالی از عدد دودویی پنج بیتی است؟,3,4,1010,12001,10010,110101,False
10,"وبلاگ‌ها همچنین می‌توانند به پیشرفت مهارت نوشتن دانش‌آموز کمک کنند. گرچه دانش‌آموزان اغلب وبلاگ‌نویسی خود را با گرامر و املای درهم و برهم آغاز می‌کنند، حضور مخاطب عموماً در این موضوع تغییر ایجاد می‌کند. از آنجا که دانش آموزان اغلب نکته‌سنج‌ترین مخاطب هستند، نویسنده وبلاگ برای جلوگیری از انتقاد، در جهت بهبود نوشتن تلاش می کند. اگرچه وبلاگ‌نویسی «دانشجویان را مجبور می‌کند که درباره دنیای اطراف خود ادراک بیشتری داشته باشند،» ولی نیاز به تأمین علاقه مخاطب دانشجوها را ترغیب به هوشیاری و علاقمندی می‌کند (Toto, 2004). وبلاگ‌نویسی ابزاری است که الهام‌بخش همکاری بوده و دانش‌آموزان را ترغیب می‌کند تا یادگیری را فراتر از برنامه‌های روزانه سنتی مدرسه گسترش دهند. استفاده مناسب از وبلاگ‌ها «می‌تواند به دانش‌آموزان کمک کند تا به فردی تحلیلی‌تر و نقادتر تبدیل شوند؛ و از طریق پاسخ فعالانه به مطالب اینترنتی، دانش‌آموزان می‌توانند مواضع خود را در متن نوشته‌های دیگران تعریف کنند و همچنین دیدگاه‌های خود را درمورد موضوعات خاص مطرح کنند» (اوراوک، 2002).",کدام یک از جنبه‌های وبلاگ‌نویسی به عنوان انگیزه‌ای برای بهبود مهارت نویسندگی دانش‌آموزان مطرح شده است؟,2,3,پاسخ فعالانه به مطالب اینترنتی,ضرورت اجتناب از انتقاد,تأمین علاقه مخاطبانشان,نیاز به همکاری و مشارکت,False
15,برای این دوره معمول است، قلعه Kirby Muxloe بیش از آنکه یک قلعه واقعی باشد، یک خانه مستحکم است. پنجره‌های بزرگ لعاب‌دار و دیوارهای نازک آن برای مدت طولانی نمی‌توانست در برابر حمله طولانی‌مدت مقاومت کند. در دهه 1480، هنگامی که ساخت آن توسط Lord Hastings آغاز شد، این کشور نسبتاً صلح آمیز بود و فقط در برابر گروه‌های کوچکی از غارتگران غربتی به دفاع نیاز بود.,کدام مورد توصیف دقیقی از قلعه Kirby Muxloe نیست؟,2,4,دیوارهای ضخیم قلعه به درخواست Lord Hastings ساخته شده بود ,به دلیل ماهیت صلح‌آمیز کشور در زمان ساخت به استحکامات چندانی نیاز نداشت ,ساخت قلعه در آن دوره زمانی رایج نبود,برای مقاومت در برابر حملات طولانی‌مدت و خاصی ساخته شده بود,False
16,برای این دوره معمول است، قلعه Kirby Muxloe بیش از آنکه یک قلعه واقعی باشد، یک خانه مستحکم است. پنجره‌های بزرگ لعاب‌دار و دیوارهای نازک آن برای مدت طولانی نمی‌توانست در برابر حمله طولانی‌مدت مقاومت کند. در دهه 1480، هنگامی که ساخت آن توسط Lord Hastings آغاز شد، این کشور نسبتاً صلح آمیز بود و فقط در برابر گروه‌های کوچکی از غارتگران غربتی به دفاع نیاز بود.,کدام یک از ویژگی‌های ساخت‌وساز برای قلعه Kirby Muxloe در طول دوره زمانی توصیف‌شده در متن غیرعادی در نظر گرفته می‌شد؟,2,1,پنجره‌های بزرگ,بنیانی که برای مقاومت در حملات ساخته شده است,استحکاماتی کمتر‌ از برخی قلعه‌ها,دیوارهای نازک,False
28,گرچه هوش مصنوعی از دلالت ضمنی قوی بر داستان‌های علمی-تخیلی برخوردار است، هوش مصنوعی شاخه‌ای بسیار مهم از علوم رایانه‌ای را شکل می‌دهد، که با رفتار، یادگیری و سازگاری هوشمند در یک ماشین سروکار دارد. پژوهش در صنعت هوش مصنوعی شامل ساخت ماشین‌ها برای خودکار‌سازی وظایفی می‌شود که مستلزم رفتار هوشمندانه است. نمونه‌ها عبارتند از کنترل، برنامه‌ریزی، زمان‌بندی، توانایی پاسخ‌گویی به مشکلات و سؤالات مشتریان، و همچنین تشخیص دست‌خط، صدا و چهره. چنین مواردی تبدیل به رشته‌هایی مجزا شده‌اند که بر ارائه راه حل‌هایی برای مشکلات زندگی واقعی تمرکز می‌کنند. اکنون از سیستم هوش مصنوعی اغلب در زمینه‌های اقتصادی، پزشکی، مهندسی و نظامی استفاده می‌شود، همان‌طور که در رایانه‌های خانگی متعدد و برنامه‌های نرم‌افزاری بازی‌های ویدئویی تعبیه شده است.,با توجه به متن، هوش مصنوعی اغلب با کدام یک از موارد زیر مرتبط است؟,3,4,خدمات مشتریان,برنامه‌ریزی و زمان‌بندی,داستان علمی-تخیلی,تشخیص دست‌خط,False
43,در این دوره از تاریخ اروپا، کلیسای کاتولیک، که ثروتمند و قدرتمند شده بودند، تحت نظارت قرار گرفتند. بیش از هزار سال بود که دین مسیح علیرغم اختلاف در زبان و آداب و رسوم، کشورهای اروپایی را به هم پیوند داده بود. من قدرت همه جانبه آن همه را تحت تأثیر قرار داد از پاشاه گرفته تا افراد عادی. یکی از اعتقادات اصلی مسیحیت این است که از ثروت باید برای تسکین رنج و فقر استفاده شود و صندوق‌های پول کلیسا دقیقاً به همین دلیل ایجاد شده است. قدرت مرکزی کلیسا برای بیش از هزار سال در روم بوده است و این تمرکز قدرت و پول برای بسیاری سبب این سؤال شده که آیا این اصل به هدف خود رسیده است یا خیر.,کدام یک از جنبه‌های زیر کلیسای کاتولیک مورد بررسی دقیق قرار نگرفت؟,2,4,آیا تخصیص ثروت درون کلیسا متاسب بود,آیا اصول دین باید اصلاح شود,تمرکز قدرت درون کلیسا,آیا اصول اساسی کلیسا برآورده می‌شد,False
55,تأثیرات اجتماعی و سیاسی بسیاری وجود دارد از جمله استفاده از سیستم متریک، تغییر از مطلق گرایی به جمهوری خواهی، ملی گرایی و اعتقاد به اینکه کشور به مردم تعلق دارد نه به یک حاکم تنها. همچنین پس از انقلاب مشاغل به روی همه متقاضیان مرد باز بود و برای افراد بلندپروازتر و موفق‌تر امکان موفقیت ایجاد می‌کرد. همین موضوع برای نظامیان صادق است، زیرا بجای این که رتبه‌بندی ارتش براساس رده باشد، اکنون براساس قابلیت بود. انقلاب فرانسه همچنین الهام‌بخش بسیاری دیگر از افراد سرکوب‌شده طبقه کارگر در سایر کشورها شد تا انقلاب خود را آغاز کنند.,پس از انقلاب فرانسه، موفقیت در ارتش و سایر مشاغل کمتر از چه چیزی تأثیر می‌پذیرفت؟,2,4,موفقیت,رتبه‌بندی,بلندپروازی,استعداد,False
62,جهش می‌تواند تأثیرات بسیار متفاوتی داشته باشد که بستگی دارد به نوع جهش، اهمیت قطعه ماده ژنتیکی تحت تأثیر، و اینکه آیا سلولهای درگیر سلولهای ژرم لاین هستند یا نه. تنها جهش در سلول‌های مشابه میکروبی می‌تواند به کودکان منتقل شود، درحالیکه جهش در جاهای دیگر می‌تواند باعث مرگ سلول یا سرطان شود.,بر اساس اطلاعات ارائه‌شده در متن، اثرات مختلف جهش‌ها بر چه چیزی متکی نیستند؟,1,2,چه مقدار از ماده ژنتیک تحت تأثیر قرار گرفته است,اینکه آیا سلول‌های تحت‌تأثیر ژرم لاین هستند یا نه,اهمیت ماده ژنتیک تحت‌تأثیر قرار گرفته,نوع جهش تحت تأثیر,False
63,"به نظر می‌رسد که بزها ابتدا حدود 10,000 سال پیش در کوه‌های زاگرس ایران اهلی شده باشند. فرهنگهای کهن و قبایل شروع به نگهداری از آنها برای دسترسی آسان به شیر، پشم، گوشت، و پوست کردند. بزهای اهلی بطور کل بصورت گله‌ای روی تپه‌ها یا سایر مناطق چرا نگهداری می‌شدند و اغلب توسط بزچران‌هایی که اغلب کودک و نوجوان بودند مشابه چوپانان معمول تیمار می‌شدند. این روش‌های گله‌داری هنوز امروزه بکار می‌روند.",کدام یک از موارد زیر دلیلی بر نگهداری بز در فرهنگ‌های باستانی نبود؟,3,2,امکان دسترسی به گوشت را فراهم می‌کردند,به کوتاه کردن چمن‌ها کمک می‌کردند,نقش همراه را داشتند,دسترسی به شیر را فراهم می‌کردند,False
71,بشر هزاران هزار سال از عدسی‌ها برای بزرگ‌نمایی استفاده می‌کرده است. با این حال، اولین تلسکوپ های واقعی در اواخر قرن 16 در اروپا ساخته شدند. در این تلسکوپ از ترکیب دو عدسی استفده شده است تا اجسام دور را هم نزدیکتر و هم بزرگتر نشان دهد.,چه مدت است که انسان‌ها با استفاده از لنز اجسام را بزرگ‌نمایی می‌کنند؟,2,3,هزار سال,از اواخر قرن شانزدهم,به مدت هزاران سال,از اوایل قرن شانزدهم,False
77,علامت «کمان رو به بالا» مانند یک V است و «علامت کمان رو به پایین» مانند منگنه یا یک مربع بدون قسمت انتهایی است. بالا یعنی باید از نوک شروع کنید و آرشه را بکشید، و پایین یعنی باید از پاشنه (که همان محل گرفتن آرشه توسط دست است) شروع کنید و آرشه را به جلو ببرید. معمولاً کشیدن آرشه به‌طرف دسته ویولون صدایی نرمتر ایجاد می‌کند، در‌حالی‌که حرکت عکس آن قوی‌تر و محکم‌تر است. علامت‌های خود را آزادانه با مداد بکشید، اما به یاد داشته باشید که علامت‌های چاپ شده آرشه در آنجا جنبه موسیقیایی دارند، بنابراین معمولا باید به آنها احترام گذاشت.,با توجه به متن، کدام یک از موارد زیر مربوط به کشیدن آرشه نیست؟,1,2,صدای ملایم‌‌تر,علامتی که مانند منگنه است,صدای قوی‌تر,شروع از پاشنه,False
80,هومینیدها برخلاف سایر نخستی‌سانان دیگر از دست‌هایشان در جابجایی یا تحمل وزن یا پریدن از درختی به درخت دیگر استفاده نمی‌کنند. دست و پای شامپانزه از نظر اندازه و طول یکسان هستند و بیانگر استفاده از دست برای تحمل وزن و مشت‌پیمایی است. دست انسان کوتاه‌تر از پایش است و استخوان‌های بند انگشت صاف‌تری دارد. استخوان‌های دست فسیلی با قدمت دو میلیون تا سه میلیون سال تغییر تخصص دست را حرکتی به دستکاری را نشان می دهد.,کدام یک از موارد زیر به طور دقیق بند انگشت‌های شامپانزه را توصیف می‌کند؟ ,3,2,نسبت به انسان صاف‌تر هستند,دست‌ها و پایشان از لحاظ اندازه متفاوت هستند,برای تحمل وزن استفاده می‌شوند,عمدتاً برای دستکاری استفاده می‌شوند,False
