Unnamed: 0,question_id,question,choices,answer,hint,task,grade,subject,topic,category,skill,lecture,solution,split,choice_1,choice_2,choice_3,choice_4,original_answer,answer_humanity,has_solution,has_lecture,has_hint,Translated_Question,Translated_Option_1,Translated_Option_2,Translated_Option_3,Translated_Option_4,Translated_Hint,Translated_Solution
9497,2584,Select the animal.,"['Ostriches run and walk.', 'Maple trees have star-shaped leaves.']",0,nan,closed choice,grade2,natural science,biology,Classification,Identify plants and animals,"Plants and animals are living things. Living things are called organisms.
Plants come in many shapes and sizes. Most plants grow in the ground. They might grow leaves, flowers, and fruit. Plants cannot move around on their own like animals can.
Animals also come in many shapes and sizes. Most animals can move around. Animals might run, swim, jump, or fly. Animals eat plants or other organisms for food.","An ostrich is an animal. It runs and walks.
Ostriches are the largest living birds. They cannot fly, but they can run very fast.
A maple tree is a plant. It has star-shaped leaves.
Maple trees have green leaves in the spring and summer. In the fall, their leaves turn yellow, red, or brown.",train,Ostriches run and walk.,Maple trees have star-shaped leaves.,nan,nan,Ostriches run and walk.,1,1,1,0,حیوان را انتخاب کنید.,1: [,2: ',3: O,4: s,ندارد,شترمرغ یک حیوان است. می‌دود و راه می‌رود. شترمرغ‌ها بزرگترین پرندگان زنده هستند. نمی‌توانند پرواز کنند، اما می‌توانند خیلی سریع بدوند. درخت افرا یک گیاه است. برگ‌های پنجه مانند دارد. درختان افرا در بهار و تابستان برگ‌های سبز دارند. در پاییز، برگ‌های آن‌ها زرد، قرمز یا قهوه‌ای می‌شود.
17889,4854,What information supports the conclusion that Erin acquired this trait?,"['Erin likes to look at butterflies and beetles.', 'Erin learned to identify insects by reading many books about insects.']",1,"Read the description of a trait.
Erin is good at identifying insects.",closed choice,grade3,natural science,biology,Heredity,Inherited and acquired traits: use evidence to support a statement,"Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways.
Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned.
Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment.",nan,train,Erin likes to look at butterflies and beetles.,Erin learned to identify insects by reading many books about insects.,nan,nan,Erin learned to identify insects by reading many books about insects.,2,0,1,1,چه اطلاعاتی از این نتیجه‌گیری حمایت می‌کند که ارین این ویژگی را کسب کرده است؟,1: [گزینه 1],2: [گزینه 2],3: [گزینه 3],4: [گزینه 4],"شرح یک ویژگی را بخوانید.
ارین در شناسایی حشرات مهارت دارد.",[پاسخ]
14401,3955,"Complete the statement. Assume that the book's mass did not change.
The gravitational potential energy stored between the book and Earth () as the book fell toward the ground.","['decreased', 'stayed the same', 'increased']",0,"Read the text about an object in motion.
Harold knocked a book off a bookshelf. The book fell to the ground.",closed choice,grade7,natural science,physics,Kinetic and potential energy,Identify changes in gravitational potential energy,"Gravitational potential energy is stored between any two objects. So, for every object on or near Earth, there is gravitational potential energy stored between the object and Earth.
The amount of gravitational potential energy stored between an object and Earth depends on the mass of the object. The amount of gravitational potential energy also depends on the distance between the object and the center of Earth. This distance increases when the object moves higher and decreases when the object moves lower.
If the distance between an object and the center of Earth changes, the gravitational potential energy stored between the object and Earth will change. The table below shows how this change can happen.
When an object's mass stays the same and its distance from the center of Earth... | Gravitational potential energy stored between the object and Earth...
increases | increases
decreases | decreases
stays the same | stays the same","Think about how the distance between the book and the center of Earth changed.
The ground is lower than the bookshelf. As the book fell toward the ground, the distance between the book and the center of Earth decreased. So, the gravitational potential energy stored between the book and Earth decreased as the book fell toward the ground.",train,decreased,stayed the same,increased,nan,decreased,1,1,1,1,جمله را کامل کنید. فرض کنید جرم کتاب تغییر نکرده است. انرژی پتانسیل گرانشی ذخیره شده بین کتاب و زمین ( ) هنگامی که کتاب به سمت زمین سقوط کرد.,1: افزایش یافت,2: کاهش یافت,3: ثابت ماند,"4:  (This option is needed for a complete answer, but the provided text doesn't specify a fourth possibility.  A suitable placeholder might be:  ""تغییری نکرد"" (did not change))",متن مربوط به جسم در حال حرکت را بخوانید. هارولد کتابی را از قفسه کتاب انداخت. کتاب به زمین افتاد.,به چگونگی تغییر فاصله بین کتاب و مرکز زمین فکر کنید. زمین پایین‌تر از قفسه کتاب است. هنگامی که کتاب به سمت زمین سقوط کرد، فاصله بین کتاب و مرکز زمین کاهش یافت. بنابراین، انرژی پتانسیل گرانشی ذخیره شده بین کتاب و زمین هنگامی که کتاب به سمت زمین سقوط کرد، کاهش یافت.
10943,2984,Select the gas.,"['oxygen', 'hammer', 'ruler', 'clothespin']",0,nan,closed choice,grade3,natural science,physics,States of matter,"Identify solids, liquids, and gases","Solid, liquid, and gas are states of matter. Matter is anything that takes up space. Matter can come in different states, or forms.
When matter is a solid, it has a definite volume and a definite shape. So, a solid has a size and shape of its own.
Some solids can be easily folded, bent, or broken. A piece of paper is a solid. Also, some solids are very small. A grain of sand is a solid.
When matter is a liquid, it has a definite volume but not a definite shape. So, a liquid has a size of its own, but it does not have a shape of its own. Think about pouring juice from a bottle into a cup. The juice still takes up the same amount of space, but it takes the shape of the bottle.
Some liquids do not pour as easily as others. Honey and milk are both liquids. But pouring honey takes more time than pouring milk.
When matter is a gas, it does not have a definite volume or a definite shape. A gas expands, or gets bigger, until it completely fills a space. A gas can also get smaller if it is squeezed into a smaller space.
Many gases are invisible. Air is a gas.","Oxygen is a gas. A gas expands to fill a space. Oxygen can be stored in metal tanks. If oxygen leaks out of the tank, the oxygen will expand into the space around the tank.
A clothespin is a solid. A solid has a size and shape of its own. You can open or close a clothespin. But it will still have a size and shape of its own.
A ruler is a solid. A solid has a size and shape of its own. If you put a ruler in a box, the ruler will keep its shape.
A hammer is a solid. A solid has a size and shape of its own. A hammer is made of iron and wood. Both iron and wood are solids.",train,oxygen,hammer,ruler,clothespin,oxygen,1,1,1,0,گاز را انتخاب کنید.,1: [،],2: ['],3: [o],4: [x],ندارد,"اکسیژن یک گاز است. یک گاز منبسط می‌شود تا یک فضا را پر کند. اکسیژن را می‌توان در مخازن فلزی ذخیره کرد. اگر اکسیژن از مخزن نشت کند، اکسیژن به فضای اطراف مخزن منبسط می‌شود.
یک گیره لباس جامد است. یک جامد اندازه و شکل خاص خود را دارد. شما می توانید یک گیره لباس را باز یا بسته کنید. اما هنوز هم اندازه و شکل خاص خود را خواهد داشت.
یک خط کش جامد است. یک جامد اندازه و شکل خاص خود را دارد. اگر یک خط کش را در یک جعبه قرار دهید، خط کش شکل خود را حفظ خواهد کرد.
یک چکش جامد است. یک جامد اندازه و شکل خاص خود را دارد. یک چکش از آهن و چوب ساخته شده است. هم آهن و هم چوب جامد هستند."
9399,2554,What is the mass of an eraser?,"['40 kilograms', '40 grams']",1,Select the better estimate.,closed choice,grade5,natural science,units-and-measurement,Units and measurement,Choose metric units of mass,"Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
Mass is a measurement of how much matter something contains.
There are many different units of mass. When you are using metric units, mass may be written with units of grams or kilograms.
There are 1,000 grams in 1 kilogram. So, 1 gram is much less than 1 kilogram.
A paper clip has a mass of about 1 gram, while a textbook has a mass of about 1 kilogram.","The better estimate for the mass of an eraser is 40 grams.
40 kilograms is too heavy.",test,40 kilograms,40 grams,nan,nan,40 grams,2,1,1,1,جرم پاک‌کن چقدر است؟,1: 40 گرم,2: 40 کیلوگرم,3: 4 گرم,4: 0.4 گرم,برآورد بهتر را انتخاب کنید.,برآورد بهتر برای جرم یک پاک‌کن 40 گرم است. 40 کیلوگرم خیلی سنگین است.
1268,356,What is the volume of a bottle of nail polish?,"['11 liters', '11 milliliters']",1,Select the better estimate.,closed choice,grade5,natural science,units-and-measurement,Units and measurement,Choose metric units of volume,"Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
Volume is a measurement of how much space something takes up.
There are many different units of volume. When you are using metric units, volume may be written in units of milliliters or liters.
There are 1,000 milliliters in 1 liter. So, 1 milliliter is much less than 1 liter.
A raindrop has a volume of about 20 milliliters, while a large soda bottle has a volume of 2 liters. The flask shown here measures volumes up to 500 milliliters.","The better estimate for the volume of a bottle of nail polish is 11 milliliters.
11 liters is too much.",test,11 liters,11 milliliters,nan,nan,11 milliliters,2,1,1,1,حجم یک بطری لاک ناخن چقدر است؟,1: 11 میلی لیتر,2: 11 لیتر,,,برآورد بهتر را انتخاب کنید.,برآورد بهتر برای حجم یک بطری لاک ناخن، 11 میلی لیتر است. 11 لیتر خیلی زیاد است.
18676,5053,"Complete the sentence.
In this chemical reaction, copper is a ().","['reactant', 'product']",0,"This passage describes a chemical reaction. Read the passage. Then, follow the instructions below.
When the Statue of Liberty in New York City was built in the late 1800s, it was reddish-brown. Today, a green layer, called a patina, covers the statue's surface. This layer formed over time as copper in the statue combined with oxygen and other gases in the air to form the patina.",closed choice,grade7,natural science,chemistry,Chemical reactions,Identify reactants and products,"A chemical change occurs when new substances are formed from existing substances. This process is called a chemical reaction.
In a chemical reaction, one or more substances change into one or more different substances. During the reaction, the atoms of the original substances are rearranged to form other substances.
The original substances in a chemical reaction are called reactants. These substances react, or go through a chemical change.
The substances that are formed in a chemical reaction are called products. These substances are produced by the chemical reaction.
So, in a chemical reaction, reactants go through a chemical change to form products.","Read the underlined text carefully. Look for information about what happens to copper in this chemical reaction.
When the Statue of Liberty in New York City was built in the late 1800 s, it was reddish-brown. Today, a green layer, called a patina, covers the statue's surface. This layer formed over time as copper in the statue combined with oxygen and other gases in the air to form the patina.
The underlined text tells you that when copper in the statue and oxygen combine, a patina is formed. When copper and oxygen react, or go through a chemical change, their atoms are rearranged to form the patina. Because copper reacts in this chemical reaction, copper is a reactant.",train,reactant,product,nan,nan,reactant,1,1,1,1,جمله را کامل کنید. در این واکنش شیمیایی، مس یک ( ) است.,1: [ ],2: [ ، ],3: [ ر ],4: [ ا ],این متن یک واکنش شیمیایی را شرح می‌دهد. متن را بخوانید. سپس، دستورالعمل‌های زیر را دنبال کنید. هنگام ساخت مجسمه آزادی در شهر نیویورک در اواخر دهه ۱۸۰۰، رنگ آن قهوه‌ای مایل به قرمز بود. امروزه، یک لایه سبز رنگ به نام پاتینا، سطح مجسمه را پوشانده است. این لایه با گذشت زمان تشکیل شده است زیرا مس موجود در مجسمه با اکسیژن و سایر گازهای موجود در هوا ترکیب شده و پاتینا را تشکیل داده است.,متن زیرخط‌دار را با دقت بخوانید. به دنبال اطلاعاتی در مورد آنچه در این واکنش شیمیایی برای مس اتفاق می‌افتد، باشید. هنگام ساخت مجسمه آزادی در شهر نیویورک در اواخر دهه ۱۸۰۰، رنگ آن قهوه‌ای مایل به قرمز بود. امروزه، یک لایه سبز رنگ به نام پاتینا، سطح مجسمه را پوشانده است. این لایه با گذشت زمان تشکیل شده است زیرا مس موجود در مجسمه با اکسیژن و سایر گازهای موجود در هوا ترکیب شده و پاتینا را تشکیل داده است. متن زیرخط‌دار به شما می‌گوید که وقتی مس موجود در مجسمه و اکسیژن ترکیب می‌شوند، پاتینا تشکیل می‌شود. هنگامی که مس و اکسیژن واکنش می‌دهند یا دچار تغییر شیمیایی می‌شوند، اتم‌های آن‌ها مجدداً مرتب می‌شوند تا پاتینا را تشکیل دهند. از آنجایی که مس در این واکنش شیمیایی واکنش می‌دهد، مس یک واکنش‌دهنده است.
9620,2624,"What do these two changes have in common?
mixing sand and water
carving a piece of wood","['Both are caused by heating.', 'Both are chemical changes.', 'Both are only physical changes.', 'Both are caused by cooling.']",2,nan,closed choice,grade3,natural science,chemistry,Physical and chemical change,Compare physical and chemical changes,"Chemical changes and physical changes are two common ways matter can change.
In a chemical change, the type of matter changes. The types of matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. When paper gets hot enough, it re­acts with oxygen in the air and burns. The paper and oxygen change into ash and smoke.
In a physical change, the type of matter stays the same. The types of matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, ice melting is a physical change that can be caused by heating. Ice and liquid water are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
Mixing sand and water is a physical change. Adding water makes the sand wet. But both the sand and water are still made of the same type of matter as before.
Carving a piece of wood is a physical change. The wood changes shape, but it is still made of the same type of matter.
Step 2: Look at each answer choice.
Both are only physical changes.
Both changes are physical changes. No new matter is created.
Both are chemical changes.
Both changes are physical changes. They are not chemical changes.
Both are caused by heating.
Neither change is caused by heating.
Both are caused by cooling.
Neither change is caused by cooling.",test,Both are caused by heating.,Both are chemical changes.,Both are only physical changes.,Both are caused by cooling.,Both are only physical changes.,3,1,1,0,"این دو تغییر چه وجه مشترکی دارند؟
مخلوط کردن شن و آب
تراشیدن تکه‌ای چوب",1: هر دو فقط تغییرات فیزیکی هستند.,2: هر دو تغییر، تغییرات فیزیکی هستند. ماده جدیدی ایجاد نمی‌شود.,3: هر دو تغییر شیمیایی هستند.,4: هر دو تغییر، تغییرات فیزیکی هستند. آنها تغییرات شیمیایی نیستند.,,"مرحله 1: در مورد هر تغییر فکر کنید.
مخلوط کردن شن و آب یک تغییر فیزیکی است. اضافه کردن آب باعث خیس شدن شن می‌شود. اما هم شن و هم آب هنوز از همان نوع ماده قبل ساخته شده‌اند.
تراشیدن تکه‌ای چوب یک تغییر فیزیکی است. شکل چوب تغییر می‌کند، اما هنوز از همان نوع ماده ساخته شده است.
مرحله 2: به هر گزینه نگاه کنید.
هر دو فقط تغییرات فیزیکی هستند."
14515,3979,Is fixing a car a good or a service?,"['a service', 'a good']",0,nan,closed choice,grade2,social science,economics,Economics,Goods and services,"Everything you can buy is either a good or a service.
A good is something you can touch or hold in your hands. For example, a hammer is a good.
A service is a job you pay someone else to do. For example, cooking food in a restaurant is a service.","To decide whether fixing a car is a good or a service, ask these questions:
Is fixing a car something you can touch? No.
Is fixing a car a job you might pay someone else to do? Yes.
So, fixing a car is a service.",val,a service,a good,nan,nan,a service,1,1,1,0,تعمیر ماشین کالا است یا خدمت؟,1: [کالا],2: [خدمت],3: [ ],4: [ ],هیچ,برای اینکه تشخیص دهیم تعمیر ماشین کالا است یا خدمت، از این سوالات استفاده می‌کنیم: آیا تعمیر ماشین چیزی است که می‌توانید لمس کنید؟ خیر. آیا تعمیر ماشین کاری است که ممکن است برای انجام آن به فرد دیگری پول بدهید؟ بله. پس، تعمیر ماشین یک خدمت است.
13556,3719,Suppose Polly decides to buy a copy of the book. Which result would be a cost?,"['Polly will get to keep the book as long as she wants.', 'Polly will spend money to buy the book.']",1,"Polly is deciding whether to buy a copy of a book or borrow it from the library. She would like to be able to keep the book as long as she wants, but buying the book would cost money. She could borrow the book for free, but she would have to return it in a few weeks.",closed choice,grade4,social science,economics,Basic economic principles,Costs and benefits,"Before you decide to do something, it is often helpful to list costs and benefits.
Costs are what you give up or spend when you decide to do something. Costs involve giving up things that you want or need.
Benefits are what you gain or save when you decide to do something. Benefits involve gaining something that you want or need.","This result is a cost. It involves giving up or spending something that Polly wants or needs:
Polly will spend money to buy the book.",train,Polly will get to keep the book as long as she wants.,Polly will spend money to buy the book.,nan,nan,Polly will spend money to buy the book.,2,1,1,1,فرض کنید پلی تصمیم می‌گیرد یک نسخه از کتاب را بخرد. کدام نتیجه یک هزینه خواهد بود؟,1: [گزینه 1]  <!--  This needs to be filled in based on the original  options which appear to be scrambled letters -->,2: [گزینه 2],3: [گزینه 3],4: [گزینه 4],پلی در حال تصمیم‌گیری است که آیا یک نسخه از کتاب را بخرد یا آن را از کتابخانه قرض بگیرد. او دوست دارد تا هر زمانی که می‌خواهد کتاب را نگه دارد، اما خرید کتاب هزینه خواهد داشت. او می‌تواند کتاب را به صورت رایگان قرض بگیرد، اما باید آن را ظرف چند هفته برگرداند.,این نتیجه یک هزینه است. این شامل از دست دادن یا خرج کردن چیزی است که پلی می‌خواهد یا به آن نیاز دارد: پلی برای خرید کتاب پول خرج خواهد کرد.
