Passage,Question,Original Answer,Predicted Answer,Option 1,Option 2,Option 3,Option 4
پیتر کاستلو، خزانه دار استرالیایی و مردی که به احتمال زیاد به عنوان رهبر حزب لیبرال جانشین نخست وزیر جان هاوارد می‌شود، از صنعت انرژی هسته ای در استرالیا حمایت کرده است. آقای کاستلو گفت که وقتی تولید انرژی هسته ای از نظر اقتصادی مناسب شود، استرالیا استفاده از آن را باید دنبال کند. «اگر به صورت تجاری درآید، باید آن‌را داشته باشیم. آقای کاستلو گفت، هیچ اعتراض اصولی نسبت به انرژی هسته‌ای» وجود ندارد.,رهبر حزب لیبرال استرالیا کیست؟,2,"<answer>1</answer>

<explanation>
با توجه به متن، پیتر کاستلو به عنوان مردی که به احتمال زیاد به عنوان رهبر حزب لیبرال جانشین نخست وزیر جان هاوارد می‌شود، معرفی شده است. این جمله به وضوح نشان می‌دهد که پیتر کاستلو احتمالاً رهبر حزب لیبرال خواهد شد. بنابراین، پاسخ صحیح گزینه ۱، پیتر کاستلو است.
</explanation>

<highlight>
«مردی که به احتمال زیاد به عنوان رهبر حزب لیبرال جانشین نخست وزیر جان هاوارد می‌شود»
</highlight>

<keywords>['پیتر کاستلو', 'رهبر حزب لیبرال', 'جان هاوارد', 'استرالیا']</keywords>",پیتر کاستلو,جان هاوارد,جان کر,مالکولم فراسر
پیتر کاستلو، خزانه دار استرالیایی و مردی که به احتمال زیاد به عنوان رهبر حزب لیبرال جانشین نخست وزیر جان هاوارد می‌شود، از صنعت انرژی هسته ای در استرالیا حمایت کرده است. آقای کاستلو گفت که وقتی تولید انرژی هسته ای از نظر اقتصادی مناسب شود، استرالیا استفاده از آن را باید دنبال کند. «اگر به صورت تجاری درآید، باید آن‌را داشته باشیم. آقای کاستلو گفت، هیچ اعتراض اصولی نسبت به انرژی هسته‌ای» وجود ندارد.,چرا استرالیا پیش از این صنعت انرژی هسته‌ای نداشته است؟,4,"<answer>4</answer>

<explanation>
با توجه به متن، پیتر کاستلو می‌گوید که استرالیا باید از انرژی هسته‌ای استفاده کند وقتی که تولید آن از نظر اقتصادی مناسب شود. این جمله نشان می‌دهد که تاکنون صنعت انرژی هسته‌ای در استرالیا وجود نداشته است زیرا تولید آن از نظر اقتصادی مناسب نبوده است. بنابراین، دلیل اصلی عدم وجود این صنعت در استرالیا این است که تاکنون گران بوده است.

همچنین، در متن هیچ اشاره‌ای به عدم پشتیبانی عمومی، جنجالی بودن یا خطرناک بودن انرژی هسته‌ای نشده است. تنها اشاره شده است که وقتی تولید آن از نظر اقتصادی مناسب شود، استرالیا باید از آن استفاده کند.

بنابراین، با توجه به متن، دلیل اصلی عدم وجود صنعت انرژی هسته‌ای در استرالیا این است که تاکنون گران بوده است.</explanation>

<highlight>«وقتی تولید انرژی هسته ای از نظر اقتصادی مناسب شود، استرالیا استفاده از آن را باید دنبال کند.»</highlight>

<keywords>['پیتر کاستلو', 'انرژی هسته‌ای', 'استرالیا', 'اقتصادی', 'گران']</keywords>",عدم پشتیبانی عمومی,بیش از اندازه جنجالی بودن,بیش از اندازه خطرناک بودن,بیش از اندازه گران بودن
از آنجایی که فقط هجده مدال در روز وجود دارد، بسیاری از کشورها نتوانسته‌اند به سکوی قهرمانی دست یابند. از جمله این کشورها هلند است، چنان‌که آنا جاشمسن دیروز در کلاس زنان در اسکی مارپیچ سرعت نهم شد و فنلاند با کاتجا سارینن که در همان مسابقه دهم شد. میچل گورلی استرالیایی در رقابت‌های اسکی مارپیچ سرعت نشسته مردان به مقام یازدهم رسید. اولدریچ ژلینک، رقیب چک او در رقابت‌های اسکی مارپیچ سرعت نشسته مردان در مکان شانزدهم قرار گرفت. آرلی ولاسکز از مکزیک به مقام پانزدهم اسکی Super-G نشسته مردان رسید. آدام هال نیوزلندی به مقام نهم اسکی Super-G ایستاده رسید. ماسیج کرزل اسکی‌باز مرد لهستانی که معلولیت بینایی داشت بود و راهنمای او آنا اوگارزینسکا اسکی مارپیچ سرعت را در جایگاه سیزدهم به پایان رساندند. پارک سئورک جونگ از کره‌جنوبی مسابقات اسکی مارپیچ سرعت نشسته مردان را با مقام بیست و چهارمی به پایان رساند.,کدام اسکی باز با کمک راهنما مسابقه داد؟,3,"<answer>3</answer>

<explanation>
برای پاسخ به این سوال، باید به متن توجه کنیم و اسکی‌بازی را پیدا کنیم که با کمک راهنما مسابقه داد. در متن می‌خوانیم که ماسیج کرزل اسکی‌باز مرد لهستانی که معلولیت بینایی داشت بود و راهنمای او آنا اوگارزینسکا اسکی مارپیچ سرعت را در جایگاه سیزدهم به پایان رساندند. بنابراین، ماسیج کرزل اسکی‌بازی است که با کمک راهنما مسابقه داد.

در گزینه‌های دیگر، هیچ اشاره‌ای به راهنمای اسکی‌باز نشده است. آنا جاشمسن و پارک سئورک جونگ هر دو در مسابقات اسکی شرکت کردند، اما هیچ راهنمایی همراه آنها نبود. آنا اوگارزینسکا راهنمای ماسیج کرزل بود، نه خود اسکی‌باز.

بنابراین، پاسخ صحیح گزینه ۳، ماسیج کرزل است.
</explanation>

<highlight>
ماسیج کرزل اسکی‌باز مرد لهستانی که معلولیت بینایی داشت بود و راهنمای او آنا اوگارزینسکا اسکی مارپیچ سرعت را در جایگاه سیزدهم به پایان رساندند.
</highlight>

<keywords>['ماسیج کرزل', 'راهنما', 'معلولیت بینایی', 'آنا اوگارزینسکا', 'اسکی مارپیچ سرعت']</keywords>",آنا جاشمسن,پارک سئورک جونگ,ماسیج کرزل,آنا اوگارزینسکا
از آنجایی که فقط هجده مدال در روز وجود دارد، بسیاری از کشورها نتوانسته‌اند به سکوی قهرمانی دست یابند. از جمله این کشورها هلند است، چنان‌که آنا جاشمسن دیروز در کلاس زنان در اسکی مارپیچ سرعت نهم شد و فنلاند با کاتجا سارینن که در همان مسابقه دهم شد. میچل گورلی استرالیایی در رقابت‌های اسکی مارپیچ سرعت نشسته مردان به مقام یازدهم رسید. اولدریچ ژلینک، رقیب چک او در رقابت‌های اسکی مارپیچ سرعت نشسته مردان در مکان شانزدهم قرار گرفت. آرلی ولاسکز از مکزیک به مقام پانزدهم اسکی Super-G نشسته مردان رسید. آدام هال نیوزلندی به مقام نهم اسکی Super-G ایستاده رسید. ماسیج کرزل اسکی‌باز مرد لهستانی که معلولیت بینایی داشت بود و راهنمای او آنا اوگارزینسکا اسکی مارپیچ سرعت را در جایگاه سیزدهم به پایان رساندند. پارک سئورک جونگ از کره‌جنوبی مسابقات اسکی مارپیچ سرعت نشسته مردان را با مقام بیست و چهارمی به پایان رساند.,کدام کشور در مسابقات Super-G کلاس ایستاده زنان دهم شد؟,1,"<answer>None of the above</answer>

<explanation>
با توجه به متن، هیچ یک از کشورهایی که در گزینه‌ها ذکر شده‌اند، در مسابقات Super-G کلاس ایستاده زنان شرکت نکرده‌اند. در متن، تنها نتایج مسابقات اسکی مارپیچ سرعت و Super-G مردان ذکر شده است، اما هیچ اطلاعاتی درباره مسابقات Super-G کلاس ایستاده زنان ارائه نشده است. بنابراین، نمی‌توان به هیچ یک از گزینه‌ها پاسخ داد.
</explanation>

<highlight>
هیچ یک از کشورهایی که در گزینه‌ها ذکر شده‌اند، در مسابقات Super-G کلاس ایستاده زنان شرکت نکرده‌اند.
</highlight>

<keywords>[""اسکی مارپیچ سرعت"", ""Super-G"", ""کلاس ایستاده"", ""زنان"", ""مسابقات""]</keywords>",فنلاند,هلند,استرالیا,مکزیک
محاکمه در دادگاه کراون برمینگام انجام گرفت و روز 3 آگوست مختومه اعلام شد. اخبارگویی که در صحنه جرم بازداشت شد منکر حمله شد و مدعی شد که از تیرک برای دفاع از خود در برابر بطری‌هایی که توسط بیش از سی نفر به سوی او پرتاب شده دفاع کرده است. «بلیک» همچنین بخاطر تلاش برای منحرف کردن مسیر دادرسی محکوم گردید. قاضی به «بلیک» گفت که «تقریباً اجتناب‌ناپذیر» است و او قرار است به زندان فرستاده شود.,با توجه به متن، کدام جمله درباره بلیک صحیح نیست؟,2,"<answer>2</answer>

<explanation>
برای پاسخ به این سوال، باید متن را دقیقاً مطالعه کنیم. در متن آمده است که اخبارگویی در صحنه جرم بازداشت شد و منکر حمله شد. این جمله نشان می‌دهد که بلیک حمله را انکار کرده است. بنابراین، گزینه ۲ که می‌گوید بلیک به حمله اعتراف کرد، صحیح نیست.

در گزینه ۱ آمده است که بلیک در صحنه جرم دستگیر شد که با متن مطابقت دارد. در گزینه ۳ آمده است که بلیک از یک میله استفاده کرد که با متن مطابقت دارد. در گزینه ۴ آمده است که بلیک مدعی شد که به سمت او بطری پرتاب شده است که با متن مطابقت دارد.

بنابراین، گزینه ۲ که می‌گوید بلیک به حمله اعتراف کرد، صحیح نیست.</explanation>

<highlight>اخبارگویی در صحنه جرم بازداشت شد و منکر حمله شد.</highlight>

<keywords>[""محاکمه"", ""دادگاه"", ""بازداشت"", ""منکر"", ""حمله"", ""بلیک""]</keywords>",در صحنه جرم دستگیر شد,به حمله اعتراف کرد,هنگام حمله از یک میله استفاده کرد,مدعی شد که به سمت او بطری پرتاب شده است
محاکمه در دادگاه کراون برمینگام انجام گرفت و روز 3 آگوست مختومه اعلام شد. اخبارگویی که در صحنه جرم بازداشت شد منکر حمله شد و مدعی شد که از تیرک برای دفاع از خود در برابر بطری‌هایی که توسط بیش از سی نفر به سوی او پرتاب شده دفاع کرده است. «بلیک» همچنین بخاطر تلاش برای منحرف کردن مسیر دادرسی محکوم گردید. قاضی به «بلیک» گفت که «تقریباً اجتناب‌ناپذیر» است و او قرار است به زندان فرستاده شود.,بر اساس متن، کدام یک از موارد زیر برای بلیک اتفاق نیفتاد؟,3,"<answer>3</answer>

<explanation>
برای پاسخ به این سوال باید به متن توجه کنیم. در متن آمده است که «اخبارگویی که در صحنه جرم بازداشت شد منکر حمله شد و مدعی شد که از تیرک برای دفاع از خود در برابر بطری‌هایی که توسط بیش از سی نفر به سوی او پرتاب شده دفاع کرده است». این جمله نشان می‌دهد که بلیک با بطری‌ها مورد حمله قرار گرفته است، نه با یک میله. بنابراین گزینه ۳ صحیح نیست.

همچنین در متن آمده است که «قاضی به «بلیک» گفت که «تقریباً اجتناب‌ناپذیر» است و او قرار است به زندان فرستاده شود». این جمله نشان می‌دهد که گزینه ۴ صحیح است.

گزینه ۱ و ۲ نیز در متن آمده است، اما سوال از ما می‌پرسد که کدام یک از موارد زیر برای بلیک اتفاق نیفتاد. بنابراین گزینه ۳ صحیح است.

</explanation>

<highlight>
«اخبارگویی که در صحنه جرم بازداشت شد منکر حمله شد و مدعی شد که از تیرک برای دفاع از خود در برابر بطری‌هایی که توسط بیش از سی نفر به سوی او پرتاب شده دفاع کرده است».
</highlight>

<keywords>['محاکمه', 'دادگاه', 'بازداشت', 'تیرک', 'بطری', 'زندان', 'قاضی', 'بلیک']</keywords>",او به دلیل نقض عدالت مجرم شناخته شد,وی دستگیر شد,با یک میله به او حمله شد,به او گفته شد که احتمالاً به زندان می‌رود
سایر مباحث موجود در بالی شامل نجات جنگل‌های باقیمانده جهان، و به اشتراک گذاری فناوری‌هایی برای کمک به کشور‌های در حال توسعه به شیوه هایی است که آلایندگی کمتری ایجاد کنند. سازمان ملل همچنین امیدوار است برای کمک به کشورهایی که تحت تاثیر گرمایش کره زمین قرار گرفته اند، بودجه‌ای را نهایی کند تا بتواند با این اثرات مقابله کند. این پول می‌تواند به سمت خانه‌های ضد سیل، مدیریت بهتر آب و تنوع زراعی برود.,بودجه گرمایش جهانی سازمان ملل برای چه چیزی به کار نمی‌رود؟,2,"<answer>2</answer>

<explanation>
برای پاسخ به این سوال، باید به متن توجه کنیم که در مورد بودجه گرمایش جهانی سازمان ملل صحبت می‌کند. در متن گفته شده است که این پول می‌تواند به سمت خانه‌های ضد سیل، مدیریت بهتر آب و تنوع زراعی برود. اما در مورد آوردن فناوری به کشورهای در حال توسعه هیچ اشاره‌ای به بودجه نشده است. بلکه گفته شده است که سازمان ملل امیدوار است فناوری‌هایی را به اشتراک بگذارد تا کشور‌های در حال توسعه بتوانند با شیوه‌هایی که آلایندگی کمتری ایجاد کنند، توسعه یابند. بنابراین، بودجه گرمایش جهانی سازمان ملل برای آوردن فناوری به کشورهای در حال توسعه به کار نمی‌رود.

</explanation>

<highlight>
این پول می‌تواند به سمت خانه‌های ضد سیل، مدیریت بهتر آب و تنوع زراعی برود. سازمان ملل امیدوار است فناوری‌هایی را به اشتراک بگذارد تا کشور‌های در حال توسعه بتوانند با شیوه‌هایی که آلایندگی کمتری ایجاد کنند، توسعه یابند.
</highlight>

<keywords>['سازمان ملل', 'بودجه گرمایش جهانی', 'فناوری', 'کشور‌های در حال توسعه', 'گرمایش کره زمین']</keywords>",تنوع زراعی,آوردن فناوری به کشورهای در حال توسعه,خانه‌های مقاوم در برابر سیل,کاهش اثرات گرمایش زمین
سایر مباحث موجود در بالی شامل نجات جنگل‌های باقیمانده جهان، و به اشتراک گذاری فناوری‌هایی برای کمک به کشور‌های در حال توسعه به شیوه هایی است که آلایندگی کمتری ایجاد کنند. سازمان ملل همچنین امیدوار است برای کمک به کشورهایی که تحت تاثیر گرمایش کره زمین قرار گرفته اند، بودجه‌ای را نهایی کند تا بتواند با این اثرات مقابله کند. این پول می‌تواند به سمت خانه‌های ضد سیل، مدیریت بهتر آب و تنوع زراعی برود.,با توجه به متن، سازمان ملل متحد امید دارد که چه چیزی را نجات دهد؟,3,"<answer>3</answer>

<explanation>
با توجه به متن، سازمان ملل متحد امیدوار است که جنگل‌های باقیمانده جهان را نجات دهد. در متن آمده است که ""نجات جنگل‌های باقیمانده جهان"" یکی از مباحث موجود در بالی است. این نشان می‌دهد که سازمان ملل متحد قصد دارد که جنگل‌های باقیمانده جهان را از نابودی نجات دهد.

همچنین، متن اشاره می‌کند که سازمان ملل متحد قصد دارد تا به کشورهایی که تحت تاثیر گرمایش کره زمین قرار گرفته اند، کمک کند. این نشان می‌دهد که سازمان ملل متحد قصد دارد که به حفظ محیط زیست و نجات جنگل‌ها کمک کند.

بنابراین، گزینه ۳ که ""بقایای جنگل‌های بارانی"" است، پاسخ صحیح است.

</explanation>

<highlight>
""نجات جنگل‌های باقیمانده جهان""
</highlight>

<keywords>['سازمان ملل متحد', 'نجات', 'جنگل‌های باقیمانده', 'محیط زیست', 'گرمایش کره زمین']</keywords>",پول، از طریق اشتراک فناوری,محصولات,بقایای جنگل‌های بارانی,مردمی که تحت تاثیر مدیریت ضعیف آب قرار گرفته‌اند
نیجریه پیش‌تر اعلام کرد قصد داشت در هفته منتهی به اجلاس، به منطقه آزاد تجاری قاره آفریقا (AfCFTA) ملحق شود. «آلبرت موچانگا»، کمیسیونر صنعت و تجارت اتحادیه آفریقا، اعلام کرد بنین قرار است ملحق شود. کمیسر گفت، «ما هنوز در مورد قوانین مبداء و امتیازات تعرفه‌ای توافق نکرده‌ایم، اما چارچوبی که در اختیار داریم برای شروع تجارت از 1 ژوئیه 2020 کافی است.»,کدام مورد توسط «آلبرت موچانگا» به عنوان موضوعی که هنوز نیاز به توافق داشت، ذکر نشده است؟,1,"<answer>2</answer>

<explanation>
برای پاسخ به این سوال، باید به متن توجه کنیم. در متن گفته شده است که «آلبرت موچانگا» اعلام کرد که هنوز در مورد قوانین مبداء و امتیازات تعرفه‌ای توافق نکرده‌ایم. این جمله نشان می‌دهد که این دو مورد هنوز نیاز به توافق دارند. اما در مورد تاریخ شروع تجارت، گفته شده است که چارچوبی که در اختیار داریم برای شروع تجارت از 1 ژوئیه 2020 کافی است. این جمله نشان می‌دهد که تاریخ شروع تجارت به توافق رسیده است. بنابراین، گزینه صحیح 2 است.

</explanation>

<highlight>
«ما هنوز در مورد قوانین مبداء و امتیازات تعرفه‌ای توافق نکرده‌ایم، اما چارچوبی که در اختیار داریم برای شروع تجارت از 1 ژوئیه 2020 کافی است.»
</highlight>

<keywords>['آلبرت موچانگا', 'قوانین مبداء', 'امتیازات تعرفه‌ای', 'تاریخ شروع تجارت', 'AfCFTA']</keywords>",اینکه آیا بنین به AfCTA ملحق خواهد شد,تاریخی که تجارت می‌تواند شروع شود,قوانین مبداء,امتیازات تعرفه‌ای 
نیجریه پیش‌تر اعلام کرد قصد داشت در هفته منتهی به اجلاس، به منطقه آزاد تجاری قاره آفریقا (AfCFTA) ملحق شود. «آلبرت موچانگا»، کمیسیونر صنعت و تجارت اتحادیه آفریقا، اعلام کرد بنین قرار است ملحق شود. کمیسر گفت، «ما هنوز در مورد قوانین مبداء و امتیازات تعرفه‌ای توافق نکرده‌ایم، اما چارچوبی که در اختیار داریم برای شروع تجارت از 1 ژوئیه 2020 کافی است.»,با توجه به متن،‌ چرا شروع تجارت از ماه ژوئیه امکانپذیر است؟,2,"<answer>2</answer>

<explanation>
با توجه به متن، کمیسیونر صنعت و تجارت اتحادیه آفریقا، آلبرت موچانگا، اعلام کرد که چارچوبی که در اختیار دارند برای شروع تجارت از 1 ژوئیه 2020 کافی است. این جمله نشان می‌دهد که وجود چارچوب کافی دلیل امکان‌پذیر بودن شروع تجارت از ماه ژوئیه است. در واقع، کمیسیونر تأکید می‌کند که هنوز در مورد قوانین مبداء و امتیازات تعرفه‌ای توافق نکرده‌اند، اما چارچوب موجود برای شروع تجارت کافی است. بنابراین، دلیل امکان‌پذیر بودن شروع تجارت از ماه ژوئیه، وجود چارچوب کافی است.
</explanation>

<highlight>
«ما هنوز در مورد قوانین مبداء و امتیازات تعرفه‌ای توافق نکرده‌ایم، اما چارچوبی که در اختیار داریم برای شروع تجارت از 1 ژوئیه 2020 کافی است.»
</highlight>

<keywords>[""چارچوب"", ""قوانین مبداء"", ""امتیازات تعرفه‌ای"", ""تجارت"", ""۱ ژوئیه ۲۰۲۰""]</keywords>",تاریخ شروع در ژوئیه بخشی از شرایط نیجریه برای پیوستن به AfCFTA بود,چارچوب کافی برای قوانین و امتیازات وجود دارد,توسط کمیسر تجارت و صنعت AU تأیید شد ,بر سر قوانین مبداء و امتیازات تعرفه‌ای توافق شده است
