Passage,Question,Original Answer,Predicted Answer,Option 1,Option 2,Option 3,Option 4
بسیاری، ریتم‌های فیزیولوژی و رفتار را غالباً به صورت جدی به وجود چرخه درون‌زا و تولید آن‌ها را به ساعت‌های بیولوژیکی مرتبط می‌دانند. ریتم‌های دوره‌ای، که به سادگی یک پاسخ به نشانه‌های دوره‌ای خارجی نیستند، برای اکثر موجودات زنده از جمله باکتری‌ها، قارچ‌ها، گیاهان و حیوانات ثبت شده است. ساعت‌های بیولوژیکی نوسان‌سازهای خودپایداری هستند که دوره‌ای از یک سیکل آزاد‌گرد را در نبود نشانه‌های بیرونی ادامه می‌دهند.,کدام یک از موارد زیر علیرغم وجود نشانه‌های خارجی ادامه پیدا خواهد کرد؟,3,<answer>3</answer>,چرخه درون‌زا,ریتم‌های دوره‌ای,ساعت‌های بیولوژیک,ریتم‌های مشاهده‌شده
جمعیت عبارت است از مجموعه‌ای از موجودات زنده یک گونه خاص در داخل یک منطقه جغرافیایی مشخص. وقتی همه افراد یک جامعه از لحاظ یک خصوصیت فنوتیپی خاص با هم شباهت داشته باشند، آنها را «تک‌شکل» لحاظ می‌کنند. هنگامی که افراد چندین نوع ویژگی خاص را نشان می دهند، چند شکلی هستند.,کدام واژه افرادی را توصیف می‌کند که چندین نوع از خصوصیت فنوتیپی خاصی را نشان می‌دهند؟,4,<answer>4-چند شکلی</answer>,تک‌شکل,ارگانیسم‌ها,گونه‌ها,چند شکلی
جمعیت عبارت است از مجموعه‌ای از موجودات زنده یک گونه خاص در داخل یک منطقه جغرافیایی مشخص. وقتی همه افراد یک جامعه از لحاظ یک خصوصیت فنوتیپی خاص با هم شباهت داشته باشند، آنها را «تک‌شکل» لحاظ می‌کنند. هنگامی که افراد چندین نوع ویژگی خاص را نشان می دهند، چند شکلی هستند.,کدام مورد اصطلاح صحیح برای ارگانیسم‌هایی است که فضای خاصی را اشغال می‌کنند؟,2,<answer>2</answer>,تک‌شکل,جمعیت,گونه‌ها,چند شکلی
جهانگردی طبیعت‌دوست به جذب افراد علاقه‌مند به بازدید از مناطق طبیعی می‌پردازد با این هدف که از مناظری مثل گیاهان و حیات وحش لذت ببرند. نمونه‌هایی از فعالیت‌ها در این محل عبارتند از شکار، ماهیگیری، عکاسی، تماشای پرندگان و بازدید از پارک‌ها و مطالعه اطلاعاتی در مورد اکوسیستم. یک نمونه از آن بازدید، عکاسی و یادگیری در مورد ارگانگاتوآنگز در بورنئو است,کدام یک از موارد زیر مثالی از گردشگری طبیعت‌دوست نیست؟,3,<answer>3-بازدید از موزه‌های علوم</answer>,پیاده‌روی تا آبشار,عکسبرداری از گل‌های وحشی,بازدید از موزه‌های علوم,ماهیگیری با حشره مصنوعی
هر روز صبح، مردم شهرهای کوچک شهرستان را با اتومبیل ترک می‌کنند تا به محل کار خود بروند و توسط دیگرانی منتقل می‌شوند که مقصد کاری‌شان همان جایی است که آنها از آن آمده‌اند. در این شاتل حمل و نقل دینامیکی هر کس به نحوی به یک سیستم حمل و نقل برپایه اتومبیل‌های شخصی متصل است و با آن پشتیبانی می‌شود. اکنون علم نشان می‌دهد که این اقتصاد کلان کربن، بیوسفر را از یکی از حالات پایدارش خارج کرده است، حالتی که تکامل انسان را در طی دو میلیون سال گذشته تأمین و پشتیبانی کرده است.,با توجه به متن، کدام یک از موارد زیر مبنای سیستم حمل‌ونقل است؟,2,<answer>2</answer>,مقاصد کاری,اتومبیل‌های شخصی,بیوسفر پایدار,تکامل انسان
اتم را می‌توان یکی از بلوک‌های ساختاری بنیادی تمام مواد در نظر گرفت. این یک موجودیت بسیار پیچیده است، که بنابر یک مدل ساده شده بور از یک هسته مرکزی و الکترون‌هایی که به دورش می‌چرخنده ساخته شده است، چیزی شبیه به سیارات دور خورشید - به شکل 1.1 مراجعه کنید. هسته از دو نوع از ذرات تشکیل شده - نوترون‌ها و پروتون‌ها. پروتون‌ها بار الکتریکی مثبت دارند درحالی که نوترون‌ها فاقد بار هستند. الکترون‌ها دارای بار الکتریکی منفی می‌باشند.,ذراتی که به دور هسته می‌چرخند، چه نوع باری دارند؟,3,<answer>3-بار منفی</answer>,بار مثبت,بدون بار,بار منفی,بار مثبت و منفی
اتم را می‌توان یکی از بلوک‌های ساختاری بنیادی تمام مواد در نظر گرفت. این یک موجودیت بسیار پیچیده است، که بنابر یک مدل ساده شده بور از یک هسته مرکزی و الکترون‌هایی که به دورش می‌چرخنده ساخته شده است، چیزی شبیه به سیارات دور خورشید - به شکل 1.1 مراجعه کنید. هسته از دو نوع از ذرات تشکیل شده - نوترون‌ها و پروتون‌ها. پروتون‌ها بار الکتریکی مثبت دارند درحالی که نوترون‌ها فاقد بار هستند. الکترون‌ها دارای بار الکتریکی منفی می‌باشند.,هسته از کدام ذرات تشکیل شده است؟,1,<answer>1-پروتون‌ها و نوترون‌ها</answer>,پروتون‌ها و نوترون‌ها,نوترون‌ها و الکترون‌ها,الکترون‌ها و پروتون‌ها,پروتون‌ها، نوترون‌ها و الکترون‌ها
تقریباً تمام رایانه‌هایی که امروزه مورد استفاده قرار می‌گیرد، مبتنی بر به‌کار بری اطلاعات هستند که به صورت اعداد دو دویی کدگذاری می‌شوند. یک عدد دودویی فقط می‌تواند یکی از دو مقدار، یعنی 0 یا 1 را داشته باشد، و در اصطلاح تخصصی رایانه‌ای از این شماره‌ها به عنوان رقم‌های دودویی - یا بیت - یاد می‌شود.,با توجه به متن، کدام یک از موارد زیر مثالی از عدد دودویی پنج بیتی است؟,3,<answer>3</answer>,1010,12001,10010,110101
تقریباً تمام رایانه‌هایی که امروزه مورد استفاده قرار می‌گیرد، مبتنی بر به‌کار بری اطلاعات هستند که به صورت اعداد دو دویی کدگذاری می‌شوند. یک عدد دودویی فقط می‌تواند یکی از دو مقدار، یعنی 0 یا 1 را داشته باشد، و در اصطلاح تخصصی رایانه‌ای از این شماره‌ها به عنوان رقم‌های دودویی - یا بیت - یاد می‌شود.,ارقام دودویی همچنین با چه عنوانی معرفی می‌شوند؟,1,<answer>1-بیت‌</answer>,بیت‌,رقم‌ها,زبان تخصصی,اشکال
"وبلاگ‌ها همچنین می‌توانند به پیشرفت مهارت نوشتن دانش‌آموز کمک کنند. گرچه دانش‌آموزان اغلب وبلاگ‌نویسی خود را با گرامر و املای درهم و برهم آغاز می‌کنند، حضور مخاطب عموماً در این موضوع تغییر ایجاد می‌کند. از آنجا که دانش آموزان اغلب نکته‌سنج‌ترین مخاطب هستند، نویسنده وبلاگ برای جلوگیری از انتقاد، در جهت بهبود نوشتن تلاش می کند. اگرچه وبلاگ‌نویسی «دانشجویان را مجبور می‌کند که درباره دنیای اطراف خود ادراک بیشتری داشته باشند،» ولی نیاز به تأمین علاقه مخاطب دانشجوها را ترغیب به هوشیاری و علاقمندی می‌کند (Toto, 2004). وبلاگ‌نویسی ابزاری است که الهام‌بخش همکاری بوده و دانش‌آموزان را ترغیب می‌کند تا یادگیری را فراتر از برنامه‌های روزانه سنتی مدرسه گسترش دهند. استفاده مناسب از وبلاگ‌ها «می‌تواند به دانش‌آموزان کمک کند تا به فردی تحلیلی‌تر و نقادتر تبدیل شوند؛ و از طریق پاسخ فعالانه به مطالب اینترنتی، دانش‌آموزان می‌توانند مواضع خود را در متن نوشته‌های دیگران تعریف کنند و همچنین دیدگاه‌های خود را درمورد موضوعات خاص مطرح کنند» (اوراوک، 2002).",کدام‌ یک از موارد زیر به عنوان مزیت اصلی وبلاگ‌نویسی دانش‌آموزان در متن معرفی نشده است؟,2,<answer>2</answer>,بهبود توانایی نوشتن و قواعد,کاهش انتقاد توسط همتایان,گسترش آگاهی نسبت به پیرامون,افزایش تمایل به یادگیری پیوسته
