,link,question_number,flores_passage,question,mc_answer1,mc_answer2,mc_answer3,mc_answer4,correct_answer_num,dialect,ds
70,https://en.wikibooks.org/wiki/High_School_Earth_Science/Telescopes,1,بشر هزاران هزار سال از عدسی‌ها برای بزرگ‌نمایی استفاده می‌کرده است. با این حال، اولین تلسکوپ های واقعی در اواخر قرن 16 در اروپا ساخته شدند. در این تلسکوپ از ترکیب دو عدسی استفده شده است تا اجسام دور را هم نزدیکتر و هم بزرگتر نشان دهد.,کدام یک از موارد زیر را انسان‌ها در قرن شانزدهم شروع کردند؟,استفاده از عدسی‌ها,بزرگنمایی اشیاء,ساخت عدسی‌ها,ساخت تلسکوپ,4,pes_Arab,2023-06-07
827,https://en.wikivoyage.org/wiki/Paraguay,1,گوارانی‌ها مهم‌ترین گروه بومی ساکن پاراگوئه شرقی کنونی بودند که به شکل شکارچیان نیمه کوچ‌نشین زندگی می‌کردند و به کشاورزی معیشتی نیز می‌پرداختند. منطقه چاکو محل اقامت گروه‌های دیگر قبایل بومی مانند Guaycurú و Payaguá بود که با شکار، جمع آوری و ماهیگیری زندگی خود را می‌گذراندند. در قرن 16، پاراگوئه که قبلاً «استان غول پیکر هند» خوانده می شد، در نتیجه برخورد فاتحان اسپانیایی با گروه های بومی متولد شد. اسپانیایی‌ها دوره استعماری را شروع کردند که سه قرن طول کشید. پاراگوئه از زمان تأسیس آسانسیون در سال 1537، توانسته است بسیاری از خصوصیات و شخصیت‌های بومی خود را حفظ کند.,دوران استعمارگری که سه قرن طول کشید توسط کدام گروه شروع شد؟,پاراگوئه,Guaycurú,گورانی‌ها ,فاتحان اسپانیایی,4,pes_Arab,2023-06-07
231,https://en.wikibooks.org/wiki/Wikijunior:Solar_System/The_Sun,2,خورشید پوسته‌ای شبیه کره زمین ندارد که بتوانید روی آن بایستید. کل خورشید از گازها، آتش و پلاسما ساخته شده است. هرچه از مرکز خورشید دورتر شوید، این گاز رقیق‌تر می‌شود. وقتی به خورشید نگاه می‌کنیم قسمت بیرونی که می‌بینیم فوتوسفر گفته می‌شود که به معنی «توپ نور» است.,با توجه به متن، کدام قسمت از خورشید از زمین قابل مشاهده است؟,پوسته,پلاسما,فوتوسفر,مرکز,3,pes_Arab,2023-06-07
588,https://en.wikinews.org/wiki/Seven_killed_in_Chinese_bombing,2,آن مرد ظاهراً یک خودروی سه‌چرخ مسلح به مواد منفجره را به داخل جمعیت هدایت کرده بود. مرد مظنون به انفجار بمب، پس از تحمل جراحات ناشی از انفجار، بازداشت شد. اگرچه آنها می‌دانند كه او عضو گروه قومی اویغور است، نام وی هنوز برای مقامات ناشناخته است.,مقامات چه اطلاعاتی درخصوص حمله تأیید کرده بودند؟,هویت هم‌دست‌ها,قومیت مظنون,انگیزه حمله,نام و نام خانوادگی مظنون,2,pes_Arab,2023-06-07
39,https://en.wikibooks.org/wiki/Environmental_theory_and_collection_of_ideas/Environmentalism_and_survival,1,ما می توانیم زندگی دوستانه تری را با محیط زیست آغاز کنیم، می توانیم به جنبش محیط زیست بپیوندیم و حتی می توانیم برای اینکه تا حدودی آلام آینده را کاهش دهیم، فعال محیط زیست شویم. این دقیقاً مانند بسیاری از موارد درمان حمایتی است. با این وجود، اگر تنها به دنبال یک راه‌حل موقت نباشیم، باید ریشه مشکلات را بیابیم و باید آن‌ها را غیرفعال کنیم. پرواضح است که دنیا به‌خاطر پیشرفت‌های علمی و فناوری بشر تغییر کرده و مشکلات به دلیل جمعیت بسیار زیاد و شیوه زندگی عجیب و غریب بشر، بیشتر شده است.,با توجه به متن، کدام مورد راه‌حلی قابل اجرا برای مسائل زیست‌محیطی در بلندمدت محسوب می‌شود؟,تحریم انتخاب‌های سبک زندگی مصرف‌گرایانه,کنشگری,یافتن ریشه مسئله,تبدیل شدن به متحد جنبش محیط زیست,3,pes_Arab,2023-06-07
731,https://en.wikivoyage.org/wiki/Downhill_snowsports,2,ورزش‌های زمستانی روی تپه، از جمله اسکی و اسنوبورد، ورزش‌های پرطرفداری هستند که در آنها با استفاده از چوب اسکی یا اسنوبورد متصل به پاهایتان روی زمین‌های شیب‌دار پوشیده از برف سرمی‌خورید. اسکی فعالیت اصلی سفر است که علاقه‌مندان زیادی دارد و گهگاه با نام «اسکی گردی» شناخته می شود، یعنی برنامه ریزی کل تعطیلات حول محور اسکی کردن در یک محل خاص. ایده اسکی‌بازی خیلی قدیمی است - قدمت نقاشی‌های غارها که اسکی بازها را نشان می‌دهد به 5000 سال قبل از میلاد باز می‌گردد. ورزش اسکی روی تپه حداقل به قرن 17 ام برمی‌گردد، و در سال 1861، اولین باشگاه تفریحی اسکی را نروژی‌ها در استرالیا افتتاح کردند.,مطابق با متن، حدود چه زمانی اسکی‌بازی اولین بار به عنوان ورزش شناخته شد؟,قرن هجدهم,5000 سال قبل از میلاد,1861,قرن هفدهم,4,pes_Arab,2023-06-07
299,https://en.wikinews.org/wiki/Australian_Big_Brother_cleared_of_breaching_content_laws,2,ACMA همچنین نتیجه گرفت که علیرغم اینکه این ویدئو در اینترنت پخش شده است ولی Big Brother از قوانین سانسور محتوای آنلاین تخطی نکرده است، زیرا این رسانه‌ها در وب‌سایت Big Brother ذخیره نشده بودند. قانون خدمات پخش مقررات محتوای اینترنتی را مشخص می‌کند، اما وقتی محتوایی جزء محتوای اینترنتی محسوب می‌شود که به‌شکل فیزیکی روی یک سرور مستقر باشد.,برای اینکه رسانه تحت مقوله محتوای اینترنتی لحاظ شود، باید چه پارامترهایی داشته باشد؟,باید از طریق اینترنت پخش شود,باید به صورت فیزیکی در سروری قرار گیرد,نمی‌تواند روی وبسایت ذخیره شود,باید توسط ACMA تأیید شود,2,pes_Arab,2023-06-07
110,https://en.wikibooks.org/wiki/Mysticism/What_is_mysticism%3F,2,عرفان عبارت است از جستجوی ارتباط، شناخت یا درک آگاهانه از یک واقعیت، الوهیت، حقیقت معنوی یا خدا. این مؤمن خواستار تجربه، بصیرت یا بینشی مستقیم نسبت به واقعیت الهی/خدا یا خدایان است. پیروان روش‌های خاصی از معاش، یا اعمالی که به قصد شکل دادن این تجارب انجام می‌گیرند، را دنبال می‌کنند. ویژگی که عرفان را از سایر اشکال باورهای مذهبی و عبادی متمایز می‌کند تأکید آن بر تجربه مستقیم شخصی از یک حالت هشیاری منحصربه‌فرد است، بخصوص تجربه‌ای که از خصلت آرامش، بینش، سعادت یا حتی نشاط برخوردار باشد.,با توجه به متن، کدام یک از موارد زیر مورد توجه عرفان نیست؟,جستجوی شهود به واقعیت الهی,طلب بینش از طریق تجربیات مشترک و همگانی,تأکید بر حالت سعادتمند خودآگاه,طلب درک آگاهانه الوهیت,2,pes_Arab,2023-06-07
72,https://en.wikibooks.org/wiki/History_of_Islam/Early_Islam,1,محمد عمیقا به امور فراتر از این زندگی دنیوی علاقه مند بود. او عادت داشت که برای تامل به غاری به نام «حرا» در کوه «نور» برود. خود غار که طی اعصار سالم مانده است بیانگر تصور خیلی روشن از گرایش‌های روحانی حضرت محمد دارد. این غار در بالای یکی از کوه‌های شمال مکه واقع شده و به‌طور کامل از باقی نقاط جهان جدا شده است. در حقیقت، حتی اگر کسی بداند که چنین چیزی وجود دارد، پیدا کردنش کار ساده‌ای نیست. وقتی‌که وارد غار شدید، در یک انزوا کامل خواهید بود. هیچ چیزی غیر از آسمان صاف و زیبا در بالای سر و کوه‌های فراوان در اطراف دیده نمی‌شود. از داخل این غار بخش زیادی از این دنیا را نمی‌توان دید یا شنید.,بر اساس متن، غار محمد بیانگر چه چیزی درباره اعمال یا ارزش‌های روحانی او بود؟,او برای آرامش و انزوا ارزش قائل بود,صدای بیرون به تأمل او کمک می‌کرد,به زمان خیلی کمی برای تنهایی نیاز داشت,نگران این بود که دیده یا شنیده شود,1,pes_Arab,2023-06-07
86,https://en.wikibooks.org/wiki/Introduction_to_Sociology/Race_and_Ethnicity,1,کودکان از زمان کودکی نسبت به نژاد و کلیشه های نژادی آگاهی کسب می‌کنند و این کلیشه های نژادی بر رفتار تأثیر می گذارند. برای نمونه، کودکانی که با یک اقلیت‌نژادی شناخته می‌شوند که به‌صورت کلیشه‌ای عملکرد خوبی در مدرسه ندارد، به‌محض اینکه از این کلیشه نژاد خود آگاه می‌شوند تلاش می‌کنند تا عملکرد خوبی در مدرسه نداشته باشند.,با توجه به نظریه ارائه شده در متن، برای کودکانی که با یک اقلیت‌نژادی شناخته می‌شوند که به‌صورت کلیشه‌ای رفتار تهدیدآمیز دارد، چه اتفاقی ممکن است رخ دهد؟,کودک سعی می‌کند از درگیر شدن در رفتارهای تهدیدآمیز خودداری کند,احتمال بیشتری وجود دارد که کودک درگیر رفتارهای تهدیدآمیز شود,کودک در موقعیت‌های اجتماعی کناره‌گیری می‌کند,کودک از تعامل با سایر اقلیت‌های نژادی امتناع خواهد کرد,2,pes_Arab,2023-06-07
