Passage,Question,Original Answer,Predicted Answer,Option 1,Option 2,Option 3,Option 4,Explanation:,Highlight,Keywords:
بشر هزاران هزار سال از عدسی‌ها برای بزرگ‌نمایی استفاده می‌کرده است. با این حال، اولین تلسکوپ های واقعی در اواخر قرن 16 در اروپا ساخته شدند. در این تلسکوپ از ترکیب دو عدسی استفده شده است تا اجسام دور را هم نزدیکتر و هم بزرگتر نشان دهد.,کدام یک از موارد زیر را انسان‌ها در قرن شانزدهم شروع کردند؟,4,4,استفاده از عدسی‌ها,بزرگنمایی اشیاء,ساخت عدسی‌ها,ساخت تلسکوپ,در متن به صراحت اشاره شده است که ساخت تلسکوپ های واقعی در قرن شانزدهم در اروپا آغاز شد. اگرچه استفاده از عدسی ها و بزرگنمایی اشیاء سابقه ای طولانی تر دارد، اما ساخت تلسکوپ به عنوان یک ابزار اپتیکی پیشرفته، در این دوره زمانی شروع شده است. این تلسکوپ ها با ترکیب دو عدسی، توانایی نمایش اجسام دور را به صورت بزرگتر و نزدیکتر فراهم می کردند. بنابراین، گزینه 4، «ساخت تلسکوپ»، پاسخ صحیح است. ,با این حال، اولین تلسکوپ های واقعی در اواخر قرن 16 در اروپا ساخته شدند.,"['عدسی', 'بزرگنمایی', 'تلسکوپ', 'قرن شانزدهم', 'ساخت']"
گوارانی‌ها مهم‌ترین گروه بومی ساکن پاراگوئه شرقی کنونی بودند که به شکل شکارچیان نیمه کوچ‌نشین زندگی می‌کردند و به کشاورزی معیشتی نیز می‌پرداختند. منطقه چاکو محل اقامت گروه‌های دیگر قبایل بومی مانند Guaycurú و Payaguá بود که با شکار، جمع آوری و ماهیگیری زندگی خود را می‌گذراندند. در قرن 16، پاراگوئه که قبلاً «استان غول پیکر هند» خوانده می شد، در نتیجه برخورد فاتحان اسپانیایی با گروه های بومی متولد شد. اسپانیایی‌ها دوره استعماری را شروع کردند که سه قرن طول کشید. پاراگوئه از زمان تأسیس آسانسیون در سال 1537، توانسته است بسیاری از خصوصیات و شخصیت‌های بومی خود را حفظ کند.,دوران استعمارگری که سه قرن طول کشید توسط کدام گروه شروع شد؟,4,4,پاراگوئه,Guaycurú,گورانی‌ها ,فاتحان اسپانیایی,در متن به صراحت ذکر شده است که دوره استعماری سه قرنه توسط فاتحان اسپانیایی آغاز شد. این دوره از قرن 16 شروع شد و تا قرن 19 ادامه داشت. پاراگوئه در این دوره تحت تسلط امپراتوری اسپانیا بود و به عنوان یکی از مستعمرات آن شناخته می‌شد. گوارانی‌ها و سایر گروه‌های بومی در این دوره تحت تأثیر فرهنگ و زبان اسپانیایی قرار گرفتند و بسیاری از آداب و رسوم خود را از دست دادند. با این حال، برخی از سنت‌ها و زبان بومی تا حدودی حفظ شد. ,اسپانیایی‌ها دوره استعماری را شروع کردند که سه قرن طول کشید.,"['فاتحان اسپانیایی', 'دوره استعماری', 'قرن 16', 'مستعمره', 'گوارانی\u200cها']"
خورشید پوسته‌ای شبیه کره زمین ندارد که بتوانید روی آن بایستید. کل خورشید از گازها، آتش و پلاسما ساخته شده است. هرچه از مرکز خورشید دورتر شوید، این گاز رقیق‌تر می‌شود. وقتی به خورشید نگاه می‌کنیم قسمت بیرونی که می‌بینیم فوتوسفر گفته می‌شود که به معنی «توپ نور» است.,با توجه به متن، کدام قسمت از خورشید از زمین قابل مشاهده است؟,3,3,پوسته,پلاسما,فوتوسفر,مرکز,در متن به وضوح ذکر شده است که «وقتی به خورشید نگاه می‌کنیم قسمت بیرونی که می‌بینیم فوتوسفر گفته می‌شود». این جمله به طور مستقیم نشان می‌دهد که فوتوسفر، قسمتی از خورشید است که از زمین قابل مشاهده است. این بخش به معنی «توپ نور» است و به دلیل ماهیت گازی و آتشین خورشید، تنها بخش قابل مشاهده از آن به حساب می‌آید. ,وقتی به خورشید نگاه می‌کنیم قسمت بیرونی که می‌بینیم فوتوسفر گفته می‌شود,"['فوتوسفر', 'قسمت بیرونی', 'قابل مشاهده']"
آن مرد ظاهراً یک خودروی سه‌چرخ مسلح به مواد منفجره را به داخل جمعیت هدایت کرده بود. مرد مظنون به انفجار بمب، پس از تحمل جراحات ناشی از انفجار، بازداشت شد. اگرچه آنها می‌دانند كه او عضو گروه قومی اویغور است، نام وی هنوز برای مقامات ناشناخته است.,مقامات چه اطلاعاتی درخصوص حمله تأیید کرده بودند؟,2,2,هویت هم‌دست‌ها,قومیت مظنون,انگیزه حمله,نام و نام خانوادگی مظنون,در متن ارائه شده، به دو مورد از اطلاعات تایید شده توسط مقامات اشاره شده است. نخست، مشخص شده است که مرد مظنون به انفجار بمب، عضو گروه قومی اویغور است. دوم، اینکه او پس از جراحات ناشی از انفجار، بازداشت شده است. اما تنها موردی که در سوال مطرح شده و تایید شده است، قومیت مظنون است. بنابراین، پاسخ صحیح، گزینه 2 است. ,مرد مظنون به انفجار بمب، پس از تحمل جراحات ناشی از انفجار، بازداشت شد. اگرچه آنها می‌دانند كه او عضو گروه قومی اویغور است,"['مرد مظنون', 'بازداشت', 'گروه قومی اویغور']"
ما می توانیم زندگی دوستانه تری را با محیط زیست آغاز کنیم، می توانیم به جنبش محیط زیست بپیوندیم و حتی می توانیم برای اینکه تا حدودی آلام آینده را کاهش دهیم، فعال محیط زیست شویم. این دقیقاً مانند بسیاری از موارد درمان حمایتی است. با این وجود، اگر تنها به دنبال یک راه‌حل موقت نباشیم، باید ریشه مشکلات را بیابیم و باید آن‌ها را غیرفعال کنیم. پرواضح است که دنیا به‌خاطر پیشرفت‌های علمی و فناوری بشر تغییر کرده و مشکلات به دلیل جمعیت بسیار زیاد و شیوه زندگی عجیب و غریب بشر، بیشتر شده است.,با توجه به متن، کدام مورد راه‌حلی قابل اجرا برای مسائل زیست‌محیطی در بلندمدت محسوب می‌شود؟,3,3,تحریم انتخاب‌های سبک زندگی مصرف‌گرایانه,کنشگری,یافتن ریشه مسئله,تبدیل شدن به متحد جنبش محیط زیست,در این متن، به دنبال راه‌حلی برای مسائل زیست‌محیطی در بلندمدت هستیم. نویسنده اشاره می‌کند که اگرچه اقداماتی مانند پیوستن به جنبش محیط زیست و کنشگری می‌تواند مفید باشد، اما برای حل ریشه‌ای مشکلات، باید به دنبال یافتن ریشه اصلی آن‌ها باشیم. این استدلال نشان می‌دهد که گزینه 3، یعنی «یافتن ریشه مسئله»، راه‌حلی اساسی و بلندمدت برای مسائل زیست‌محیطی است. با شناسایی و رفع علل اصلی، می‌توانیم تأثیرات پایدار و مؤثری بر بهبود وضعیت محیط زیست داشته باشیم. ,با این وجود، اگر تنها به دنبال یک راه‌حل موقت نباشیم، باید ریشه مشکلات را بیابیم و باید آن‌ها را غیرفعال کنیم.,"['راه\u200cحل موقت', 'ریشه مشکلات', 'فعالیت\u200cهای محیط زیستی', 'مسائل زیست\u200cمحیطی', 'درمان حمایتی']"
ورزش‌های زمستانی روی تپه، از جمله اسکی و اسنوبورد، ورزش‌های پرطرفداری هستند که در آنها با استفاده از چوب اسکی یا اسنوبورد متصل به پاهایتان روی زمین‌های شیب‌دار پوشیده از برف سرمی‌خورید. اسکی فعالیت اصلی سفر است که علاقه‌مندان زیادی دارد و گهگاه با نام «اسکی گردی» شناخته می شود، یعنی برنامه ریزی کل تعطیلات حول محور اسکی کردن در یک محل خاص. ایده اسکی‌بازی خیلی قدیمی است - قدمت نقاشی‌های غارها که اسکی بازها را نشان می‌دهد به 5000 سال قبل از میلاد باز می‌گردد. ورزش اسکی روی تپه حداقل به قرن 17 ام برمی‌گردد، و در سال 1861، اولین باشگاه تفریحی اسکی را نروژی‌ها در استرالیا افتتاح کردند.,مطابق با متن، حدود چه زمانی اسکی‌بازی اولین بار به عنوان ورزش شناخته شد؟,4,4,قرن هجدهم,5000 سال قبل از میلاد,1861,قرن هفدهم,در متن به صراحت اشاره شده است که ورزش اسکی روی تپه **حداقل به قرن 17 ام برمی‌گردد**. اگرچه شواهدی از اسکی بازی در دوران‌های بسیار قدیم‌تر وجود دارد، اما این تاریخ به عنوان اولین مرجع مستند برای ورزش اسکی در نظر گرفته می‌شود. بنابراین، اسکی به عنوان یک ورزش در قرن هفدهم شناخته شد. ,ورزش اسکی روی تپه حداقل به قرن 17 ام برمی‌گردد,"['اسکی', 'ورزش', 'قرن 17 ام']"
ACMA همچنین نتیجه گرفت که علیرغم اینکه این ویدئو در اینترنت پخش شده است ولی Big Brother از قوانین سانسور محتوای آنلاین تخطی نکرده است، زیرا این رسانه‌ها در وب‌سایت Big Brother ذخیره نشده بودند. قانون خدمات پخش مقررات محتوای اینترنتی را مشخص می‌کند، اما وقتی محتوایی جزء محتوای اینترنتی محسوب می‌شود که به‌شکل فیزیکی روی یک سرور مستقر باشد.,برای اینکه رسانه تحت مقوله محتوای اینترنتی لحاظ شود، باید چه پارامترهایی داشته باشد؟,2,2,باید از طریق اینترنت پخش شود,باید به صورت فیزیکی در سروری قرار گیرد,نمی‌تواند روی وبسایت ذخیره شود,باید توسط ACMA تأیید شود,در متن به صراحت بیان شده است که برای اینکه محتوایی تحت قوانین محتوای اینترنتی قرار بگیرد، باید به صورت فیزیکی روی یک سرور قرار گرفته باشد. این شرط به این معنی است که صرف پخش شدن محتوا در اینترنت، آن را در دسته‌بندی محتوای اینترنتی قرار نمی‌دهد. بنابراین، گزینه 2 صحیح است. ,قانون خدمات پخش مقررات محتوای اینترنتی را مشخص می‌کند، اما وقتی محتوایی جزء محتوای اینترنتی محسوب می‌شود که به‌شکل فیزیکی روی یک سرور مستقر باشد.,"['قانون خدمات پخش', 'محتوای اینترنتی', 'سرور', 'ذخیره']"
عرفان عبارت است از جستجوی ارتباط، شناخت یا درک آگاهانه از یک واقعیت، الوهیت، حقیقت معنوی یا خدا. این مؤمن خواستار تجربه، بصیرت یا بینشی مستقیم نسبت به واقعیت الهی/خدا یا خدایان است. پیروان روش‌های خاصی از معاش، یا اعمالی که به قصد شکل دادن این تجارب انجام می‌گیرند، را دنبال می‌کنند. ویژگی که عرفان را از سایر اشکال باورهای مذهبی و عبادی متمایز می‌کند تأکید آن بر تجربه مستقیم شخصی از یک حالت هشیاری منحصربه‌فرد است، بخصوص تجربه‌ای که از خصلت آرامش، بینش، سعادت یا حتی نشاط برخوردار باشد.,با توجه به متن، کدام یک از موارد زیر مورد توجه عرفان نیست؟,2,2,جستجوی شهود به واقعیت الهی,طلب بینش از طریق تجربیات مشترک و همگانی,تأکید بر حالت سعادتمند خودآگاه,طلب درک آگاهانه الوهیت,در متن به صراحت بیان شده است که عرفان بر تجربه مستقیم **شخصی** تأکید دارد. این امر نشان می‌دهد که عرفان به دنبال تجربیات **مشترک و همگانی** نیست. در واقع، عرفان بر تجربه‌های فردی و آگاهی شخصی از واقعیت الهی تمرکز دارد. این نکته عرفان را از سایر اشکال باورهای مذهبی متمایز می‌کند. بنابراین، می‌توان نتیجه گرفت که طلب بینش از طریق تجربیات مشترک و همگانی مورد توجه عرفان نیست.,در عرفان بر تجربه مستقیم **شخصی** تأکید دارد.,"['تجربه مستقیم', 'حالت هشیاری', 'تجربه شخصی', 'تجربیات مشترک']"
محمد عمیقا به امور فراتر از این زندگی دنیوی علاقه مند بود. او عادت داشت که برای تامل به غاری به نام «حرا» در کوه «نور» برود. خود غار که طی اعصار سالم مانده است بیانگر تصور خیلی روشن از گرایش‌های روحانی حضرت محمد دارد. این غار در بالای یکی از کوه‌های شمال مکه واقع شده و به‌طور کامل از باقی نقاط جهان جدا شده است. در حقیقت، حتی اگر کسی بداند که چنین چیزی وجود دارد، پیدا کردنش کار ساده‌ای نیست. وقتی‌که وارد غار شدید، در یک انزوا کامل خواهید بود. هیچ چیزی غیر از آسمان صاف و زیبا در بالای سر و کوه‌های فراوان در اطراف دیده نمی‌شود. از داخل این غار بخش زیادی از این دنیا را نمی‌توان دید یا شنید.,بر اساس متن، غار محمد بیانگر چه چیزی درباره اعمال یا ارزش‌های روحانی او بود؟,1,1,او برای آرامش و انزوا ارزش قائل بود,صدای بیرون به تأمل او کمک می‌کرد,به زمان خیلی کمی برای تنهایی نیاز داشت,نگران این بود که دیده یا شنیده شود,متن به وضوح بیان می‌کند که غار حرا، مکانی منزوی و جدا از دنیای بیرون است. این مکان به دلیل موقعیت جغرافیایی خاص خود، فضایی آرام و جدا از هیاهوی زندگی روزمره فراهم می‌کند. عبارت «در یک انزوا کامل خواهید بود» نشان می‌دهد که این مکان برای تأمل و دوری از مشغله‌های دنیوی مناسب است. بنابراین، می‌توان نتیجه گرفت که محمد به دنبال لحظاتی آرام و دور از دغدغه‌های روزمره بود و این غار، مکانی ایده‌آل برای او به حساب می‌آمد. این موضوع نشان‌دهنده ارزش‌گذاری او بر آرامش و انزوا است. ,در یک انزوا کامل خواهید بود,"['غار حرا', 'انزوا', 'آرامش', 'تأمل']"
کودکان از زمان کودکی نسبت به نژاد و کلیشه های نژادی آگاهی کسب می‌کنند و این کلیشه های نژادی بر رفتار تأثیر می گذارند. برای نمونه، کودکانی که با یک اقلیت‌نژادی شناخته می‌شوند که به‌صورت کلیشه‌ای عملکرد خوبی در مدرسه ندارد، به‌محض اینکه از این کلیشه نژاد خود آگاه می‌شوند تلاش می‌کنند تا عملکرد خوبی در مدرسه نداشته باشند.,با توجه به نظریه ارائه شده در متن، برای کودکانی که با یک اقلیت‌نژادی شناخته می‌شوند که به‌صورت کلیشه‌ای رفتار تهدیدآمیز دارد، چه اتفاقی ممکن است رخ دهد؟,2,2,کودک سعی می‌کند از درگیر شدن در رفتارهای تهدیدآمیز خودداری کند,احتمال بیشتری وجود دارد که کودک درگیر رفتارهای تهدیدآمیز شود,کودک در موقعیت‌های اجتماعی کناره‌گیری می‌کند,کودک از تعامل با سایر اقلیت‌های نژادی امتناع خواهد کرد,در این متن، نظریه‌ای مطرح می‌شود که نشان می‌دهد کودکان تحت تأثیر کلیشه‌های نژادی قرار می‌گیرند و این کلیشه‌ها بر رفتار آنها تأثیرگذار است. به طور خاص، مثال ذکر شده در متن، به کودکانی اشاره دارد که با یک اقلیت نژادی مرتبط هستند و این کلیشه وجود دارد که این گروه نژادی در مدرسه عملکرد ضعیفی دارند. طبق این نظریه، کودکان پس از آگاهی از این کلیشه، ممکن است تلاش کنند تا خود را با آن تطبیق دهند و عملکرد ضعیفی در مدرسه داشته باشند. این مثال، الگوی رفتاری را نشان می‌دهد که در آن کودکان رفتار خود را بر اساس کلیشه‌های نژادی شکل می‌دهند. بنابراین، منطقی است که این الگو را به سایر کلیشه‌های نژادی نیز تعمیم دهیم. در مورد کودکانی که با اقلیت نژادی مرتبط هستند و کلیشه تهدیدآمیز بودن وجود دارد، احتمال بیشتری وجود دارد که کودک نیز درگیر رفتارهای تهدیدآمیز شود، زیرا این کلیشه بر رفتار او تأثیر می‌گذارد. این نظریه نشان می‌دهد که کودکان ممکن است رفتارهایی را تقلید کنند که با کلیشه‌های نژادی مرتبط است. ,کودکان از زمان کودکی نسبت به نژاد و کلیشه های نژادی آگاهی کسب می‌کنند و این کلیشه های نژادی بر رفتار تأثیر می گذارند. برای نمونه، کودکانی که با یک اقلیت‌نژادی شناخته می‌شوند که به‌صورت کلیشه‌ای عملکرد خوبی در مدرسه ندارد، به‌محض اینکه از این کلیشه نژاد خود آگاه می‌شوند تلاش می‌کنند تا عملکرد خوبی در مدرسه نداشته باشند.,"['کلیشه نژادی', 'تأثیر بر رفتار', 'اقلیت نژادی', 'تطبیق رفتار با کلیشه']"
