topic,,question_id,question,choices,answer,hint,task,grade,subject,topic,category,skill,lecture,solution,split,choice_1,choice_2,choice_3,choice_4,original_answer,answer_humanity,has_solution,has_lecture,has_hint
biology,5538,5539,"Is the following trait inherited or acquired?
Erica has five toes on each foot.","['inherited', 'acquired']",0,Hint: Erica was born with five toes on each foot.,closed choice,grade3,natural science,biology,Heredity,Identify inherited and acquired traits,"Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways.
Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned.
Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment. Children do not inherit their parents' acquired traits.","Most humans are born with five toes on each foot. So, having five toes is an inherited trait.",test,inherited,acquired,,,inherited,1,1,1,1
biology,5525,5526,"Based on this information, what is Josiah's phenotype for the sickle-cell disease trait?","['Aa', 'not having sickle-cell disease']",1,"This passage describes the sickle-cell disease trait in humans:

In a group of humans, some individuals have sickle-cell disease and others do not. In this group, the gene for the sickle-cell disease trait has two alleles. The allele A is for not having sickle-cell disease, and the allele a is for having sickle-cell disease.
Josiah, a human from this group, does not have sickle-cell disease. Josiah has one allele for not having sickle-cell disease and one allele for having sickle-cell disease.",closed choice,grade8,natural science,biology,Genes to traits,Genetics vocabulary: genotype and phenotype,"All organisms have pieces of hereditary material called genes, which are passed from parents to offspring. Genes contain instructions for building the parts of an organism. An organism's genes affect its observable traits, including its appearance, its behavior, and which diseases it may have. Genes may have different alleles, or forms, that can cause different versions of a trait.
For example, flower color is a trait in pea plants. The gene for this trait has two possible alleles. Each allele is represented by an uppercase or lowercase letter. The allele F is for purple flowers, and the allele f is for white flowers. Each pea plant has two alleles for the flower color gene—one allele inherited from each parent.
An organism's genotype for a gene is its combination of alleles for that gene. So, a pea plant may have a genotype of FF, Ff, or ff for the flower color gene.
An organism's phenotype for a trait is its observable version of that trait, which depends on the organism's combination of alleles. A pea plant may have a phenotype of purple flowers or white flowers for the flower color trait.","An organism's phenotype for a trait is its observable version of that trait. Josiah's observable version of the sickle-cell disease trait is not having sickle-cell disease. So, Josiah's phenotype for the sickle-cell disease trait is not having sickle-cell disease.",train,Aa,not having sickle-cell disease,,,not having sickle-cell disease,2,1,1,1
biology,1843,1844,"Based on this information, what is Cotton's phenotype for the fur texture trait?","['wavy fur', 'straight fur']",1,"In a group of Syrian hamsters, some individuals have straight fur and others have wavy fur. In this group, the gene for the fur texture trait has two alleles. The allele for wavy fur (f) is recessive to the allele for straight fur (F).
Cotton is a Syrian hamster from this group. Cotton has the heterozygous genotype Ff for the fur texture gene.",closed choice,grade6,natural science,biology,Genes to traits,Genetics vocabulary: dominant and recessive,"All organisms have pieces of hereditary material called genes, which are passed from parents to offspring. Genes contain instructions for building the parts of an organism. An organism's genes affect its observable traits, including its appearance, its behavior, and which diseases it may have. Genes may have different alleles, or forms, that can cause different versions of a trait.
For example, flower color is a trait in pea plants. The gene for this trait has two possible alleles. Each allele is represented by an uppercase or lowercase letter. The allele F is for purple flowers, and the allele f is for white flowers. Each pea plant has two alleles for the flower color gene—one allele inherited from each parent.
An organism's genotype for a gene is its combination of alleles for that gene. So, a pea plant may have a genotype of FF, Ff, or ff for the flower color gene.
An organism's phenotype for a trait is its observable version of that trait, which depends on the organism's combination of alleles. A pea plant may have a phenotype of purple flowers or white flowers for the flower color trait.
Some traits, like flower color in pea plants, are controlled by a single gene. Most plants and animals have a genotype made up of two alleles for these traits. These two alleles determine whether an organism is homozygous or heterozygous for the gene.
An organism with two identical alleles for a gene is homozygous for that gene. A pea plant with the genotype FF or ff is homozygous for the flower color gene.
An organism with two different alleles for a gene is heterozygous for that gene. A pea plant with the genotype Ff is heterozygous for the flower color gene.
The types of alleles in an organism's genotype determine the organism's phenotype. Some alleles have types called dominant and recessive. These two types can cause different versions of a trait to appear as the organism's phenotype.
A dominant allele causes its version of the trait to appear even when the organism also has a recessive allele for the gene. In pea plants, the F allele, which causes purple flowers, is dominant over the f allele. A pea plant with at least one F allele will have the F allele's version of the flower color trait. So, a plant with the genotype FF or Ff will have purple flowers.
A recessive allele causes its version of the trait to appear only when the organism does not have any dominant alleles for the gene. In pea plants, the f allele, which causes white flowers, is recessive to the F allele. A pea plant with only f alleles will have the f allele's version of the flower color trait. So, a plant with the genotype ff will have white flowers.","You need to determine Cotton's phenotype for the fur texture trait. First, consider the alleles in Cotton's genotype for the fur texture gene. Then, decide whether these alleles are dominant or recessive.
The allele for wavy fur (f) is recessive to the allele for straight fur (F). This means F is a dominant allele, and f is a recessive allele.
Cotton's genotype of Ff has one dominant allele and one recessive allele. An organism with at least one dominant allele for a gene will have the dominant allele's version of the trait. So, Cotton's phenotype for the fur texture trait must be straight fur.",train,wavy fur,straight fur,,,straight fur,2,1,1,1
biology,4122,4123,"Based on this information, what is this plant's phenotype for the pea color trait?","['yellow peas', 'green peas']",0,"In a group of pea plants, some individuals have yellow peas and others have green peas. In this group, the gene for the pea color trait has two alleles. The allele for yellow peas (E) is dominant over the allele for green peas (e).
A certain pea plant from this group has the heterozygous genotype Ee for the pea color gene.",closed choice,grade7,natural science,biology,Genes to traits,Genetics vocabulary: dominant and recessive,"All organisms have pieces of hereditary material called genes, which are passed from parents to offspring. Genes contain instructions for building the parts of an organism. An organism's genes affect its observable traits, including its appearance, its behavior, and which diseases it may have. Genes may have different alleles, or forms, that can cause different versions of a trait.
For example, flower color is a trait in pea plants. The gene for this trait has two possible alleles. Each allele is represented by an uppercase or lowercase letter. The allele F is for purple flowers, and the allele f is for white flowers. Each pea plant has two alleles for the flower color gene—one allele inherited from each parent.
An organism's genotype for a gene is its combination of alleles for that gene. So, a pea plant may have a genotype of FF, Ff, or ff for the flower color gene.
An organism's phenotype for a trait is its observable version of that trait, which depends on the organism's combination of alleles. A pea plant may have a phenotype of purple flowers or white flowers for the flower color trait.
Some traits, like flower color in pea plants, are controlled by a single gene. Most plants and animals have a genotype made up of two alleles for these traits. These two alleles determine whether an organism is homozygous or heterozygous for the gene.
An organism with two identical alleles for a gene is homozygous for that gene. A pea plant with the genotype FF or ff is homozygous for the flower color gene.
An organism with two different alleles for a gene is heterozygous for that gene. A pea plant with the genotype Ff is heterozygous for the flower color gene.
The types of alleles in an organism's genotype determine the organism's phenotype. Some alleles have types called dominant and recessive. These two types can cause different versions of a trait to appear as the organism's phenotype.
A dominant allele causes its version of the trait to appear even when the organism also has a recessive allele for the gene. In pea plants, the F allele, which causes purple flowers, is dominant over the f allele. A pea plant with at least one F allele will have the F allele's version of the flower color trait. So, a plant with the genotype FF or Ff will have purple flowers.
A recessive allele causes its version of the trait to appear only when the organism does not have any dominant alleles for the gene. In pea plants, the f allele, which causes white flowers, is recessive to the F allele. A pea plant with only f alleles will have the f allele's version of the flower color trait. So, a plant with the genotype ff will have white flowers.","You need to determine the pea plant's phenotype for the pea color trait. First, consider the alleles in the plant's genotype for the pea color gene. Then, decide whether these alleles are dominant or recessive.
The allele for yellow peas (E) is dominant over the allele for green peas (e). This means E is a dominant allele, and e is a recessive allele.
The pea plant's genotype of Ee has one dominant allele and one recessive allele. An organism with at least one dominant allele for a gene will have the dominant allele's version of the trait. So, the pea plant's phenotype for the pea color trait must be yellow peas.",test,yellow peas,green peas,,,yellow peas,1,1,1,1
biology,5499,5500,"Based on this information, what is this pea plant's phenotype for the pod color trait?","['Dd', 'green pods']",1,"In a group of pea plants, some individuals have green pods and others have yellow pods. In this group, the gene for the pod color trait has two alleles. The allele D is for green pods, and the allele d is for yellow pods.
A certain pea plant from this group has green pods. This plant has one allele for green pods and one allele for yellow pods.",closed choice,grade8,natural science,biology,Genes to traits,Genetics vocabulary: genotype and phenotype,"All organisms have pieces of hereditary material called genes, which are passed from parents to offspring. Genes contain instructions for building the parts of an organism. An organism's genes affect its observable traits, including its appearance, its behavior, and which diseases it may have. Genes may have different alleles, or forms, that can cause different versions of a trait.
For example, flower color is a trait in pea plants. The gene for this trait has two possible alleles. Each allele is represented by an uppercase or lowercase letter. The allele F is for purple flowers, and the allele f is for white flowers. Each pea plant has two alleles for the flower color gene—one allele inherited from each parent.
An organism's genotype for a gene is its combination of alleles for that gene. So, a pea plant may have a genotype of FF, Ff, or ff for the flower color gene.
An organism's phenotype for a trait is its observable version of that trait, which depends on the organism's combination of alleles. A pea plant may have a phenotype of purple flowers or white flowers for the flower color trait.","An organism's phenotype for a trait is its observable version of that trait. The pea plant's observable version of the pod color trait is green pods. So, the plant's phenotype for the pod color trait is green pods.",train,Dd,green pods,,,green pods,2,1,1,1
biology,2690,2691,"Based on this information, what is Sammy's phenotype for the fur length trait?","['FF', 'short fur']",1,"In a group of dogs, some individuals have short fur and others have long fur. In this group, the gene for the fur length trait has two alleles. The allele F is for short fur, and the allele f is for long fur.
Sammy, a dog from this group, has short fur. Sammy has two alleles for short fur.",closed choice,grade8,natural science,biology,Genes to traits,Genetics vocabulary: genotype and phenotype,"All organisms have pieces of hereditary material called genes, which are passed from parents to offspring. Genes contain instructions for building the parts of an organism. An organism's genes affect its observable traits, including its appearance, its behavior, and which diseases it may have. Genes may have different alleles, or forms, that can cause different versions of a trait.
For example, flower color is a trait in pea plants. The gene for this trait has two possible alleles. Each allele is represented by an uppercase or lowercase letter. The allele F is for purple flowers, and the allele f is for white flowers. Each pea plant has two alleles for the flower color gene—one allele inherited from each parent.
An organism's genotype for a gene is its combination of alleles for that gene. So, a pea plant may have a genotype of FF, Ff, or ff for the flower color gene.
An organism's phenotype for a trait is its observable version of that trait, which depends on the organism's combination of alleles. A pea plant may have a phenotype of purple flowers or white flowers for the flower color trait.","An organism's phenotype for a trait is its observable version of that trait. Sammy's observable version of the fur length trait is short fur. So, Sammy's phenotype for the fur length trait is short fur.",train,FF,short fur,,,short fur,2,1,1,1
biology,4448,4449,Select the vertebrate.,"['Caribbean spiny lobster', 'ladybug', 'blue jay', 'blue dasher']",2,"Hint: Mammals, birds, fish, reptiles, and amphibians are vertebrates.",closed choice,grade5,natural science,biology,Classification,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","A ladybug is an insect. Like other insects, a ladybug is an invertebrate. It does not have a backbone. It has an exoskeleton.
A blue dasher is an insect. Like other insects, a blue dasher is an invertebrate. It does not have a backbone. It has an exoskeleton.
A Caribbean spiny lobster is a crustacean. Like other crustaceans, a Caribbean spiny lobster is an invertebrate. It does not have a backbone. It has an exoskeleton.
A blue jay is a bird. Like other birds, a blue jay is a vertebrate. It has a backbone.",val,Caribbean spiny lobster,ladybug,blue jay,blue dasher,blue jay,3,1,1,1
biology,2272,2273,Select the one animal that has all of the arachnid traits listed above.,"['Earthworms live in soil and have no limbs. Their bodies are soft, cylindrical, and made up of many segments.', 'Castor bean ticks have a hard exoskeleton, eight legs, and no antennae. They feed on blood from mammals, including deer and people.']",1,"Arachnids are a group of animals with similar traits. The following traits can be used to identify arachnids:
They have eight legs.
They have an exoskeleton.
They have no antennae. Observe the animals and read the descriptions.",closed choice,grade5,natural science,biology,Classification,Use evidence to classify animals,"Scientists sort animals with similar traits into groups. This is called classification. Classification helps scientists learn about how animals live.
How do scientists classify animals? First, they make observations about an animal. Scientists observe the animal's traits, including its body parts and behavior. Then, scientists compare the animal's traits to other animals' traits. Scientists classify animals with similar traits into a group.","To decide if an animal is part of a group, look at the traits of the group.
Arachnids have the following traits:
They have eight legs.
They have an exoskeleton.
They have no antennae.
Compare each animal's traits to the group's traits. Select the animal with traits similar to the group's traits.
A castor bean tick has the following traits:
It has eight legs.
It has an exoskeleton.
It has no antennae.
A castor bean tick has the traits of an arachnid. A castor bean tick is an arachnid.
An earthworm has the following traits:
It has a soft, cylindrical body.
It has no limbs.
It is made up of segments.
An earthworm does not have all of the traits of an arachnid. An earthworm is a segmented worm.",val,"Earthworms live in soil and have no limbs. Their bodies are soft, cylindrical, and made up of many segments.","Castor bean ticks have a hard exoskeleton, eight legs, and no antennae. They feed on blood from mammals, including deer and people.",,,"Castor bean ticks have a hard exoskeleton, eight legs, and no antennae. They feed on blood from mammals, including deer and people.",2,1,1,1
biology,901,902,Select the vertebrate.,"['bess beetle', 'forest scorpion', 'sea urchin', 'gray wolf']",3,"Hint: Mammals, birds, fish, reptiles, and amphibians are vertebrates.",closed choice,grade5,natural science,biology,Classification,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","A sea urchin is an echinoderm. Like other echinoderms, a sea urchin is an invertebrate. It does not have a backbone.
A bess beetle is an insect. Like other insects, a bess beetle is an invertebrate. It does not have a backbone. It has an exoskeleton.
A gray wolf is a mammal. Like other mammals, a gray wolf is a vertebrate. It has a backbone.
Like other scorpions, a forest scorpion is an invertebrate. It does not have a backbone. It has an exoskeleton.",val,bess beetle,forest scorpion,sea urchin,gray wolf,gray wolf,4,1,1,1
biology,4483,4484,Select the vertebrate.,"['panda', 'golden orb-weaver', 'weaver ant', 'atlas moth']",0,"Hint: Mammals, birds, fish, reptiles, and amphibians are vertebrates.",closed choice,grade5,natural science,biology,Classification,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","Like other spiders, a golden orb-weaver is an invertebrate. It does not have a backbone. It has an exoskeleton.
A weaver ant is an insect. Like other insects, a weaver ant is an invertebrate. It does not have a backbone. It has an exoskeleton.
An atlas moth is an insect. Like other insects, an atlas moth is an invertebrate. It does not have a backbone. It has an exoskeleton.
A panda is a mammal. Like other mammals, a panda is a vertebrate. It has a backbone.",train,panda,golden orb-weaver,weaver ant,atlas moth,panda,1,1,1,1
