version,accuracy_exp,sufficiency,model
0,0.7845796203022084,0.6716008484347152,Claude 3 Haiku
10,0.750484308407594,0.6422118058271988,Claude 3 Haiku
20,0.7752808988764045,0.6764521736729949,Claude 3 Haiku
30,0.7834172801239829,0.6903030011042232,Claude 3 Haiku
40,0.7853545137543588,0.6948300635257653,Claude 3 Haiku
50,0.7876791941108098,0.6963257181635025,Claude 3 Haiku
60,0.7865168539325843,0.6954491715769082,Claude 3 Haiku
70,0.7876791941108098,0.6955662590507555,Claude 3 Haiku
80,0.7865168539325843,0.6994497973692367,Claude 3 Haiku
90,0.7880666408368849,0.6996738496319256,Claude 3 Haiku
0,0.7086400619914762,0.6215714137776056,Cohere Command R
10,0.6706702828361101,0.5759639556954669,Cohere Command R
20,0.6900426191398683,0.5973900016931423,Cohere Command R
30,0.6935296396745447,0.6096341175590856,Cohere Command R
40,0.7008911274699728,0.6186187307012786,Cohere Command R
50,0.7024409143742736,0.6199831016350252,Cohere Command R
60,0.7032158078264239,0.6200248514451763,Cohere Command R
70,0.708252615265401,0.6264016531499419,Cohere Command R
80,0.7070902750871755,0.6241504094653235,Cohere Command R
90,0.7067028283611003,0.6263482239558311,Cohere Command R
0,0.8318481208833786,0.7393995500736149,GPT 4o mini
10,0.7198760170476559,0.6079763715032933,GPT 4o mini
20,0.7520340953118946,0.6419893237272376,GPT 4o mini
30,0.7706315381635025,0.6645159539287099,GPT 4o mini
40,0.7845796203022084,0.6781725639287098,GPT 4o mini
50,0.7923285548237118,0.6882582938977141,GPT 4o mini
60,0.8008523827973654,0.6972118941689268,GPT 4o mini
70,0.807051530414568,0.7050466770592793,GPT 4o mini
80,0.8066640836884929,0.7114493439209609,GPT 4o mini
90,0.8175125920185975,0.7189350634095312,GPT 4o mini
0,0.8461836497481596,0.7417897316892677,Gemini 2.0 flash
10,0.7562960092987214,0.642884946691205,Gemini 2.0 flash
20,0.8012398295234405,0.6867401754126308,Gemini 2.0 flash
30,0.8299108872530027,0.709077401418055,Gemini 2.0 flash
40,0.833010461061604,0.7233835947888415,Gemini 2.0 flash
50,0.8361100348702053,0.7263036140100736,Gemini 2.0 flash
60,0.8411468423091825,0.7322642942541651,Gemini 2.0 flash
70,0.8380472685005812,0.7347150890778767,Gemini 2.0 flash
80,0.8434715226656335,0.7358836436807438,Gemini 2.0 flash
90,0.8426966292134831,0.739970454428516,Gemini 2.0 flash
0,0.8144130182099961,0.7178607389577684,Deepseek V3.1
10,0.7295621851995351,0.6169470458930647,Deepseek V3.1
20,0.7590081363812475,0.6458088926540101,Deepseek V3.1
30,0.7737311119721039,0.6618356914606741,Deepseek V3.1
40,0.7826423866718326,0.6739170484114684,Deepseek V3.1
50,0.7838047268500581,0.6768372968461837,Deepseek V3.1
60,0.7861294072065091,0.6798276289810151,Deepseek V3.1
70,0.785741960480434,0.6816470847655948,Deepseek V3.1
80,0.7903913211933359,0.6861733265904688,Deepseek V3.1
90,0.7872917473847346,0.6907402376172026,Deepseek V3.1
0,0.7586206896551724,0.6741605982719875,Mistral 3.1 Small
10,0.6695079426578845,0.5774202701937233,Mistral 3.1 Small
20,0.7067028283611003,0.6048027093258427,Mistral 3.1 Small
30,0.7229755908562573,0.625680261824874,Mistral 3.1 Small
40,0.7295621851995351,0.6341403427043782,Mistral 3.1 Small
50,0.7307245253777606,0.6427343198837661,Mistral 3.1 Small
60,0.7404106935296397,0.6474415293490895,Mistral 3.1 Small
70,0.7404106935296397,0.6502227489655172,Mistral 3.1 Small
80,0.7373111197210384,0.6519144301472297,Mistral 3.1 Small
90,0.7462223944207671,0.6583647184618365,Mistral 3.1 Small
0,0.7942657884540876,0.6992234005501744,LLAMA 4 Scout
10,0.7303370786516854,0.6249061974389771,LLAMA 4 Scout
20,0.7586206896551724,0.6535352750058118,LLAMA 4 Scout
30,0.7675319643549012,0.6641086958233244,LLAMA 4 Scout
40,0.7733436652460287,0.6739515384540876,LLAMA 4 Scout
50,0.7884540875629601,0.6869732838899651,LLAMA 4 Scout
60,0.7834172801239829,0.6856461446687331,LLAMA 4 Scout
70,0.795428128632313,0.6948750837117397,LLAMA 4 Scout
80,0.7923285548237118,0.6935372026075164,LLAMA 4 Scout
90,0.7942657884540876,0.6994917213289422,LLAMA 4 Scout
