version,accuracy_exp,sufficiency,model
0,0.8368849283223557,0.737073704610616,Claude 3 Haiku
10,0.8043394033320418,0.6744995640449437,Claude 3 Haiku
20,0.8159628051142968,0.6955834897187292,Claude 3 Haiku
30,0.8179000387446727,0.7093695209608678,Claude 3 Haiku
40,0.8260364199922511,0.7172853950003875,Claude 3 Haiku
50,0.8260364199922511,0.7182734274312282,Claude 3 Haiku
60,0.8291359938008523,0.7180852737605579,Claude 3 Haiku
70,0.8244866330879504,0.7195560324757846,Claude 3 Haiku
80,0.828361100348702,0.7195197289345214,Claude 3 Haiku
90,0.8268113134444014,0.7228902075203409,Claude 3 Haiku
0,0.8209996125532739,0.7227628885548237,Cohere Command R
10,0.7601704765594731,0.6280738392173576,Cohere Command R
20,0.7760557923285548,0.649317700240217,Cohere Command R
30,0.7841921735761332,0.6639657416621465,Cohere Command R
40,0.7869043006586595,0.6707953445342891,Cohere Command R
50,0.7919411080976366,0.6746888968926773,Cohere Command R
60,0.7853545137543588,0.6770475581325068,Cohere Command R
70,0.7903913211933359,0.6828776737698565,Cohere Command R
80,0.7969779155366137,0.6887224992852771,Cohere Command R
90,0.7981402557148393,0.6921865156422317,Cohere Command R
0,0.8713676869430453,0.764705373731112,GPT 4o mini
10,0.8101511042231693,0.6619572198450213,GPT 4o mini
20,0.8314606741573034,0.6962704773731112,GPT 4o mini
30,0.8430840759395584,0.7171839379426578,GPT 4o mini
40,0.844633862843859,0.726300678333979,GPT 4o mini
50,0.8585819449825649,0.7305007508756296,GPT 4o mini
60,0.8547074777218132,0.7379928471677645,GPT 4o mini
70,0.8667183262301433,0.7439230658698954,GPT 4o mini
80,0.8655559860519179,0.7485851675823324,GPT 4o mini
90,0.8702053467648199,0.7541496496003874,GPT 4o mini
0,0.8717551336691205,0.739348524618365,Gemini 2.0 flash
10,0.8074389771406432,0.6648633984579619,Gemini 2.0 flash
20,0.8500581170089113,0.7046854912553274,Gemini 2.0 flash
30,0.865943432777993,0.7266573988531577,Gemini 2.0 flash
40,0.8686555598605192,0.7415849009182487,Gemini 2.0 flash
50,0.8756296009298722,0.7481100496551724,Gemini 2.0 flash
60,0.875242154203797,0.7508574203177063,Gemini 2.0 flash
70,0.8779542812863231,0.7530109425184036,Gemini 2.0 flash
80,0.8760170476559473,0.7566149231344441,Gemini 2.0 flash
90,0.8744672607516466,0.7600495978543975,Gemini 2.0 flash
0,0.8837659821774506,0.7564045027237505,Deepseek V3.1
10,0.8190623789228981,0.6578662791863619,Deepseek V3.1
20,0.8411468423091825,0.6855102838047268,Deepseek V3.1
30,0.8535451375435877,0.7019811594498256,Deepseek V3.1
40,0.8539325842696629,0.7096299553428903,Deepseek V3.1
50,0.856257264626114,0.7132383562998839,Deepseek V3.1
60,0.8636187524215421,0.7167737264897327,Deepseek V3.1
70,0.8647810925997675,0.7191186284230918,Deepseek V3.1
80,0.8624564122433166,0.721846088574196,Deepseek V3.1
90,0.8686555598605192,0.7299313394730724,Deepseek V3.1
0,0.8756296009298722,0.7618261658000774,Mistral 3.1 Small
10,0.7927160015497869,0.6398033189848896,Mistral 3.1 Small
20,0.8051142967841922,0.662242450937621,Mistral 3.1 Small
30,0.8136381247578458,0.6750376411933359,Mistral 3.1 Small
40,0.8252615265401008,0.6903299220030996,Mistral 3.1 Small
50,0.8194498256489733,0.6920269858039519,Mistral 3.1 Small
60,0.8310732274312282,0.7048250620999612,Mistral 3.1 Small
70,0.8326230143355289,0.7082480493955832,Mistral 3.1 Small
80,0.833010461061604,0.7110731597791554,Mistral 3.1 Small
90,0.839984502130957,0.7134226438783416,Mistral 3.1 Small
0,0.8689922480620155,0.7671152221007752,LLAMA 4 Scout
10,0.8058139534883721,0.6756274339069768,LLAMA 4 Scout
20,0.825968992248062,0.7021730869006977,LLAMA 4 Scout
30,0.837984496124031,0.7180650790012403,LLAMA 4 Scout
40,0.8410852713178295,0.7181123665200387,LLAMA 4 Scout
50,0.8558139534883721,0.7272317355271317,LLAMA 4 Scout
60,0.8507751937984496,0.7313149604496124,LLAMA 4 Scout
70,0.8573643410852713,0.737819018244186,LLAMA 4 Scout
80,0.8542635658914729,0.7420073335659225,LLAMA 4 Scout
90,0.8643410852713178,0.7481469340197674,LLAMA 4 Scout
