version,accuracy_exp,sufficiency,model
0,0.7826423866718326,0.6642013184347153,Claude 3 Haiku
10,0.710577295621852,0.5512040523847423,Claude 3 Haiku
20,0.7233630375823324,0.5779662957613327,Claude 3 Haiku
30,0.7508717551336691,0.5982041286574971,Claude 3 Haiku
40,0.7516466485858194,0.6071792018926773,Claude 3 Haiku
50,0.7613328167376986,0.615298237520341,Claude 3 Haiku
60,0.7593955831073227,0.6171022116524604,Claude 3 Haiku
70,0.7601704765594731,0.6187245483862843,Claude 3 Haiku
80,0.7628826036419992,0.6239870905133669,Claude 3 Haiku
90,0.7624951569159241,0.6244252695924486,Claude 3 Haiku
0,0.6815187911662146,0.5763912604843084,Cohere Command R
10,0.6175900813638124,0.48813354387059277,Cohere Command R
20,0.6388996512979466,0.5046308575862068,Cohere Command R
30,0.647036032545525,0.5192286692096088,Cohere Command R
40,0.6598217745060054,0.532732460007749,Cohere Command R
50,0.6590468810538551,0.5407299034598992,Cohere Command R
60,0.6695079426578845,0.5441810996474234,Cohere Command R
70,0.6842309182487408,0.5544236204688106,Cohere Command R
80,0.6733824099186362,0.5572733485780705,Cohere Command R
90,0.6784192173576133,0.5607810759356838,Cohere Command R
0,0.8198372723750484,0.6913744605540488,GPT 4o mini
10,0.6621464548624564,0.5026826061642774,GPT 4o mini
20,0.6869430453312669,0.524433499825649,GPT 4o mini
30,0.7179387834172801,0.5513260809376211,GPT 4o mini
40,0.7380860131731887,0.5720851424176676,GPT 4o mini
50,0.743510267338241,0.5840404056296009,GPT 4o mini
60,0.7632700503680744,0.6030929887369236,GPT 4o mini
70,0.7644323905462999,0.61129501774506,GPT 4o mini
80,0.7725687717938784,0.6219633896551724,GPT 4o mini
90,0.7799302595893065,0.6310741377024408,GPT 4o mini
0,0.8159628051142968,0.66674730243704,Gemini 2.0 flash
10,0.715226656334754,0.5413317571832623,Gemini 2.0 flash
20,0.7442851607903913,0.5794567765827199,Gemini 2.0 flash
30,0.7752808988764045,0.6047901153118945,Gemini 2.0 flash
40,0.7923285548237118,0.6247035544970941,Gemini 2.0 flash
50,0.7934908950019373,0.6321615998876404,Gemini 2.0 flash
60,0.8047268500581171,0.6397995984192174,Gemini 2.0 flash
70,0.8074389771406432,0.6437050568849283,Gemini 2.0 flash
80,0.8047268500581171,0.6475197718016272,Gemini 2.0 flash
90,0.8020147229755908,0.6496978674157303,Gemini 2.0 flash
0,0.7969779155366137,0.6513220988415344,Deepseek V3.1
10,0.6741573033707865,0.5093519255017436,Deepseek V3.1
20,0.6974041069352964,0.5316374205734211,Deepseek V3.1
30,0.717551336691205,0.5490957663037582,Deepseek V3.1
40,0.736536226268888,0.5672836066788066,Deepseek V3.1
50,0.7462223944207671,0.573997054267222,Deepseek V3.1
60,0.7446726075164665,0.5781434676714451,Deepseek V3.1
70,0.7547462223944208,0.5853712085548237,Deepseek V3.1
80,0.7524215420379697,0.5879760760209221,Deepseek V3.1
90,0.7593955831073227,0.5978909353041456,Deepseek V3.1
0,0.738860906625339,0.6088934548973267,Mistral 3.1 Small
10,0.640061991476172,0.4908638222630454,Mistral 3.1 Small
20,0.6598217745060054,0.5094732152847733,Mistral 3.1 Small
30,0.675319643549012,0.5276819491033321,Mistral 3.1 Small
40,0.6869430453312669,0.5375388998140255,Mistral 3.1 Small
50,0.6919798527702441,0.5485248308562573,Mistral 3.1 Small
60,0.6974041069352964,0.5560437435606354,Mistral 3.1 Small
70,0.7020534676481984,0.5577036499106548,Mistral 3.1 Small
80,0.7098024021697017,0.5667887924331654,Mistral 3.1 Small
90,0.7148392096086789,0.5772123612231692,Mistral 3.1 Small
0,0.7783804726850058,0.6429760636265014,LLAMA 4 Scout
10,0.6997287872917474,0.5400498255404882,LLAMA 4 Scout
20,0.708252615265401,0.5567615967028283,LLAMA 4 Scout
30,0.7214258039519567,0.5738105216234018,LLAMA 4 Scout
40,0.7353738860906626,0.5833260819848896,LLAMA 4 Scout
50,0.7423479271600155,0.5982203579848896,LLAMA 4 Scout
60,0.7489345215032933,0.6000682524370399,LLAMA 4 Scout
70,0.759783029833398,0.6093988649128245,LLAMA 4 Scout
80,0.7601704765594731,0.610005982421542,LLAMA 4 Scout
90,0.764819837272375,0.6171724652227819,LLAMA 4 Scout
