version,accuracy_exp,sufficiency,similarity_clean,bert_score,model
0,0.8620689655172413,0.8305775646033547,,0.9999999646667546,Claude 3 Haiku
10,0.8287485470747772,0.7817938469052225,0.6696484722846564,0.960725638973579,Claude 3 Haiku
20,0.8314606741573034,0.7940297731808932,0.7620585598787657,0.9660712636196073,Claude 3 Haiku
30,0.8485083301046106,0.8049205692913599,0.8120987491060809,0.9699096236982718,Claude 3 Haiku
40,0.8469585432003099,0.8129213438165063,0.8377048492385454,0.9721997097359752,Claude 3 Haiku
50,0.8523827973653623,0.8173422185883004,0.848385783532293,0.9732832817410555,Claude 3 Haiku
60,0.8547074777218132,0.8201670300651518,0.8572352391165017,0.9740950929846056,Claude 3 Haiku
70,0.8558698179000388,0.8216104660440224,0.8649545143228868,0.9745295439658818,Claude 3 Haiku
80,0.8531576908175126,0.821201015815906,0.872692715863025,0.9759054242617767,Claude 3 Haiku
90,0.8570321580782643,0.8245587841760578,0.8801851203533071,0.9768137992559963,Claude 3 Haiku
0,0.8500581170089113,0.8181580202810461,,0.9999999654057505,Cohere Command R
10,0.7958155753583882,0.7457206372960863,0.5937253933822818,0.9615199199853504,Cohere Command R
20,0.8074389771406432,0.7608400216189461,0.6847952078509728,0.9627212065451369,Cohere Command R
30,0.8113134444013949,0.7691669155872258,0.7261501257962748,0.9643920308072084,Cohere Command R
40,0.8128632313056955,0.7720071346333786,0.7553218189065468,0.9653623969644505,Cohere Command R
50,0.8167376985664471,0.7762844024242205,0.7790065094949847,0.9664329661042688,Cohere Command R
60,0.8182874854707478,0.7803314490379466,0.7985395883945752,0.9672770043391213,Cohere Command R
70,0.8252615265401008,0.7864191862655684,0.8164459072495098,0.9680896384085116,Cohere Command R
80,0.8306857807051531,0.791381436029778,0.8303836437100267,0.9688278060234687,Cohere Command R
90,0.8314606741573034,0.7947860015398565,0.8427535705860157,0.9696006554127293,Cohere Command R
0,0.8934521503293297,0.8618075821768273,,0.9999999663064019,GPT 4o mini
10,0.8326230143355289,0.7841901871175784,0.6236873813138042,0.9600818780723905,GPT 4o mini
20,0.8523827973653623,0.8050329264231787,0.7112570742981603,0.9631976705103685,GPT 4o mini
30,0.8628438589693918,0.8192026015092535,0.7724583329894846,0.9661457047403343,GPT 4o mini
40,0.8736923672994963,0.8317294736318295,0.8157398429017619,0.9688739052395264,GPT 4o mini
50,0.8764044943820225,0.8370072016700968,0.8454801105410265,0.9710700028351876,GPT 4o mini
60,0.8802789616427741,0.8452605507754735,0.8678350440063758,0.9728103802214293,GPT 4o mini
70,0.8907400232468036,0.8534620992524277,0.886074830809336,0.9744306023570743,GPT 4o mini
80,0.8930647036032545,0.8581738127581648,0.8992707446327232,0.9756849724763311,GPT 4o mini
90,0.8922898101511042,0.8590076123321506,0.9097364492099538,0.976676524008766,GPT 4o mini
0,0.8977140643161565,0.8574993274317247,,0.9999999668837425,Gemini 2.0 flash
10,0.8229368461836497,0.7779806120988291,0.6472494009418895,0.9615535979721722,Gemini 2.0 flash
20,0.8554823711739635,0.8127180373965952,0.7445721061065279,0.9639983701872207,Gemini 2.0 flash
30,0.8767919411080977,0.8298684429540654,0.7980559536741945,0.9667524711100088,Gemini 2.0 flash
40,0.887253002712127,0.8442267112673023,0.8318844959746031,0.9686690262240617,Gemini 2.0 flash
50,0.8876404494382022,0.8498907934642933,0.854729753393205,0.97033961809499,Gemini 2.0 flash
