version,accuracy_exp,sufficiency,similarity_clean,model
0,0.7838047268500581,0.7477641982199548,,Claude 3 Haiku
10,0.6884928322355676,0.6510987317884619,0.6417607432292649,Claude 3 Haiku
20,0.7191011235955056,0.6857211854947024,0.7461459672339015,Claude 3 Haiku
30,0.7450600542425416,0.7080106376560353,0.7961913168153205,Claude 3 Haiku
40,0.7493219682293685,0.7163153841295669,0.8265050550022822,Claude 3 Haiku
50,0.7508717551336691,0.7204181950059428,0.8446352108475867,Claude 3 Haiku
60,0.7605579232855483,0.7245391267003222,0.8517555705668943,Claude 3 Haiku
70,0.7655947307245253,0.7283093625076045,0.8549431483328043,Claude 3 Haiku
80,0.7652072839984502,0.729720119853731,0.8628737261357903,Claude 3 Haiku
90,0.764819837272375,0.7288796177082204,0.8683327920864784,Claude 3 Haiku
0,0.6923672994963193,0.6612269028758695,,Cohere Command R
10,0.6133281673769857,0.5765167339470906,0.5255593737946006,Cohere Command R
20,0.6319256102285936,0.6018822330884158,0.6569779753188485,Cohere Command R
30,0.6485858194498256,0.6172864618305808,0.7295142942992627,Cohere Command R
40,0.6722200697404107,0.6339120058451664,0.7776979141771585,Cohere Command R
50,0.6667958155753584,0.6350080602849143,0.8078050388009546,Cohere Command R
60,0.6706702828361101,0.637667544401589,0.8278793162128252,Cohere Command R
70,0.6757070902750871,0.6446641081331961,0.8451014008749737,Cohere Command R
80,0.6830685780705154,0.6498703092693138,0.8601000728832572,Cohere Command R
90,0.6803564509879891,0.6486122021542139,0.8734202350770166,Cohere Command R
0,0.8260364199922511,0.7918608870997645,,GPT 4o mini
10,0.6454862456412244,0.6075015335464639,0.5843294662376883,GPT 4o mini
20,0.6791941108097637,0.6354900363271085,0.6769609099145039,GPT 4o mini
30,0.7101898488957769,0.6686587350235107,0.7426066917303411,GPT 4o mini
40,0.7311119721038357,0.6883655186929644,0.7944354649340168,GPT 4o mini
50,0.7497094149554436,0.7038531672097711,0.83138951983668,GPT 4o mini
60,0.7535838822161953,0.7142093005926683,0.855248249348445,GPT 4o mini
70,0.7675319643549012,0.7260964179929036,0.8727026999296952,GPT 4o mini
80,0.7756683456024797,0.7364576730862038,0.8888970769130643,GPT 4o mini
90,0.7822549399457575,0.7444287127060004,0.9028282796907037,GPT 4o mini
0,0.7962030220844634,0.758107148872639,,LLAMA 4 Scout
10,0.6850058117008911,0.6434043478523471,0.5604105204667107,LLAMA 4 Scout
20,0.7067028283611003,0.6685959683256807,0.6688358431717353,LLAMA 4 Scout
30,0.7198760170476559,0.682932825413599,0.731783470607275,LLAMA 4 Scout
40,0.7303370786516854,0.6925731457677233,0.773213031794479,LLAMA 4 Scout
50,0.7458349476946919,0.7082726468112941,0.8030485482594155,LLAMA 4 Scout
60,0.7431228206121658,0.7069193236701415,0.8208275600742435,LLAMA 4 Scout
70,0.7570709027508717,0.7179773415837231,0.8372947311433698,LLAMA 4 Scout
80,0.7578457962030221,0.7206680560025606,0.8524766803157279,LLAMA 4 Scout
90,0.7636574970941495,0.7267871593343666,0.8596510946669813,LLAMA 4 Scout
0,0.8206121658271988,0.7808636803036335,,Gemini 2.0 flash
10,0.6927547462223944,0.6503384637542596,0.5573138755416741,Gemini 2.0 flash
20,0.7361487795428129,0.6932644356189667,0.6924138043547776,Gemini 2.0 flash
30,0.7605579232855483,0.718592710669038,0.7685469008725265,Gemini 2.0 flash
40,0.7814800464936071,0.7409634228473537,0.8077949212646817,Gemini 2.0 flash
50,0.7973653622626888,0.7515207278326675,0.8315110836944484,Gemini 2.0 flash
60,0.8008523827973654,0.7581405443670168,0.8457965787091675,Gemini 2.0 flash
70,0.8078264238667183,0.7638105227389388,0.8572201276416698,Gemini 2.0 flash
80,0.8031770631538163,0.7654821619623026,0.8665160159647165,Gemini 2.0 flash
90,0.8097636574970941,0.7684768486334614,0.8732692781043394,Gemini 2.0 flash
0,0.802402169701666,0.7660765449346967,,Deepseek V3.1
10,0.6675707090275087,0.6210314308256509,0.570013319733576,Deepseek V3.1
20,0.6931421929484696,0.6491675974971298,0.6548095423033976,Deepseek V3.1
30,0.7179387834172801,0.6704632229420923,0.7076582542423221,Deepseek V3.1
40,0.7287872917473848,0.6855417385173318,0.743207420953158,Deepseek V3.1
50,0.7423479271600155,0.694887804752275,0.7724652601992701,Deepseek V3.1
60,0.7384734598992638,0.6991961494969414,0.7895374887040861,Deepseek V3.1
70,0.7473847345989927,0.7031999140784707,0.8056007041482213,Deepseek V3.1
80,0.7590081363812475,0.7138486357889369,0.8204773022587195,Deepseek V3.1
90,0.7675319643549012,0.7212017703991147,0.8341469619681511,Deepseek V3.1
0,0.750484308407594,0.7163468002054483,,Mistral 3.1 Small
10,0.6241766757070902,0.5844137631272553,0.5175610159381976,Mistral 3.1 Small
20,0.6582719876017048,0.6184462522094312,0.6195778073710511,Mistral 3.1 Small
30,0.6741573033707865,0.6416590419007421,0.687023830755604,Mistral 3.1 Small
40,0.6931421929484696,0.6496190037244906,0.7333556267641071,Mistral 3.1 Small
50,0.6981790003874467,0.6602371452329787,0.7734327648024095,Mistral 3.1 Small
60,0.701278574196048,0.6677998740234765,0.7962321501076568,Mistral 3.1 Small
70,0.7171638899651298,0.6737980793758369,0.8087341072415253,Mistral 3.1 Small
80,0.7078651685393258,0.6731568710283538,0.8328408188006527,Mistral 3.1 Small
90,0.7218132506780318,0.6879290044503005,0.8536757270479701,Mistral 3.1 Small
